\nHunter A,385,Kellenberg,240
\nHastings A,615,Mountain Lakes D,30
\nHightstown,375,Middlesex Middle,155
\nHigh Tech B,335,Heritage Middle A,145
\nBronx Science,360,Downingtown STEM B,65
\nMoravian Academy,385,Downingtown STEM A,195
"\n""Mather"" A",565,Mountain Lakes C,25
\nHigh Tech A,405,Edison Academy,200
\nHeritage Middle B,310,Jonathan Dayton,40
\nWWPN,275,JP Stevens B,120
\nMountain Lakes B,260,"""Wafflers"" B",130
\nJP Stevens A,290,Northern Highlands,80
\nBelmont,525,"""Wafflers"" A",115
\nEast Brunswick,310,Heritage Middle C,100
"\n""Mather"" B",425,Cardinal Spellman,65
\nHastings B,130,Randolph B,40
\nHigh Tech A,570,Mountain Lakes C,95
\nCardinal Spellman,205,"""Wafflers"" B",110
\nHigh Tech B,465,Mountain Lakes D,20
\nBelmont,535,East Brunswick,140
"\n""Wafflers"" A",505,Downingtown STEM B,80
\nHastings A,570,JP Stevens A,155
\nHunter A,645,Heritage Middle B,95
\nMountain Lakes A,455,Jonathan Dayton,10
\nHeritage Middle A,235,Northern Highlands,155
\nGreat Valley,340,JP Stevens B,145
\nDowningtown STEM A,395,Mountain Lakes B,85
"\n""Mather"" A",745,Randolph B,-15
\nEdison Academy,235,Hastings B 225,(OT)
\nHightstown,320,Randolph A,185
"\n""Mather"" B",500,Moravian Academy,155
\nBronx Science,275,Heritage Middle C,50
\nMiddlesex Middle,310,WWPN,205
\nHastings A,620,Heritage Middle A,75
\nHightstown,400,JP Stevens B,55
\nEdison Academy,375,Mountain Lakes C,35
\nDowningtown STEM A,480,"""Wafflers"" B",15
\nMoravian Academy,385,Cardinal Spellman,45
"\n""Mather"" B",390,Mountain Lakes B,110
\nMiddlesex Middle,425,Randolph A,80
"\n""Mather"" A",505,Hastings B,110
\nHigh Tech A,520,Randolph B,45
\nGreat Valley,475,WWPN,50
\nHigh Tech B,460,Northern Highlands,70
\nHunter A,505,Mountain Lakes A,210
\nHeritage Middle B,235,Kellenberg,210
\nEast Brunswick,220,Bronx Science,195
\nBelmont,385,Downingtown STEM B,120
\nJP Stevens A,305,Mountain Lakes D,35
"\n""Wafflers"" A",475,Heritage Middle C,15
\nMountain Lakes B,160,Cardinal Spellman,140
\nJP Stevens B,205,Randolph A,115
\nGreat Valley,335,Middlesex Middle,210
"\n""Mather"" B",320,Downingtown STEM A,310
\nMoravian Academy,535,"""Wafflers"" B",15
\nHightstown,195,WWPN,180
\nHigh Tech A,390,"""Mather"" A",310
\nEdison Academy,305,Randolph B,20
\nHastings A,555,High Tech B,55
\nHunter A,680,Jonathan Dayton,50
\nNorthern Highlands,160,Mountain Lakes D,65
\nMountain Lakes A,290,Kellenberg,165
\nBelmont,625,Bronx Science,50
\nDowningtown STEM B,260,Heritage Middle C,25
\nJP Stevens A,225,Heritage Middle A,145
"\n""Wafflers"" A",270,East Brunswick,255
\nHastings B,360,Mountain Lakes C,110
\nGreat Valley,390,Hightstown,170
\nWWPN,295,Randolph A,110
\nMountain Lakes C,225,Randolph B,45
\nMiddlesex Middle,430,JP Stevens B,55
\nDowningtown STEM A,455,Cardinal Spellman,80
"\n""Mather"" B",475,"""Wafflers"" B",35
\nMoravian Academy,355,Mountain Lakes B,125
\nHigh Tech A,460,Hastings B,150
"\n""Mather"" A",410,Edison Academy,205
\nBelmont,550,Heritage Middle C,75
\nHigh Tech B,375,JP Stevens A,165
\nMountain Lakes A,310,Heritage Middle B,190
\nKellenberg,280,Jonathan Dayton,75
\nHastings A,635,Northern Highlands,30
\nHeritage Middle A,305,Mountain Lakes D,45
"\n""Wafflers"" A",350,Bronx Science,220
\nEast Brunswick,300,Downingtown STEM B,210
"\n""Wafflers"" A",325,Mountain Lakes A,300
\nHastings A,600,"""Mather"" B",85
\nGreat Valley,370,"""Mather"" A",270
\nHunter A,440,Belmont,270
\nHigh Tech B,280,Hightstown,235
\nWWPN,245,Bronx Science,220
\nHastings B,390,Mountain Lakes B,25
\nMiddlesex Middle,325,East Brunswick,145
\nHigh Tech A,445,Moravian Academy,150
\nRandolph A,160,Heritage Middle C,105
\nMountain Lakes D,140,"""Wafflers"" B",125
\nJP Stevens A,435,Heritage Middle B,55
\nNorthern Highlands,175,Jonathan Dayton,100
\nCardinal Spellman,150,Mountain Lakes C,120
\nDowningtown STEM B,270,JP Stevens B,115
\nDowningtown STEM A,465,Edison Academy,55
\nKellenberg,300,Heritage Middle A,120
\nEast Brunswick,365,Heritage Middle B,45
\nBronx Science,265,Heritage Middle A,225
\nJP Stevens A,280,Edison Academy,250
\nJP Stevens B,275,Cardinal Spellman,140
\nWWPN,235,Mountain Lakes B,200
\nHeritage Middle C,110,Mountain Lakes D,80
\nJonathan Dayton,165,Mountain Lakes C,125
\nKellenberg,280,Hastings B,265
\nRandolph B,110,"""Wafflers"" B",75
\nDowningtown STEM A,395,Middlesex Middle,205
\nDowningtown STEM B,225,Northern Highlands,165
\nHightstown,335,Moravian Academy,225
"\n""Mather"" B",280,High Tech B,270
\nHigh Tech A,370,Hastings A,320
\nBelmont,355,"""Wafflers"" A",305
\nMountain Lakes A,305,"""Mather"" A",295
\nGreat Valley,325,Hunter A,320
"\n""Mather"" A",505,Hunter A,215
\nGreat Valley,405,"""Wafflers"" A",280
"\n""Mather"" B",400,Hightstown,185
\nHigh Tech A,400,High Tech B,130
\nHastings A,630,Moravian Academy,60
\nBelmont,560,Mountain Lakes A,165
\nRandolph A,275,Mountain Lakes D,-5
\nEast Brunswick,395,Edison Academy,155
\nJP Stevens B,160,Northern Highlands,70
\nDowningtown STEM B,270,Mountain Lakes C,15
\nKellenberg,290,Mountain Lakes B,120
\nMiddlesex Middle,300,Heritage Middle B,165
\nHeritage Middle C,165,Randolph B,45
\nBronx Science,260,Hastings B,185
\nHeritage Middle A,245,WWPN,145
\nJonathan Dayton,150,Cardinal Spellman,145
\nJP Stevens A,340,Downingtown STEM A,235
\nGreat Valley,355,Mountain Lakes A,255
\nHastings A,625,High Tech B,80
\nBelmont,460,"""Mather"" A",225
"\n""Mather"" B",395,Moravian Academy,130
\nHigh Tech A,355,Hightstown,225
\nHunter A,330,"""Wafflers"" A",250
\nRandolph A,125,"""Wafflers"" B",90
\nDowningtown STEM A,295,East Brunswick,205
\nEdison Academy,250,Heritage Middle B,110
\nRandolph B,125,Mountain Lakes D,90
\nMiddlesex Middle,305,JP Stevens A,275
\nDowningtown STEM B,300,Cardinal Spellman,5
\nJP Stevens B,170,Jonathan Dayton,145
\nBronx Science,300,Mountain Lakes B,165
\nHastings B,330,Heritage Middle A,125
\nKellenberg,295,WWPN,140
\nNorthern Highlands,275,Mountain Lakes C,70
"\n""Mather"" A",485,"""Wafflers"" A",20
\nHastings A,565,Hightstown,10
\nBelmont,470,Great Valley,230
\nHunter A,335,Mountain Lakes A,250
\nHigh Tech A,385,"""Mather"" B",245
\nMoravian Academy,250,High Tech B,240
\nJP Stevens A,210,East Brunswick,155
\nHastings B,220,WWPN,120
\nJP Stevens B,125,Mountain Lakes C,115
\nDowningtown STEM A,350,Heritage Middle B,25
\nDowningtown STEM B,205,Jonathan Dayton,115
\nHeritage Middle A,190,Mountain Lakes B,65
\nMiddlesex Middle,290,Edison Academy,135
"\n""Wafflers"" B",170,Heritage Middle C,90
\nNorthern Highlands,245,Cardinal Spellman,60
\nRandolph A,145,Randolph B,20
\nKellenberg,265,Bronx Science,155
\nMountain Lakes A,330,Hightstown,135
\nHigh Tech B,305,"""Mather"" A",225
\nHunter A,625,"""Mather"" B",105
\nHastings A,355,Great Valley,280
\nBelmont,550,High Tech A,120
"\n""Wafflers"" A",285,Moravian Academy,270
