Winner,Score,Loser,Score
"
Bedford",170,Claysburg-Kimmel,10
"
Tussey Mountain",130,Bishop Guilfoyle A,45
"
Bishop Guilfoyle B",115,Bellwood-Antis,45
Winner,Score,Loser,Score
"
Altoona",230,Bishop Guilfoyle B,20
"
Hollidaysburg",165,Chestnut Ridge,25
"
Claysburg-Kimmel",70,Northern Bedford County,5
Winner,Score,Loser,Score
"
Bellwood-Antis",195,HOPE for Hyndman,20
"
Tussey Mountain",120,Northern Bedford County,35
"
Bedford",130,Bishop Guilfoyle A,65
Winner,Score,Loser,Score
"
Altoona",145,Tussey Mountain,60
"
Bedford",160,Hollidaysburg,80
"
Bellwood-Antis",135,Northern Bedford County,70
Winner,Score,Loser,Score
"
Bishop Guilfoyle A",90,Northern Bedford County,60
"
Chestnut Ridge",75,Claysburg-Kimmel,55
"
Bishop Guilfoyle B",100,Bedford,90
Winner,Score,Loser,Score
"
Tussey Mountain",130,HOPE for Hyndman,60
"
Bellwood-Antis",135,Hollidaysburg,85
"
Bishop Guilfoyle A",115,Chestnut Ridge,110
Winner,Score,Loser,Score
"
Altoona",230,Claysburg-Kimmel,40
"
Bedford",175,Northern Bedford County,30
"
Bishop Guilfoyle B",110,Tussey Mountain,60
Winner,Score,Loser,Score
"
Hollidaysburg",220,Northern Bedford County,5
"
Bedford",150,Tussey Mountain,110
"
HOPE for Hyndman",70,Claysburg-Kimmel,30
Winner,Score,Loser,Score
"
Bedford",205,Chestnut Ridge,35
"
Altoona",195,Northern Bedford County,85
"
Hollidaysburg",140,HOPE for Hyndman,50
Winner,Score,Loser,Score
"
Bishop Guilfoyle B",140,Everett,50
"
Bishop Guilfoyle A",140,Williamsburg,80
"
Tussey Mountain",105,Great Commission,80
Winner,Score,Loser,Score
"
Tussey Mountain",100,Williamsburg,80
"
Great Commission",60,Northern Bedford County,50
"
Tyrone",65,Everett,60
Winner,Score,Loser,Score
"
Bishop Guilfoyle B",130,Chestnut Ridge,30
"
Bishop Guilfoyle A",75,HOPE for Hyndman,5
"
Great Commission",60,Tyrone,50
Winner,Score,Loser,Score
"
Bishop Guilfoyle B",95,HOPE for Hyndman,0
"
Tyrone",95,Northern Bedford County,45
"
Everett",90,Great Commission,50
Winner,Score,Loser,Score
"
Bishop Guilfoyle A",135,Everett,20
"
Williamsburg",90,Chestnut Ridge,40
"
Northern Bedford County",60,HOPE for Hyndman,20
Winner,Score,Loser,Score
"
Chestnut Ridge",85,Great Commission,30
"
Everett",80,Tussey Mountain,60
"
Northern Bedford County",70,Williamsburg,50
Winner,Score,Loser,Score
"
Bishop Guilfoyle B",195,Northern Bedford County,20
"
Chestnut Ridge",115,HOPE for Hyndman,0
"
Tussey Mountain",135,Tyrone,95
Winner,Score,Loser,Score
"
Williamsburg",110,HOPE for Hyndman,30
"
Everett",120,Northern Bedford County,50
"
Great Commission",95,Bishop Guilfoyle B,85
Winner,Score,Loser,Score
"
Bishop Guilfoyle A",140,Tyrone,60
"
Everett",110,Williamsburg,35
"
Northern Bedford County",70,Chestnut Ridge,60
Winner,Score,Loser,Score
"
Hollidaysburg",185,Bishop Guilfoyle A,20
"
Bellwood-Antis",150,Tyrone,40
"
Altoona",135,Williamsburg,95
Winner,Score,Loser,Score
"
Altoona",235,Great Commission,15
"
Bishop Guilfoyle B",150,Claysburg-Kimmel,30
