Winner,Score,Loser,Score
"
Beaver Falls",195,Riverside,115
"
South Side",145,Hopewell,85
"
New Brighton",130,Freedom Area,75
Winner,Score,Loser,Score
"
Hopewell",155,Beaver Falls,55
"
New Brighton",120,South Side,75
"
Riverside",125,Freedom Area,120
Winner,Score,Loser,Score
"
Riverside",175,Hopewell,60
"
Freedom Area",100,South Side,90
"
New Brighton",135,Beaver Falls,130
Winner,Score,Loser,Score
"
Hopewell",175,New Brighton,90
"
Freedom Area",170,Beaver Falls,120
"
South Side",210,Riverside,165
Winner,Score,Loser,Score
"
Riverside",175,New Brighton,130
"
Beaver Falls",190,South Side,145
"
Freedom Area",115,Hopewell,105
