Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Henderson B",570,4,13,2,390,22.94,Emmaus B,20
"
Cedar Crest A",500,6,9,2,330,22.00,Montgomery A,95
"
Henderson A",485,9,4,6,340,26.15,Wallenpaupack A,115
"
Wilmington Charter",485,7,7,2,320,22.86,Henderson C,120
"
Emmaus A",400,1,13,3,270,19.29,Midd-West B,80
"
Manheim Township B",350,2,11,2,220,16.92,Camp Hill,40
"
Danville A",295,0,13,1,170,13.08,Wallenpaupack B,40
"
Manheim Township A",385,7,5,4,250,20.83,Berwick A,135
"
Berwick B",275,1,11,0,150,12.50,Lakeland,90
"
Midd-West A",195,2,8,1,90,9.00,Cedar Crest B,100
"
Crestwood",245,4,6,1,130,13.00,Manheim Township C,150
"
Montgomery B",135,1,7,0,50,6.25,Danville B,130
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Cedar Crest A",610,7,11,1,400,22.22,Emmaus B,25
"
Wilmington Charter",540,11,5,3,340,21.25,Midd-West A,35
"
Manheim Township B",490,2,14,0,320,20.00,Wallenpaupack B,75
"
Manheim Township A",385,4,9,3,250,19.23,Montgomery B,75
"
Berwick A",300,1,12,1,170,13.08,Danville B,10
"
Henderson B",420,7,7,1,250,17.86,Montgomery A,160
"
Henderson A",390,9,3,7,260,21.67,Crestwood,210
"
Emmaus A",325,0,10,1,230,23.00,Berwick B,150
"
Manheim Township C",275,0,12,3,170,14.17,Wallenpaupack A,145
"
Henderson C",310,3,10,3,180,13.85,Cedar Crest B,190
"
Danville A",260,1,11,1,140,11.67,Camp Hill,150
"
Midd-West B",180,1,9,1,80,8.00,Lakeland,150
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Cedar Crest A",550,2,16,0,360,20.00,Manheim Township B,0
"
Henderson B",475,5,9,2,320,22.86,Camp Hill,65
"
Manheim Township A",460,4,11,2,300,20.00,Cedar Crest B,70
"
Henderson A",425,9,5,6,270,19.29,Midd-West B,45
"
Wilmington Charter",450,6,7,4,310,23.85,Berwick A,175
"
Emmaus A",385,3,11,0,230,16.43,Manheim Township C,120
"
Crestwood",260,2,8,2,160,16.00,Lakeland,45
"
Henderson C",200,3,8,5,100,9.09,Montgomery B,105
"
Danville A",215,0,8,1,140,17.50,Montgomery A,145
"
Emmaus B",160,0,8,0,80,10.00,Wallenpaupack B,115
"
Midd-West A",150,0,8,4,90,11.25,Danville B,135
"
Berwick B",215,1,8,0,120,13.33,Wallenpaupack A,210
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Henderson A",640,5,14,1,430,22.63,Lakeland,20
"
Henderson B",540,6,11,2,350,20.59,Danville A,50
"
Wilmington Charter",455,6,8,5,310,22.14,Danville B,75
"
Crestwood",410,1,14,1,260,17.33,Midd-West B,40
"
Cedar Crest B",365,1,14,2,220,14.67,Montgomery B,5
"
Cedar Crest A",415,1,13,2,280,20.00,Wallenpaupack B,60
"
Emmaus A",275,3,7,0,160,16.00,Wallenpaupack A,110
"
Manheim Township B",260,2,8,2,160,16.00,Emmaus B,100
"
Montgomery A",200,0,10,2,110,11.00,Camp Hill,115
"
Manheim Township C",190,0,9,2,110,12.22,Berwick B,125
"
Berwick A",245,0,10,1,150,15.00,Midd-West A,195
"
Henderson C",275,3,6,0,170,18.89,Manheim Township A,245
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Wilmington Charter",655,8,10,1,440,24.44,Montgomery B,50
"
Henderson A",585,14,2,3,370,23.12,Berwick B,70
"
Cedar Crest A",510,7,9,3,330,20.62,Camp Hill,20
"
Emmaus A",470,2,15,0,290,17.06,Crestwood,35
"
Manheim Township C",395,4,12,1,220,13.75,Lakeland,20
"
Manheim Township A",435,4,9,3,300,23.08,Midd-West A,105
"
Wallenpaupack A",340,1,15,1,180,11.25,Midd-West B,30
"
Montgomery A",210,1,8,1,120,13.33,Wallenpaupack B,50
"
Emmaus B",280,2,9,0,160,14.55,Danville A,190
"
Henderson C",285,4,5,1,180,20.00,Berwick A,245
"
Danville B",205,1,8,0,110,12.22,Cedar Crest B,180
"
Manheim Township B",280,2,8,0,170,17.00,Henderson B,265
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Henderson B",475,2,13,3,330,22.00,Wallenpaupack B,90
"
Henderson C",405,2,12,3,270,19.29,Danville B,45
"
Manheim Township C",315,2,12,1,170,12.14,Midd-West B,55
"
Cedar Crest A",400,4,9,4,270,20.77,Danville A,145
"
Henderson A",390,6,5,4,270,24.55,Emmaus A,165
