\nConcord-Carlisle,250,Belmont,125
\nBoston Latin,280,Downingtown STEM B,140
\nMansfield B,180,Methuen,75
\nWeston A,545,Westwood B,40
\nAdvanced Math &amp; Science,315,Amherst Regional,100
\nBB&amp;N A,500,Hingham,55
\nMansfield A,440,Hopkins A,150
\nPlymouth,330,Hopkins B,180
\nWeston B,405,Waltham A,30
\nHanover,305,BB&amp;N B,160
\nBishop Stang,225,Mansfield C,80
\nDowningtown STEM A,530,Marshwood A,40
\nNorth Quincy,290,Marshwood B,135
\nWestwood A,480,Waltham B,85
\nWeston A,465,Belmont,40
\nBrookline,250,Boston Latin,140
\nConcord-Carlisle,280,Methuen,-5
\nDowningtown STEM B,280,Westwood B,100
\nActon-Boxborough,420,Mansfield B,75
\nHingham,230,Waltham A,90
\nMansfield A,320,Advanced Math &amp; Science,150
\nBB&amp;N A,405,Plymouth,195
\nHopkins A,335,Weston B,165
\nHopkins B,175,Amherst Regional,95
\nWaltham B,240,Mansfield C,60
\nMarshwood A,200,BB&amp;N B,165
\nBishop Stang,235,Marshwood B,110
\nDowningtown STEM A,445,Westwood A,195
\nHanover,285,North Quincy,115
\nBoston Latin,295,Mansfield B,135
\nWeston A,405,Methuen,10
\nBrookline,255,Westwood B,60
\nActon-Boxborough,605,Concord-Carlisle,20
\nDowningtown STEM B,290,Belmont,130
\nMansfield A,570,Hopkins B,25
\nPlymouth,430,Waltham A,15
\nWeston B,290,Advanced Math &amp; Science,190
\nBB&amp;N A,505,Amherst Regional,45
\nHopkins A,375,Hingham,75
\nNorth Quincy,375,Marshwood A,10
\nWaltham B,175,Marshwood B,165
\nWestwood A,515,BB&amp;N B,80
\nHanover,395,Bishop Stang,60
\nDowningtown STEM A,495,Mansfield C,5
\nDowningtown STEM B,380,Methuen,0
\nWestwood B,230,Mansfield B,100
\nWeston A,310,Acton-Boxborough,220
\nBrookline,190,Belmont,165
\nBoston Latin,245,Concord-Carlisle,135
\nHopkins A,295,Plymouth,125
\nWeston B,330,Hopkins B,75
\nAmherst Regional,170,Waltham A,100
\nHingham,175,Advanced Math &amp; Science,130
\nBB&amp;N A,345,Mansfield A,240
\nDowningtown STEM A,565,Marshwood B,75
\nWestwood A,540,North Quincy,10
\nHanover,465,Waltham B,40
\nBB&amp;N B,160,Mansfield C,110
\nMarshwood A,155,Bishop Stang,85
\nConcord-Carlisle,160,Westwood B,40
