Winner,Score,Loser,Score
"
Champlain Valley A",405,Hanover,150
"
Burlington A",235,Essex,220
"
St. Johnsbury",165,Lyndon Institute,150
Winner,Score,Loser,Score
"
Champlain Valley A",425,St. Johnsbury,55
"
Essex",245,Lyndon Institute,80
"
Hanover",160,Burlington A,150
Winner,Score,Loser,Score
"
Hanover",310,St. Johnsbury,100
"
Champlain Valley A",355,Essex,185
"
Burlington A",165,Lyndon Institute,80
Winner,Score,Loser,Score
"
Hanover",280,Lyndon Institute,105
"
Champlain Valley A",300,Burlington A,160
"
Essex",170,St. Johnsbury,125
Winner,Score,Loser,Score
"
Champlain Valley A",420,Lyndon Institute,105
"
Burlington A",195,St. Johnsbury,110
"
Hanover",250,Essex,235
