Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Belmont A",630,10,7,0,410,24.12,Woodland,50
"
Buckingham",535,4,13,3,360,21.18,Greens Farms B,15
"
Lexington",525,11,5,2,320,20.00,South Community,85
"
Choate A",485,8,8,1,290,18.12,Terryville,70
"
Choate B",230,0,10,0,130,13.00,Rockville,40
"
Bronx Science",340,3,10,1,200,15.38,North Babylon A,160
"
Cushing",170,1,9,1,70,7.00,North Babylon B,55
"
Belmont C",220,2,7,0,120,13.33,King School Stamford,180
"
Belmont B",235,1,10,2,130,11.82,Greens Farms A,220
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Belmont A",515,7,9,4,340,21.25,Rockville,20
"
Choate A",450,6,8,4,300,21.43,North Babylon B,30
"
South Community",420,2,12,2,280,20.00,Cushing,20
"
North Babylon A",345,2,13,1,190,12.67,Woodland,30
"
Belmont C",330,1,13,1,190,13.57,Greens Farms B,60
"
Belmont B",295,3,10,2,160,12.31,Terryville,50
"
Buckingham",330,2,9,2,220,20.00,King School Stamford,170
"
Bronx Science",235,1,7,0,150,18.75,Choate B,180
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Buckingham",475,7,9,4,300,18.75,Woodland,60
"
Lexington",490,4,10,2,340,24.29,Terryville,100
"
Belmont A",485,8,5,3,330,25.38,Choate B,150
"
Belmont B",400,5,10,1,230,15.33,North Babylon B,70
"
North Babylon A",395,2,13,1,240,16.00,Rockville,90
"
Bronx Science",430,8,6,0,250,17.86,Belmont C,135
"
Greens Farms A",300,1,12,3,180,13.85,Cushing,100
"
Choate A",380,5,7,3,250,20.83,South Community,185
"
King School Stamford",305,4,8,3,180,15.00,Greens Farms B,115
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Lexington",655,8,10,1,440,24.44,North Babylon B,5
"
Choate A",450,7,6,3,300,23.08,Cushing,75
"
Belmont A",470,9,5,3,300,21.43,King School Stamford,115
"
Buckingham",400,3,10,1,260,20.00,Rockville,80
"
Greens Farms A",325,3,9,4,210,17.50,Terryville,90
"
South Community",310,0,10,2,220,22.00,Belmont B,145
"
Bronx Science",235,2,9,5,140,12.73,Woodland,75
"
North Babylon A",200,0,10,4,120,12.00,Greens Farms B,75
"
Belmont C",250,2,7,2,160,17.78,Choate B,185
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Lexington",540,6,10,0,350,21.88,Terryville,50
"
King School Stamford",485,3,13,0,310,19.38,Woodland,45
"
Belmont A",430,5,8,3,290,22.31,Bronx Science,85
"
Buckingham",395,4,10,1,240,17.14,Choate B,60
"
Belmont B",325,1,12,2,200,15.38,Cushing,50
"
South Community",295,2,10,3,180,15.00,North Babylon B,75
"
North Babylon A",235,0,8,3,170,21.25,Belmont C,175
"
Rockville",160,0,8,4,100,12.50,Greens Farms B,115
"
Choate A",250,3,5,5,180,22.50,Greens Farms A,235
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Belmont A",545,10,5,5,370,24.67,Belmont C,65
"
Lexington",550,7,8,1,370,24.67,Belmont B,80
"
Choate A",450,7,7,3,290,20.71,Cushing,35
"
Buckingham",395,4,9,3,260,20.00,North Babylon A,110
"
Choate B",240,3,8,3,130,11.82,Greens Farms B,60
"
King School Stamford",250,4,6,2,140,14.00,Bronx Science,155
"
Terryville",225,1,10,0,110,10.00,North Babylon B,130
"
Woodland",150,1,7,3,80,10.00,Rockville,80
"
Greens Farms A",315,4,8,1,180,15.00,South Community,255
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Lexington",495,5,10,4,340,22.67,Cushing,55
"
Belmont A",515,10,5,3,330,22.00,Greens Farms B,90
"
Buckingham",430,2,13,0,270,18.00,Belmont C,25
"
Bronx Science",250,1,10,3,150,13.64,Rockville,35
"
Greens Farms A",290,2,10,4,180,15.00,North Babylon B,90
"
King School Stamford",305,2,10,3,190,15.83,North Babylon A,125
"
Choate A",365,3,8,2,250,22.73,South Community,210
"
Choate B",235,2,6,1,150,18.75,Woodland,90
"
Belmont B",255,1,10,4,160,14.55,Terryville,145
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Belmont A",460,8,5,4,310,23.85,Buckingham,60
"
King School Stamford",360,1,14,1,210,14.00,Rockville,75
"
Belmont B",335,0,16,1,180,11.25,North Babylon B,70
"
Belmont C",275,0,10,1,180,18.00,Woodland,65
"
North Babylon A",310,2,9,0,190,17.27,Choate B,135
"
Bronx Science",215,1,8,2,130,14.44,Greens Farms B,70
"
Lexington",390,7,4,1,250,22.73,Choate A,300
"
Cushing",145,2,4,1,80,13.33,Terryville,90
"
Greens Farms A",245,3,7,4,150,15.00,South Community,195
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Belmont A",655,10,7,1,440,25.88,North Babylon A,30
"
Choate A",530,9,8,3,330,19.41,Belmont B,10
"
South Community",435,5,10,2,270,18.00,Terryville,70
"
Lexington",460,5,9,1,300,21.43,Greens Farms A,135
"
Buckingham",415,5,8,4,280,21.54,Bronx Science,120
"
King School Stamford",270,3,7,1,160,16.00,Choate B,85
"
Woodland",230,0,11,4,140,12.73,Greens Farms B,125
"
Belmont C",210,0,9,0,120,13.33,Rockville,145
"
Cushing",145,0,7,3,90,12.86,North Babylon B,120
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
South Community",395,1,15,2,240,15.00,Greens Farms B,30
"
Belmont C",280,1,11,1,160,13.33,Cushing,50
"
King School Stamford",310,1,12,1,180,13.85,Choate B,90
"
Lexington",405,5,7,0,260,21.67,Buckingham,220
"
Terryville",245,0,10,1,150,15.00,Woodland,70
"
Belmont A",325,3,9,4,210,17.50,Choate A,165
"
Bronx Science",265,3,7,2,160,16.00,Greens Farms A,205
"
Rockville",135,0,8,3,70,8.75,North Babylon B,85
"
Belmont B",220,1,8,3,140,15.56,North Babylon A,205
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Lexington",350,5,7,1,210,17.50,Belmont A,275
