Winner,Score,Loser,Score
"
Champlain Valley A",440,Essex A,150
"
Burlington A",310,Champlain Valley B,70
"
Rice Memorial A",275,South Burlington A,170
"
Burlington B",210,Mt. Abraham,135
"
Burlington C",155,Rice Memorial B,115
"
South Burlington B",175,Essex B,165
Winner,Score,Loser,Score
"
Champlain Valley A",310,Essex B,35
"
Burlington B",275,Rice Memorial B,65
"
Champlain Valley B",215,Burlington C,55
"
Burlington A",260,South Burlington A,175
"
South Burlington B",140,Mt. Abraham,115
"
Essex A",215,Rice Memorial A,200
Winner,Score,Loser,Score
"
Burlington B",185,Burlington C,30
"
Champlain Valley A",275,South Burlington A,125
"
Essex A",210,South Burlington B,60
"
Mt. Abraham",120,Essex B,85
"
Rice Memorial B",145,Champlain Valley B,115
"
Rice Memorial A",255,Burlington A,245
Winner,Score,Loser,Score
"
Burlington A",350,Essex A,180
"
Champlain Valley A",330,Rice Memorial A,200
"
Essex B",190,Rice Memorial B,90
"
South Burlington B",165,Burlington C,115
"
Burlington B",185,South Burlington A,155
"
Mt. Abraham",130,Champlain Valley B,105
Winner,Score,Loser,Score
"
Rice Memorial A",235,Mt. Abraham,120
"
Essex A",295,South Burlington A,185
"
Champlain Valley A",340,Burlington A,235
"
Burlington B",245,Champlain Valley B,155
"
Burlington C",150,Essex B,100
"
Rice Memorial B",165,South Burlington B,155
