\nHunter A,315,Liviathon B,185
\nBelmont,315,Bronx Science,135
\nDarien B,330,Liviathon C,150
\nChoate Dinner,145,Middlesex 135,(OT)
\nLiviathon A,270,Hunter B,135
\nLexington Labradors,500,Hopkins,135
\nLiviathon D,145,Notre Dame HS,105
\nHunter A,550,Middlesex,35
\nDarien A,540,Belmont,190
\nDarien B,300,Liviathon B,255
\nBronx Science,255,Choate Dinner,185
\nHastings,415,Liviathon C,160
\nLexington Labradors,590,Notre Dame HS,40
\nHunter B,340,Liviathon D,175
\nLiviathon A,265,Hopkins,230
\nBelmont,380,Liviathon C,195
\nDarien B,355,Middlesex,100
\nDarien A,470,Choate Dinner,195
\nHastings,370,Liviathon B,275
\nHunter A,500,Bronx Science,105
\nHopkins,210,Liviathon D,200
\nLexington Labradors,475,Liviathon A,150
\nHunter B,280,Notre Dame HS,35
\nDarien B,290,Bronx Science,240
\nChoate Dinner,265,Liviathon C,235
\nHastings,460,Middlesex,90
\nDarien A,420,Hunter A,190
\nLiviathon B,350,Belmont,200
\nLiviathon A,290,Notre Dame HS,40
\nHunter B,295,Hopkins,200
\nLexington Labradors,585,Liviathon D,75
\nHunter A,355,Liviathon C,180
\nBelmont,410,Middlesex,60
\nDarien A,535,Darien B,95
\nLexington Labradors,550,Hunter B,70
\nLiviathon A,370,Liviathon D,70
\nLiviathon B,320,Choate Dinner,185
\nHastings,520,Bronx Science,135
\nHopkins,285,Notre Dame HS,30
\nLiviathon B,320,Hunter A,315
\nDarien A,415,Lexington Labradors,295
\nLiviathon A,305,Hastings,230
\nBelmont,355,Liviathon C,175
\nBronx Science,250,Hunter B,235
\nDarien B,400,Hopkins,130
\nLiviathon D,280,Choate Dinner,190
\nDarien A,600,Liviathon A,100
\nHastings,395,Hunter A,235
\nLexington Labradors,470,Liviathon B,210
\nBronx Science,250,Hopkins,170
\nDarien B,360,Belmont,205
\nHunter B,345,Liviathon C,85
\nChoate Dinner,345,Notre Dame HS,95
\nLexington Labradors,445,Hastings,240
\nDarien A,405,Liviathon B,205
\nHunter A,465,Liviathon A,80
\nDarien B,290,Hunter B,235
\nBronx Science,225,Liviathon C,155
\nBelmont,320,Hopkins,195
\nLiviathon D,180,Notre Dame HS,60
\nLiviathon A,390,Liviathon B,210
\nLexington Labradors,420,Hunter A,275
\nDarien A,385,Hastings,360
\nHopkins,215,Liviathon C,210
\nBelmont,390,Hunter B,205
\nDarien B,330,Bronx Science,270
\nChoate Dinner,340,Notre Dame HS,100
\nDarien A,340,Hunter A,225
\nHastings,380,Liviathon B,235
\nLexington Labradors,405,Liviathon A,230
\nBronx Science,300,Belmont,225
\nDarien B,350,Liviathon C,175
\nHunter B,390,Hopkins,120
\nChoate Dinner,290,Liviathon D,150
