Winner,Score,Loser,Score
"
BFA-St. Albans A",200,Richford,80
"
BFA-Fairfax A",185,Enosburg Falls,110
"
BFA-Fairfax B",85,BFA-St. Albans B,75
Winner,Score,Loser,Score
"
Enosburg Falls",100,BFA-St. Albans B,30
"
BFA-Fairfax B",165,Richford,105
"
BFA-St. Albans A",115,BFA-Fairfax A,105
Winner,Score,Loser,Score
"
BFA-St. Albans A",165,BFA-Fairfax B,65
"
Enosburg Falls",155,Richford,75
"
BFA-Fairfax A",100,BFA-St. Albans B,30
Winner,Score,Loser,Score
"
BFA-Fairfax B",190,BFA-St. Albans B,60
"
BFA-Fairfax A",210,Richford,85
"
BFA-St. Albans A",185,Enosburg Falls,65
Winner,Score,Loser,Score
"
Richford",135,BFA-St. Albans B,80
"
BFA-Fairfax B",120,Enosburg Falls,90
"
BFA-Fairfax A",140,BFA-St. Albans A,135
