Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",720,11,8,1,480,25.26,Wissahickon C,20
"
Wilmington Charter A",705,12,6,1,470,26.11,Downingtown STEM C,50
"
Ridgewood A",545,3,14,2,370,21.76,West Windsor-Plainsboro North B,65
"
High Tech A",525,7,8,4,360,24.00,Immaculata,50
"
Olin Bose",510,6,10,4,340,21.25,Wissahickon B,90
"
Princeton High",490,6,9,0,310,20.67,River Dell,135
"
Wissahickon A",460,5,10,1,290,19.33,John P. Stevens,110
"
Biotech B",470,7,7,1,300,21.43,Chapin School B,155
"
Biotech A",490,9,5,1,310,22.14,Wilmington Charter B,195
"
Downingtown STEM B",440,5,8,3,300,23.08,Pingry,170
"
Ithaca B",295,2,9,1,180,16.36,Millburn,185
"
Biotech C",290,4,6,0,170,17.00,High Tech B,220
"
West Windsor-Plainsboro North A",305,3,8,2,190,17.27,Watchung Hills,255
"
Ithaca A",345,5,5,2,230,23.00,Ridgewood B,300
"
Ranney",365,7,2,0,240,26.67,Chapin School A,355
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Biotech A",590,9,7,1,390,24.38,West Windsor-Plainsboro North B,40
"
West Windsor-Plainsboro North A",540,6,11,2,350,20.59,Wissahickon C,80
"
John P. Stevens",415,4,10,1,260,18.57,Chapin School B,25
"
Watchung Hills",425,5,9,0,260,18.57,Ithaca B,65
"
Ranney",425,4,11,3,270,18.00,Immaculata,100
"
High Tech A",465,7,6,2,310,23.85,Princeton High,155
"
Ridgewood B",390,6,7,2,240,18.46,Biotech C,140
"
Wissahickon A",405,4,9,1,260,20.00,Downingtown STEM C,170
"
Downingtown STEM A",430,9,3,3,280,23.33,Millburn,200
"
Ridgewood A",425,6,7,1,270,20.77,Downingtown STEM B,200
"
Olin Bose",380,6,5,4,260,23.64,High Tech B,225
"
Wilmington Charter A",450,11,1,1,280,23.33,Biotech B,300
"
River Dell",330,1,11,1,210,17.50,Chapin School A,200
"
Ithaca A",355,2,9,5,260,23.64,Wissahickon B,260
"
Wilmington Charter B",315,2,9,3,210,19.09,Pingry,230
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Olin Bose",550,8,8,2,360,22.50,Biotech C,55
"
Downingtown STEM A",455,6,8,5,310,22.14,Ithaca B,130
"
Ridgewood A",475,6,8,3,320,22.86,Pingry,155
"
High Tech A",470,4,9,4,340,26.15,River Dell,150
"
Wilmington Charter A",425,8,5,5,280,21.54,Chapin School B,135
"
Biotech A",440,7,6,1,280,21.54,Downingtown STEM B,175
"
Ithaca A",430,3,9,1,300,25.00,High Tech B,170
"
Biotech B",415,5,7,0,270,22.50,Wissahickon A,195
"
Chapin School A",270,3,7,5,180,18.00,Immaculata,75
"
Watchung Hills",290,4,7,4,180,16.36,Wissahickon C,150
"
Ridgewood B",310,3,9,1,180,15.00,Wissahickon B,170
"
Wilmington Charter B",230,1,9,1,130,13.00,West Windsor-Plainsboro North B,110
"
John P. Stevens",300,2,8,2,200,20.00,Downingtown STEM C,190
"
West Windsor-Plainsboro North A",365,4,8,3,240,20.00,Millburn,280
"
Princeton High",370,6,5,2,240,21.82,Ranney,315
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",445,7,6,2,290,22.31,West Windsor-Plainsboro North A,115
"
Biotech B",365,5,8,2,220,16.92,John P. Stevens,80
"
River Dell",375,3,9,2,250,20.83,Immaculata,105
"
Downingtown STEM B",380,3,10,7,270,20.77,Wilmington Charter B,115
"
High Tech A",430,3,10,3,300,23.08,Ranney,175
"
Wilmington Charter A",410,5,7,3,280,23.33,Wissahickon A,190
"
Princeton High",370,7,5,1,220,18.33,Chapin School A,155
"
Ridgewood A",400,4,7,2,280,25.45,Biotech A,190
"
Ithaca B",245,1,10,0,130,11.82,Wissahickon C,105
"
Pingry",310,2,9,0,190,17.27,West Windsor-Plainsboro North B,175
"
Olin Bose",380,6,5,2,250,22.73,Ithaca A,305
"
High Tech B",255,2,8,1,150,15.00,Ridgewood B,215
"
Downingtown STEM C",175,1,8,0,80,8.89,Chapin School B,150
"
Watchung Hills",245,0,10,1,150,15.00,Millburn,235
"
Wissahickon B",175,1,7,0,90,11.25,Biotech C,170
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Biotech A",565,8,9,1,360,21.18,Pingry,45
"
Wilmington Charter A",580,9,7,1,380,23.75,John P. Stevens,75
"
West Windsor-Plainsboro North A",505,7,10,2,310,18.24,Ithaca B,60
"
Princeton High",520,7,9,1,330,20.62,Immaculata,85
"
Wissahickon A",415,6,8,5,270,19.29,Chapin School B,50
"
Ithaca A",400,8,5,2,240,18.46,Biotech C,70
"
High Tech A",470,9,4,5,320,24.62,Chapin School A,160
"
Millburn",350,3,9,3,230,19.17,Wissahickon C,85
"
Downingtown STEM B",400,6,7,4,260,20.00,West Windsor-Plainsboro North B,135
"
Biotech B",330,4,9,6,210,16.15,Downingtown STEM C,80
"
Ridgewood A",390,7,5,5,260,21.67,Wilmington Charter B,165
"
Olin Bose",400,10,1,2,250,22.73,Ridgewood B,230
"
High Tech B",305,1,10,2,200,18.18,Wissahickon B,185
"
Ranney",380,7,4,3,250,22.73,River Dell,275
"
Downingtown STEM A",295,5,5,4,190,19.00,Watchung Hills,210
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Olin Bose",460,7,6,1,300,23.08,West Windsor-Plainsboro North A,165
"
Biotech C",320,6,5,0,180,16.36,Immaculata,30
"
Ridgewood A",460,4,9,2,320,24.62,Princeton High,205
"
Wilmington Charter A",470,5,7,1,330,27.50,Biotech B,220
"
Ranney",430,5,8,1,280,21.54,Downingtown STEM B,190
"
Chapin School A",280,4,8,2,150,12.50,Wissahickon B,100
"
Biotech A",415,4,8,1,280,23.33,High Tech A,250
"
Downingtown STEM A",455,8,4,1,300,25.00,Ithaca A,300
"
John P. Stevens",295,3,8,2,180,16.36,Watchung Hills,185
"
Wissahickon A",250,2,7,2,160,17.78,Ithaca B,150
"
Wilmington Charter B",315,3,7,2,210,21.00,Millburn,245
"
Downingtown STEM C",235,3,7,0,120,12.00,West Windsor-Plainsboro North B,170
"
Chapin School B",160,1,8,1,70,7.78,Wissahickon C,110
"
Ridgewood B",275,4,6,1,160,16.00,Pingry,230
