Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston A",650,10,7,2,440,25.88,Edison B,30
"
Hunter A",595,6,12,1,390,21.67,Seton Hall Prep B,15
"
Hastings A",580,7,10,3,390,22.94,Livingston J,15
"
Biotech A",500,3,13,3,340,21.25,East Brunswick E,-5
"
Livingston B",525,3,15,0,330,18.33,Pingry,40
"
Mountain Lakes A",495,3,14,2,320,18.82,Westfield,30
"
East Brunswick A",485,1,15,2,330,20.62,West Essex B,30
"
Edison A",410,6,8,4,260,18.57,West Essex A,40
"
Ranney A",375,2,13,1,220,14.67,Morristown-Beard,75
"
Darien A",355,3,10,2,220,16.92,Livingston E,70
"
Darien B",295,5,6,6,190,17.27,Atlantic City,20
"
Biotech B",370,1,12,1,240,18.46,Randolph,110
"
Bronx Science",305,1,11,4,200,16.67,Livingston H,60
"
Eastchester",390,2,11,0,250,19.23,Princeton High,150
"
John P. Stevens A",305,3,9,2,180,15.00,Livingston G,75
"
Hightstown A",345,2,11,3,220,16.92,Leonia,115
"
Hightstown B",235,2,8,1,130,13.00,Seton Hall Prep A,10
"
Hunter B",355,5,6,4,240,21.82,East Brunswick C,135
"
Livingston C",290,2,13,2,140,9.33,East Brunswick D,80
"
Choate",265,1,12,0,130,10.00,Mountain Lakes C,85
"
Heritage Middle B",220,1,8,3,140,15.56,St. Peter's Prep,60
"
West Windsor-Plainsboro North",180,0,11,2,80,7.27,Jonathan Dayton A,25
"
East Brunswick B",260,3,8,3,150,13.64,John P. Stevens B,120
"
Ridgewood A",255,1,10,0,140,12.73,Hunter C,135
"
Peddie",285,2,10,1,160,13.33,Edison Academy,180
"
Livingston F",290,6,4,0,160,16.00,Heritage Middle A,190
"
Livingston D",260,0,11,0,150,13.64,Wilmington Charter,165
"
Watchung Hills",220,0,9,2,140,15.56,Livingston I,125
"
Bergen Academies",195,2,7,1,100,11.11,Immaculata,140
"
Ranney B",190,0,9,0,100,11.11,Ridgewood B,145
"
Bloomfield",150,0,7,0,80,11.43,Jonathan Dayton B,140
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Livingston A",575,8,8,3,390,24.38,Immaculata,70
"
Livingston B",495,3,14,2,320,18.82,Atlantic City,30
