Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Bishop Ludden A",475,3,13,2,310,19.38,Bishop Ludden B,55
"
Ithaca A",420,3,10,3,290,22.31,Ithaca B,110
"
Geneva A",270,1,9,3,180,18.00,Bishop Ludden D,80
"
Geneva B",300,2,11,0,160,12.31,Bishop Ludden C,145
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ithaca A",450,5,10,1,280,18.67,Bishop Ludden B,85
"
Bishop Ludden A",430,3,11,3,290,20.71,Geneva A,80
"
Bishop Ludden C",200,0,10,2,110,11.00,Bishop Ludden D,35
"
Geneva B",230,2,7,0,130,14.44,Ithaca B,200
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Bishop Ludden A",340,3,10,3,210,16.15,Bishop Ludden D,45
"
Ithaca A",270,3,9,3,150,12.50,Bishop Ludden C,95
"
Geneva A",245,1,10,2,140,12.73,Geneva B,210
"
Ithaca B",215,0,10,3,130,13.00,Bishop Ludden B,205
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Bishop Ludden B",295,3,9,0,160,13.33,Bishop Ludden C,110
"
Geneva A",285,3,8,2,170,15.45,Ithaca A,125
"
Geneva B",230,2,8,2,130,13.00,Bishop Ludden D,90
"
Bishop Ludden A",265,1,10,2,160,14.55,Ithaca B,145
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Bishop Ludden A",350,2,12,2,210,15.00,Bishop Ludden C,45
"
Bishop Ludden B",315,0,13,1,190,14.62,Bishop Ludden D,120
"
Ithaca A",265,4,6,5,170,17.00,Geneva B,145
"
Geneva A",235,0,10,3,150,15.00,Ithaca B,205
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ithaca A",430,6,8,4,280,20.00,Bishop Ludden D,70
"
Geneva A",350,3,10,1,210,16.15,Bishop Ludden B,70
"
Ithaca B",200,2,6,2,120,15.00,Bishop Ludden C,115
"
Bishop Ludden A",260,1,9,1,160,16.00,Geneva B,235
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ithaca B",340,0,14,0,200,14.29,Bishop Ludden D,35
"
Geneva B",365,3,11,2,220,15.71,Bishop Ludden B,80
"
Geneva A",320,2,13,0,160,10.67,Bishop Ludden C,85
"
Ithaca A",310,5,5,3,200,20.00,Bishop Ludden A,255
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ithaca A",375,6,5,1,240,21.82,Bishop Ludden A,240
"
Geneva A",245,2,6,1,160,20.00,Geneva B,180
"
Ithaca B",285,2,7,1,190,21.11,Bishop Ludden B,225
"
Bishop Ludden C",145,0,6,1,90,15.00,Bishop Ludden D,115
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Bishop Ludden B",310,0,14,0,170,12.14,Bishop Ludden D,25
"
Ithaca B",260,2,8,2,160,16.00,Bishop Ludden C,45
"
Bishop Ludden A",320,2,11,2,190,14.62,Geneva A,115
"
Ithaca A",310,1,10,1,200,18.18,Geneva B,250
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ithaca B",310,3,10,1,170,13.08,Bishop Ludden D,25
"
Ithaca A",405,4,9,1,260,20.00,Geneva A,150
"
Bishop Ludden B",265,0,12,1,150,12.50,Bishop Ludden C,60
"
Bishop Ludden A",315,4,7,3,200,18.18,Geneva B,175
