Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Emmaus A",325,3,10,0,180,13.85,Downingtown STEM B,50
"
Germantown Friends",385,2,11,3,260,20.00,Wissahickon B,185
"
West Chester East A",270,1,10,3,170,15.45,Great Valley C,85
"
Penn Manor A",295,2,10,1,170,14.17,Great Valley B,140
"
West Chester East B",215,1,8,2,130,14.44,Penn Manor B,110
"
Downingtown STEM A",270,3,7,3,170,17.00,Cedar Crest A,200
"
Wissahickon C",120,0,7,0,50,7.14,Emmaus B,85
"
Cedar Crest B",160,0,7,0,90,12.86,Friends Select,135
"
Great Valley A",225,4,4,3,140,17.50,Wissahickon A,215
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Cedar Crest A",390,1,13,3,260,18.57,Wissahickon C,10
"
Great Valley A",420,1,14,5,290,19.33,Penn Manor B,80
"
Downingtown STEM A",420,5,8,5,290,22.31,Penn Manor A,140
"
West Chester East A",345,1,11,4,240,20.00,Friends Select,130
"
Great Valley B",245,2,9,5,150,13.64,Emmaus B,50
"
Germantown Friends",275,3,7,4,180,18.00,Great Valley C,140
"
Emmaus A",280,0,9,0,190,21.11,West Chester East B,180
"
Wissahickon A",290,2,9,0,170,15.45,Downingtown STEM B,190
"
Cedar Crest B",220,0,10,0,120,12.00,Wissahickon B,190
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",365,3,11,4,230,16.43,Emmaus B,30
"
Germantown Friends",415,3,12,2,260,17.33,Friends Select,100
"
Wissahickon A",315,1,13,2,180,12.86,Penn Manor B,50
"
Great Valley B",280,1,13,3,150,10.71,Wissahickon C,20
"
West Chester East A",295,1,13,2,160,11.43,Cedar Crest B,50
"
Cedar Crest A",200,1,8,3,120,13.33,Penn Manor A,140
"
Wissahickon B",185,1,7,2,110,13.75,Great Valley C,125
"
Great Valley A",230,4,4,6,160,20.00,Emmaus A,175
"
West Chester East B",165,0,8,1,90,11.25,Downingtown STEM B,130
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",485,4,11,5,340,22.67,Wissahickon C,40
"
Cedar Crest A",410,4,10,2,260,18.57,Great Valley B,115
"
Great Valley A",405,8,5,5,260,20.00,West Chester East B,125
"
Penn Manor A",295,1,13,0,150,10.71,Emmaus B,40
"
Downingtown STEM B",260,2,9,2,150,13.64,Penn Manor B,90
"
Emmaus A",315,0,12,1,200,16.67,Wissahickon A,150
"
Great Valley C",150,0,7,4,100,14.29,Cedar Crest B,130
"
Friends Select",165,2,5,3,100,14.29,Wissahickon B,145
"
Germantown Friends",240,4,5,2,140,15.56,West Chester East A,230
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Cedar Crest A",435,4,12,1,260,16.25,Emmaus B,20
"
Downingtown STEM A",425,6,7,3,280,21.54,Great Valley B,80
"
Germantown Friends",380,2,12,2,240,17.14,Cedar Crest B,45
"
West Chester East A",395,4,10,1,240,17.14,Wissahickon B,100
"
Penn Manor A",305,0,13,1,180,13.85,Wissahickon C,60
"
Emmaus A",310,0,13,0,180,13.85,Penn Manor B,80
"
Great Valley A",330,5,6,5,220,20.00,Downingtown STEM B,135
"
Wissahickon A",320,2,10,2,200,16.67,West Chester East B,160
"
Friends Select",270,2,9,0,150,13.64,Great Valley C,150
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Germantown Friends",420,5,9,1,260,18.57,Emmaus A,130
"
Great Valley A",395,5,7,4,270,22.50,West Chester East A,120
"
Wissahickon A",320,5,6,3,200,18.18,Cedar Crest B,80
"
Great Valley C",240,1,9,1,140,14.00,Downingtown STEM B,105
"
Downingtown STEM A",325,3,8,6,230,20.91,Cedar Crest A,205
"
Emmaus B",150,0,9,0,60,6.67,Wissahickon C,95
"
West Chester East B",175,1,6,2,110,15.71,Friends Select,140
"
Penn Manor B",180,0,9,0,90,10.00,Wissahickon B,155
"
Penn Manor A (OT)",225,3,8,0,100,10.00,Great Valley B,210
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",410,5,7,1,270,22.50,West Chester East A,145
"
Great Valley B",270,2,8,0,160,16.00,Friends Select,50
"
Great Valley A",310,3,7,3,210,21.00,Emmaus A,150
"
Wissahickon B",225,1,8,0,130,14.44,Emmaus B,65
"
Great Valley C",185,1,9,4,100,10.00,Wissahickon C,55
"
West Chester East B",275,2,9,3,170,15.45,Wissahickon A,180
"
Cedar Crest A",290,2,8,2,190,19.00,Germantown Friends,200
"
Downingtown STEM B (OT)",125,1,7,4,60,8.57,Penn Manor B,110
"
Penn Manor A (OT)",175,1,8,2,90,11.25,Cedar Crest B,165
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",455,6,8,1,290,20.71,Germantown Friends,140
"
Downingtown STEM B",295,2,12,1,150,10.71,Emmaus B,20
"
West Chester East B",270,1,9,1,170,17.00,Cedar Crest B,90
"
Wissahickon B",215,1,8,4,140,15.56,Wissahickon C,80
"
Great Valley C",175,2,7,1,80,8.89,Penn Manor B,90
"
West Chester East A",280,3,8,3,170,15.45,Emmaus A,205
"
Great Valley B",295,1,10,0,180,16.36,Wissahickon A,225
"
Cedar Crest A",255,3,7,2,150,15.00,Great Valley A,250
"
Friends Select",200,1,8,1,110,12.22,Penn Manor A,195
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM A",430,3,11,3,290,20.71,Emmaus A,160
"
West Chester East B",325,2,11,1,190,14.62,Penn Manor A,75
"
Wissahickon A",350,3,11,3,210,15.00,Friends Select,100
"
Great Valley C",305,3,10,2,170,13.08,Emmaus B,65
"
Great Valley A",365,2,10,1,240,20.00,Germantown Friends,240
"
Penn Manor B",180,0,8,2,110,13.75,Wissahickon C,80
"
Great Valley B",190,0,9,2,110,12.22,Cedar Crest B,100
"
West Chester East A",280,2,9,4,180,16.36,Cedar Crest A,210
"
Wissahickon B",210,1,7,1,130,16.25,Downingtown STEM B,205
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Downingtown STEM B",250,3,9,1,120,10.00,Wissahickon C,10
"
Great Valley C",225,2,8,3,130,13.00,Wissahickon B,70
"
Penn Manor B",210,1,8,1,120,13.33,Emmaus B,60
"
Wissahickon A",270,3,6,1,170,18.89,Penn Manor A,135
"
Cedar Crest A",315,4,8,1,180,15.00,Emmaus A,185
"
West Chester East A",270,2,9,4,170,15.45,Germantown Friends,185
"
Great Valley B",215,1,9,0,110,11.00,West Chester East B,130
"
Friends Select",180,0,9,2,100,11.11,Cedar Crest B,110
"
Downingtown STEM A",310,3,7,1,200,20.00,Great Valley A,275
