\nThe Berkeley Carroll School,420,Cardinal Spellman,15
\nEastchester,330,Moravian Academy,240
\nHastings A,450,Hunter A,240
\nHastings B,335,Hunter B,185
\nBronx Science,325,Anto-neg and Cleopatra B,160
\nAnto-neg and Cleopatra A,235,Anto-neg and Cleopatra B,70
\nThe Berkeley Carroll School,220,Bronx Science,215
\nLaker Scholars,345,Hunter C,160
\nHastings A,485,Moravian Academy,130
\nEastchester,230,Hunter B,180
\nHunter A,610,Cardinal Spellman,35
\nAnto-neg and Cleopatra A,220,The Berkeley Carroll School,160
\nHastings A,345,Hunter B,220
\nHunter A,555,Bronx Science,85
\nMoravian Academy,325,Cardinal Spellman,110
\nLaker Scholars,320,Hastings B,170
\nAnto-neg and Cleopatra B,150,Hunter C,120
\nHastings B,355,Anto-neg and Cleopatra B,65
\nBronx Science,310,Moravian Academy,165
\nHunter A,560,Anto-neg and Cleopatra A,135
\nHunter C,280,The Berkeley Carroll School,95
\nHunter B,270,Cardinal Spellman,50
\nLaker Scholars,365,Eastchester,150
\nMoravian Academy,375,Anto-neg and Cleopatra A,140
\nBronx Science,245,Hunter B,225
\nEastchester,340,Anto-neg and Cleopatra B,120
\nHastings B,270,The Berkeley Carroll School,165
\nHastings A,440,Laker Scholars,210
\nHunter A,505,Hunter C,140
\nHastings A,450,Anto-neg and Cleopatra B,120
\nThe Berkeley Carroll School,275,Eastchester,230
\nMoravian Academy,330,Hunter C,100
\nLaker Scholars,320,Cardinal Spellman,70
\nHunter B,340,Anto-neg and Cleopatra A,145
\nHunter A,600,Hastings B,55
\nAnto-neg and Cleopatra B,240,Cardinal Spellman,65
\nLaker Scholars,285,Bronx Science,200
\nHunter A,580,Eastchester,70
\nHunter B,335,Hunter C,155
\nMoravian Academy,360,Hastings B,210
\nHastings A,475,The Berkeley Carroll School,150
\nHastings A,520,Eastchester,140
\nMoravian Academy,320,Laker Scholars,200
\nHastings B,325,Bronx Science,220
\nHunter C,225,Cardinal Spellman,130
\nHunter A,370,Hunter B,160
\nThe Berkeley Carroll School,310,Anto-neg and Cleopatra B,40
\nHastings A,525,Bronx Science,135
\nHunter A,610,Moravian Academy,75
\nLaker Scholars,360,Hunter B,195
\nEastchester,285,Hastings B,240
\nAnto-neg and Cleopatra A,390,Cardinal Spellman,55
\nHunter A,530,Laker Scholars,100
\nHunter B,355,Moravian Academy,185
\nHunter C,240,Anto-neg and Cleopatra A,195
\nHastings A,515,Hastings B,120
\nBronx Science,360,Eastchester,115
\nHastings A,380,Hunter A,155
