Winner,Score,P,TU,I,B,PPB,Loser,Score
"
High Tech A",575,9,8,2,370,21.76,Ocean Township,20
"
Biotech A",525,9,7,2,330,20.62,Sayreville War Memorial B,50
"
Ranney",495,5,10,0,320,21.33,Colonia B,105
"
John F. Kennedy Memorial A",440,3,12,1,280,18.67,Jackson Memorial,70
"
Leonia A",310,4,9,0,160,12.31,Shawnee B,50
"
East Brunswick",360,2,11,0,220,16.92,Shawnee A,120
"
Lenape C",280,1,12,1,150,11.54,Biotech C,80
"
High Tech B",350,0,12,0,230,19.17,John F. Kennedy Memorial B,180
"
Edison Academy A",300,3,7,3,200,20.00,Lenape B,180
"
Biotech B",335,5,5,2,220,22.00,Brick Memorial,240
"
Lenape D",215,0,11,1,110,10.00,Egg Harbor Township,145
"
Lenape A",240,1,9,3,150,15.00,Bergen Academies,170
"
Edison Academy B",205,3,4,0,120,17.14,Leonia B,155
"
Manasquan",165,0,7,1,100,14.29,Academy of Allied Health and Science,125
"
Colonia A",70,0,5,0,20,4.00,Sayreville War Memorial A,50
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ranney",505,7,9,0,310,19.38,Shawnee A,80
"
John F. Kennedy Memorial A",390,4,10,4,250,17.86,Sayreville War Memorial B,25
"
Biotech A",390,3,11,3,250,17.86,Lenape D,60
"
Edison Academy A",410,2,10,0,280,23.33,John F. Kennedy Memorial B,100
"
Edison Academy B",365,1,14,0,210,14.00,Colonia A,60
"
Lenape B",300,1,11,3,190,15.83,Leonia B,65
"
Brick Memorial",285,3,8,0,160,14.55,Colonia B,60
"
Biotech D",225,0,9,1,140,15.56,Shawnee B,90
"
Manasquan",180,0,8,0,100,12.50,Biotech C,105
"
Egg Harbor Township",150,2,5,0,70,10.00,Jackson Memorial,90
"
High Tech B",235,3,6,0,130,14.44,High Tech A,185
"
Biotech B",230,2,6,0,140,17.50,Lenape C,185
"
East Brunswick",195,1,7,2,120,15.00,Academy of Allied Health and Science,150
"
Sayreville War Memorial A",100,0,6,0,40,6.67,Ocean Township,60
"
Leonia A",235,1,9,2,140,14.00,Bergen Academies,195
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Ranney",505,5,10,0,330,22.00,Brick Memorial,70
"
High Tech A",355,5,8,4,220,16.92,Sayreville War Memorial A,55
"
Edison Academy B",305,0,13,1,180,13.85,Ocean Township,10
"
Lenape A",310,1,12,1,180,13.85,Shawnee B,35
"
Lenape B",345,1,11,0,220,18.33,Colonia A,75
"
Edison Academy A",410,3,10,3,280,21.54,High Tech B,160
"
Biotech B",310,1,13,3,180,12.86,Manasquan,70
"
Biotech A",385,5,6,2,260,23.64,John F. Kennedy Memorial A,175
"
Shawnee A",310,2,10,0,180,15.00,Academy of Allied Health and Science,105
"
Egg Harbor Township",230,2,10,2,110,9.17,Sayreville War Memorial B,30
"
Leonia B",210,2,8,2,110,11.00,John F. Kennedy Memorial B,100
"
Lenape D",200,0,11,0,90,8.18,Jackson Memorial,95
"
East Brunswick",180,3,5,1,90,11.25,Biotech C,145
"
Biotech D",220,1,8,3,140,15.56,Leonia A,185
"
Lenape C",160,1,8,1,70,7.78,Colonia B,145
Winner,Score,P,TU,I,B,PPB,Loser,Score
"
Edison Academy A",540,4,12,0,360,22.50,Leonia B,75
"
High Tech A",385,3,11,6,260,18.57,Colonia A,50
"
Biotech A",380,6,6,4,250,20.83,Jackson Memorial,55
"
Lenape D",350,0,15,0,200,13.33,Sayreville War Memorial B,45
"
John F. Kennedy Memorial B",340,1,12,1,210,16.15,Ocean Township,60
"
Leonia A",325,3,8,2,210,19.09,Lenape A,60
"
John F. Kennedy Memorial A",325,4,6,5,230,23.00,Egg Harbor Township,135
"
Ranney",400,4,10,0,240,17.14,Biotech B,215
"
Shawnee A",260,0,12,0,140,11.67,Manasquan,120
"
Academy of Allied Health and Science",260,0,10,2,170,17.00,Biotech C,130
