Winner,Score,Loser,Score
"
Kings Park B",280,Wheatley B,25
"
North Babylon A",315,Valley Stream South B,70
"
Kings Park A",270,Island Trees,35
"
Valley Stream South A",190,North Babylon B,45
"
Kings Park C",130,Wheatley A,95
Winner,Score,Loser,Score
"
North Babylon A",390,Island Trees,95
"
Kings Park A",360,Kings Park B,95
"
Valley Stream South B",250,North Babylon B,90
"
Valley Stream South A",245,Wheatley A,90
"
Kings Park C",150,Wheatley B,105
Winner,Score,Loser,Score
"
Valley Stream South A",375,Wheatley B,0
"
Valley Stream South B",165,Wheatley A,60
"
North Babylon A",170,North Babylon B,80
"
Island Trees",175,Kings Park B,115
"
Kings Park A",145,Kings Park C,110
Winner,Score,Loser,Score
"
Kings Park A",410,Valley Stream South A,125
"
North Babylon A",315,Wheatley A,35
"
Valley Stream South B",285,Wheatley B,45
"
Kings Park B",245,Kings Park C,90
"
Island Trees",125,North Babylon B,105
Winner,Score,Loser,Score
"
Kings Park A",475,Valley Stream South B,60
"
North Babylon A",365,Wheatley B,20
"
Valley Stream South A",400,Kings Park B,125
"
Wheatley A",200,North Babylon B,120
"
Island Trees",135,Kings Park C,80
Winner,Score,Loser,Score
"
Valley Stream South A",425,Kings Park C,35
"
Kings Park B",240,Valley Stream South B,80
"
North Babylon B",125,Wheatley B,35
"
Kings Park A",245,North Babylon A,200
"
Wheatley A",160,Island Trees,150
Winner,Score,Loser,Score
"
Kings Park A",410,North Babylon B,15
"
Valley Stream South B",215,Kings Park C,30
"
Valley Stream South A",275,Island Trees,135
"
North Babylon A",220,Kings Park B,165
"
Wheatley B",60,Wheatley A,35
Winner,Score,Loser,Score
"
Kings Park A",365,Wheatley A,40
"
Island Trees",315,Wheatley B,10
"
North Babylon A",370,Kings Park C,75
"
Valley Stream South A",310,Valley Stream South B,105
"
Kings Park B",280,North Babylon B,110
Winner,Score,Loser,Score
"
Kings Park A",385,Wheatley B,40
"
Valley Stream South A",285,North Babylon A,185
"
Valley Stream South B",175,Island Trees,95
"
North Babylon B",105,Kings Park C,55
"
Kings Park B",205,Wheatley A,165
