Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth",400,2,15,2,230,13.53,Bishop Ludden C,60,0,2,0,40,20.00,20
"
Ithaca A",345,4,8,3,220,18.33,Ithaca B,40,0,2,0,20,10.00,20
"
Saratoga Springs",335,3,10,2,200,15.38,Bishop Ludden B,75,0,3,1,50,16.67,20
"
Geneva",280,4,8,2,150,12.50,Bishop Ludden D,65,1,4,2,20,4.00,20
"
Troy",260,0,10,0,160,16.00,Bishop Ludden A,200,1,6,1,130,18.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Geneva",350,1,13,1,210,15.00,Ithaca B,10,0,1,2,10,10.00,20
"
Troy",335,3,11,2,190,13.57,Bishop Ludden C,60,0,4,0,20,5.00,20
"
Bishop Ludden A",265,1,13,2,130,9.29,Bishop Ludden B,95,0,4,3,70,17.50,20
"
Plymouth",305,1,11,0,180,15.00,Ithaca A,135,0,6,5,100,16.67,20
"
Saratoga Springs",140,0,9,4,70,7.78,Bishop Ludden D,65,0,4,3,40,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Saratoga Springs",270,1,11,1,150,12.50,Ithaca B,0,0,0,0,0,0.00,20
"
Bishop Ludden A",285,0,12,1,170,14.17,Bishop Ludden C,35,0,2,1,20,10.00,20
"
Troy",260,2,8,0,150,15.00,Ithaca A,140,1,5,3,90,15.00,20
"
Bishop Ludden D (OT)",155,0,9,1,70,7.78,Bishop Ludden B,75,1,4,2,30,7.50,21
"
Plymouth",245,1,9,4,160,16.00,Geneva,165,2,6,1,80,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ithaca A",400,2,14,2,240,15.00,Bishop Ludden C,70,0,3,0,40,13.33,20
"
Plymouth",335,4,10,1,180,12.86,Saratoga Springs,35,1,3,6,20,5.00,20
"
Bishop Ludden A",255,0,10,1,160,16.00,Bishop Ludden D,95,1,4,0,40,8.00,20
"
Troy",305,2,10,1,180,15.00,Geneva,170,3,4,1,90,12.86,20
"
Ithaca B",95,0,6,1,40,6.67,Bishop Ludden B,80,0,4,0,40,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth",390,3,11,3,250,17.86,Bishop Ludden B,5,0,1,3,10,10.00,20
"
Geneva",395,0,15,3,260,17.33,Bishop Ludden C,25,0,2,1,10,5.00,20
"
Ithaca A",350,5,7,1,210,17.50,Bishop Ludden A,150,2,5,4,90,12.86,20
"
Troy",280,4,7,2,160,14.55,Saratoga Springs,220,2,7,0,120,13.33,20
"
Bishop Ludden D",65,0,6,3,20,3.33,Ithaca B,55,0,4,3,30,7.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop Ludden A",375,1,15,2,220,13.75,Ithaca B,-5,0,0,1,0,0.00,20
"
Ithaca A",355,2,11,3,230,17.69,Geneva,65,0,4,1,30,7.50,20
"
Plymouth",325,2,12,3,190,13.57,Bishop Ludden D,60,2,2,0,10,2.50,20
"
Troy",285,1,10,0,170,15.45,Bishop Ludden B,60,1,3,1,20,5.00,20
"
Saratoga Springs",260,3,10,1,120,9.23,Bishop Ludden C,40,0,2,0,20,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth",305,3,11,2,160,11.43,Ithaca B,25,1,1,0,0,0.00,20
"
Troy",270,1,9,1,170,17.00,Bishop Ludden D,50,1,3,1,10,2.50,20
"
Ithaca A",240,4,6,2,130,13.00,Saratoga Springs,125,2,4,1,60,10.00,20
"
Bishop Ludden A",205,1,8,2,120,13.33,Geneva,200,1,7,1,120,15.00,20
"
Bishop Ludden C",75,0,6,1,20,3.33,Bishop Ludden B,70,0,5,2,30,6.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy",330,0,13,0,200,15.38,Ithaca B,15,0,2,1,0,0.00,20
"
Geneva",315,1,11,0,190,15.83,Saratoga Springs,85,1,4,4,50,10.00,20
"
Ithaca A",295,1,12,2,170,13.08,Bishop Ludden B,80,0,3,0,50,16.67,20
"
Plymouth",255,0,11,3,160,14.55,Bishop Ludden A,135,1,4,0,80,16.00,20
"
Bishop Ludden D",80,0,5,2,40,8.00,Bishop Ludden C,55,0,3,1,30,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ithaca A",360,4,10,2,210,15.00,Bishop Ludden D,50,0,4,0,10,2.50,20
"
Geneva",285,1,11,2,170,14.17,Bishop Ludden B,95,2,3,1,40,8.00,20
"
Troy",300,4,8,2,170,14.17,Plymouth,160,0,7,2,100,14.29,20
"
Saratoga Springs",290,1,12,1,160,12.31,Bishop Ludden A,185,0,6,1,130,21.67,20
"
Bishop Ludden C",150,1,8,1,60,6.67,Ithaca B,125,0,6,1,70,11.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy",310,2,8,4,220,22.00,Plymouth,170,1,8,3,90,10.00,20
"
Ithaca A",250,1,7,3,180,22.50,Geneva,160,0,9,2,80,8.89,20
"
Bishop Ludden D",140,0,8,2,70,8.75,Bishop Ludden C,65,0,5,1,20,4.00,20
"
Saratoga Springs",255,0,10,1,160,16.00,Bishop Ludden A,205,2,7,3,120,13.33,20
"
Bishop Ludden B",105,1,6,2,40,5.71,Ithaca B,55,0,5,1,10,2.00,20
