\nTrinity School,255,Holsten\'s E,115
\nBronx Science,255,DSTEM C,135
\nHolsten\'s C,310,Princeton,200
\nHolsten\'s A,360,North Babylon A,245
\nHolsten\'s B,425,Holsten\'s D,90
\nHastings,375,DSTEM B,165
\nHastings,315,Holsten\'s C,260
\nDSTEM C,170,North Babylon B,120
\nHolsten\'s A,460,Holsten\'s E,60
\nDSTEM A,410,Bronx Science,140
\nHolsten\'s X,245,Holsten\'s D,130
\nDSTEM B,245,Princeton,235
\nHolsten\'s B,335,CT is greater than NJ,220
\nTrinity School,265,North Babylon A,240
\nDSTEM A,530,Holsten\'s X,55
\nBronx Science,310,Holsten\'s D,100
\nDSTEM B,355,Holsten\'s E,80
\nHastings,450,North Babylon A,140
\nHolsten\'s C,440,Trinity School,120
\nHolsten\'s A,520,Princeton,65
\nHolsten\'s B,295,North Babylon B,120
\nCT is greater than NJ,300,DSTEM C,130
\nDSTEM A,465,Holsten\'s D,25
\nHastings,535,Trinity School,50
\nPrinceton,250,Holsten\'s E,65
\nCT is greater than NJ,540,North Babylon B,40
\nHolsten\'s C,410,North Babylon A,155
\nHolsten\'s B,395,DSTEM C,60
\nHolsten\'s A,445,DSTEM B,180
\nBronx Science,335,Holsten\'s X,185
\nHastings,360,Holsten\'s A,260
\nPrinceton,315,North Babylon A,180
\nTrinity School,250,DSTEM B,170
\nHolsten\'s X,240,North Babylon B,105
\nDSTEM A,495,Holsten\'s B,125
\nCT is greater than NJ,340,Bronx Science,210
\nHolsten\'s C,585,Holsten\'s E,20
\nHolsten\'s D,315,DSTEM C,140
\nHastings,430,Holsten\'s E,70
\nDSTEM A,290,CT is greater than NJ,265
\nHolsten\'s B,350,Bronx Science,200
\nHolsten\'s A,400,Holsten\'s C,245
\nTrinity School,285,Princeton,190
\nHolsten\'s D,215,North Babylon B,110
\nNorth Babylon A,290,DSTEM B,215
\nHolsten\'s X,215,DSTEM C,120
\nBronx Science,300,North Babylon B,35
\nHastings,415,Princeton,90
\nNorth Babylon A,245,Holsten\'s E,110
\nDSTEM A,385,DSTEM C,70
\nHolsten\'s C,390,DSTEM B,120
\nHolsten\'s A,285,Trinity School,215
\nHolsten\'s B,395,Holsten\'s X,70
\nCT is greater than NJ,430,Holsten\'s D,125
\nHolsten\'s A,410,DSTEM A,235
\nHastings,345,Holsten\'s B,285
\nCT is greater than NJ,420,Trinity School,120
\nPrinceton,265,North Babylon B,70
\nHolsten\'s X,230,DSTEM B,165
\nNorth Babylon A,280,Holsten\'s D,130
\nDSTEM C,180,Holsten\'s E,120
\nHolsten\'s C,505,Bronx Science,155
\nHastings,420,Holsten\'s A,290
\nHolsten\'s B,310,DSTEM A,305
\nCT is greater than NJ,455,Bronx Science,205
\nNorth Babylon A,240,DSTEM B,225
\nHolsten\'s C,525,Trinity School,155
\nPrinceton,300,Holsten\'s E,95
\nHolsten\'s D,270,Holsten\'s X,220
\nDSTEM C,330,North Babylon B,50
\nHastings,495,DSTEM A,120
\nHolsten\'s C,395,CT is greater than NJ,205
\nHolsten\'s A,365,Holsten\'s B,155
\nTrinity School,250,Bronx Science,170
\nPrinceton,260,DSTEM C,125
\nDSTEM B,335,Holsten\'s D,110
\nHolsten\'s X,250,North Babylon A,240
