\nEast Brunswick,405,Edison B,305
\nDSTEM A,315,Livingston,265
\nHeritage C,330,Randolph B,125
\nHeritage A,730,DSTEM B,60
\nEdison A,600,Heritage D,75
\nHeritage B,400,Randolph A,255
\nDaniel Boone Academy,305,House,215
\nNorthern Highlands,385,Princeton,305
\nHeritage C,335,House,115
\nLivingston,485,Daniel Boone Academy,225
\nHeritage B,365,Maroon Mercenaries,315
\nPrinceton,370,Edison A,350
\nDSTEM B,215,Heritage D,155
\nHeritage A,565,Northern Highlands,240
\nEast Brunswick,400,Randolph A,335
\nDSTEM A,595,Randolph B,85
\nEdison B,315,BASIS-Brooklyn,255
\nDaniel Boone Academy,470,Randolph B,140
\nNorthern Highlands,390,DSTEM B,230
\nLivingston,420,House,90
\nHeritage A,420,Edison A,305
\nMaroon Mercenaries,345,Edison B,305
\nEast Brunswick,385,Heritage B,310
\nRandolph A,375,BASIS-Brooklyn,230
\nDSTEM A,370,Heritage C,220
\nPrinceton,530,Heritage D,115
\nHeritage A,695,Heritage D,-10
\nMaroon Mercenaries,460,Randolph A,165
\nLivingston,345,Randolph B,245
\nDSTEM A,500,House,90
\nEdison A,405,Northern Highlands,260
\nPrinceton,530,DSTEM B,160
\nEdison B,340,Heritage B,325
\nDaniel Boone Academy,395,Heritage C,125
\nEast Brunswick,510,BASIS-Brooklyn,70
\nLivingston,295,Heritage C,105
\nHeritage B,315,BASIS-Brooklyn,235
\nHeritage A,505,Princeton,220
\nRandolph A,485,Edison B,190
\nEast Brunswick,515,Maroon Mercenaries,155
\nRandolph B,205,House,105
\nNorthern Highlands,430,Heritage D,115
\nEdison A,320,DSTEM B,205
\nDSTEM A,380,Daniel Boone Academy,270
\nNorthern Highlands,500,Daniel Boone Academy,175
\nHeritage A,560,East Brunswick,185
\nLivingston,325,Heritage B,315
\nPrinceton,385,Maroon Mercenaries,300
\nEdison A,330,DSTEM A,280
\nRandolph A,445,Edison B,220
\nBASIS-Brooklyn,370,DSTEM B,130
\nRandolph B,230,House,160
\nHeritage C,395,Heritage D,115
\nEast Brunswick,510,DSTEM A,220
\nEdison A,360,Livingston,235
\nPrinceton,355,Edison B,220
\nMaroon Mercenaries,315,Daniel Boone Academy,295
\nHeritage A,595,Heritage B,115
\nNorthern Highlands,345,Randolph A,240
\nRandolph B,350,DSTEM B,175
\nBASIS-Brooklyn,250,Heritage C,220
\nHeritage D,155,House,135
\nEdison A,335,East Brunswick,245
\nPrinceton,460,Randolph A,135
\nHeritage A,475,Livingston,175
\nDSTEM A,395,Heritage B,95
\nNorthern Highlands,375,Maroon Mercenaries,210
\nDaniel Boone Academy,310,Edison B,200
\nBASIS-Brooklyn,385,Heritage D,85
\nDSTEM B,425,House,90
\nHeritage C,265,Randolph B,200
\nHeritage A,655,DSTEM A,95
\nHeritage B,355,Edison A,295
\nEast Brunswick,410,Livingston,280
\nNorthern Highlands,395,Edison B,200
\nMaroon Mercenaries,350,Randolph A,305
\nPrinceton,340,Daniel Boone Academy,190
\nBASIS-Brooklyn,385,House,5
\nHeritage C,265,DSTEM B,235
\nRandolph B,405,Heritage D,60
