Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont A",590,9,6,3,410,27.33,Brookline,20,0,2,2,10,5.00,20
"
Weston",575,1,14,0,420,28.00,Charlemont Academy,110,0,4,2,80,20.00,20
"
Lexington",525,5,10,2,360,24.00,Frontier Regional A,75,3,0,0,30,10.00,20
"
Mansfield A",475,3,12,0,310,20.67,Tantasqua,40,1,2,3,20,6.67,20
"
Acton-Boxborough",490,4,10,0,330,23.57,Littleton,140,2,4,2,80,13.33,20
"
Westwood",445,5,9,2,290,20.71,Bishop Stang,120,0,5,0,70,14.00,20
"
Hopkinton",390,5,7,3,260,21.67,Wellesley High,120,2,2,4,90,22.50,20
"
Mansfield B",320,2,10,0,190,15.83,Frontier Regional B,95,4,0,1,40,10.00,20
"
Belmont B",350,4,8,2,220,18.33,Westfield,165,2,4,1,100,16.67,20
"
St. John's Shrewsbury",320,3,9,3,200,16.67,Marlborough,140,2,3,0,80,16.00,20
"
Belmont C",260,2,7,2,170,18.89,Shrewsbury,215,2,7,1,120,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont A",585,11,5,2,380,23.75,Acton-Boxborough,55,1,1,0,30,15.00,20
"
Lexington",505,11,3,2,320,22.86,St. John's Shrewsbury,135,2,2,1,90,22.50,20
"
Hopkinton",445,5,9,0,280,20.00,Charlemont Academy,75,1,3,0,30,7.50,20
"
Littleton",380,5,9,1,220,15.71,Frontier Regional B,55,0,3,1,30,10.00,20
"
Weston",390,5,7,3,260,21.67,Belmont C,140,2,3,0,80,16.00,20
"
Belmont B",320,4,9,0,170,13.08,Wellesley High,105,3,3,0,30,5.00,20
"
Westwood",250,6,2,4,160,20.00,Frontier Regional A,145,2,4,1,80,13.33,20
"
Mansfield B",235,2,8,1,130,13.00,Brookline,150,2,5,4,90,12.86,20
"
Bishop Stang",185,0,8,1,110,13.75,Marlborough,115,2,2,1,70,17.50,20
"
Mansfield A",240,4,5,2,140,15.56,Westfield,215,0,9,1,130,14.44,20
"
Shrewsbury",195,1,6,2,130,18.57,Tantasqua,175,2,4,1,110,18.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont A",565,11,4,4,380,25.33,Frontier Regional B,40,0,4,0,0,0.00,20
"
Lexington",545,7,8,4,380,25.33,Marlborough,45,0,2,1,30,15.00,20
"
Hopkinton",525,7,7,0,350,25.00,Belmont C,75,2,2,1,30,7.50,20
"
Weston",505,5,10,2,340,22.67,Tantasqua,60,1,2,1,30,10.00,20
"
Mansfield B",375,5,7,0,230,19.17,Littleton,125,2,4,3,70,11.67,20
"
Westwood",340,4,7,2,220,20.00,St. John's Shrewsbury,215,0,7,1,150,21.43,20
"
Westfield",210,0,8,6,160,20.00,Shrewsbury,175,0,9,3,100,11.11,20
"
Mansfield A",300,3,7,1,190,19.00,Belmont B,265,5,3,4,180,22.50,20
"
Wellesley High",215,4,5,1,110,12.22,Charlemont Academy,185,0,8,3,120,15.00,20
"
Bishop Stang",150,1,8,3,70,7.78,Frontier Regional A,140,1,4,3,100,20.00,20
"
Brookline",275,6,5,3,150,13.64,Acton-Boxborough,265,2,7,1,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont A",635,12,5,1,410,24.12,Littleton,80,1,2,1,50,16.67,20
"
Acton-Boxborough",540,6,11,0,340,20.00,Mansfield B,35,1,1,2,20,10.00,20
"
Lexington",580,12,4,2,370,23.12,Bishop Stang,85,0,3,1,60,20.00,20
"
Hopkinton",540,9,8,1,330,19.41,Westfield,70,1,2,1,40,13.33,20
"
Westwood",425,7,8,0,240,16.00,Marlborough,50,1,1,1,30,15.00,20
"
Weston",465,8,5,1,300,23.08,Wellesley High,105,2,4,3,50,8.33,20
"
Belmont B",335,6,5,1,200,18.18,Tantasqua,75,1,3,2,40,10.00,20
"
Mansfield A",360,6,7,0,200,15.38,Shrewsbury,115,1,4,2,70,14.00,20
"
Belmont C",235,3,6,0,130,14.44,Charlemont Academy,170,4,2,0,90,15.00,20
"
Brookline",170,2,6,2,90,11.25,Frontier Regional B,140,2,5,0,60,8.57,20
"
St. John's Shrewsbury",185,1,7,4,120,15.00,Frontier Regional A,170,3,3,1,100,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Acton-Boxborough",500,7,10,1,300,17.65,Frontier Regional B,40,0,2,0,20,10.00,20
"
Belmont A",520,13,3,3,310,19.38,Mansfield B,105,1,3,0,60,15.00,20
"
Lexington",520,11,4,1,320,21.33,Westwood,155,4,0,1,100,25.00,20
"
Belmont B",315,6,5,5,200,18.18,Shrewsbury,70,1,4,1,20,4.00,20
"
Westfield",305,6,4,1,180,18.00,Tantasqua,100,1,4,1,50,10.00,20
"
Hopkinton",365,8,5,1,200,15.38,Weston,185,4,2,3,120,20.00,20
