h3>\nDeering B,330,Marshwood,185
h3>\nWindham C,290,Windham B,175
h3>\nDeering B,440,Windham C,165
h3>\nWindham A,385,Deering A,300
h3>\nWells,365,Windham C,150
h3>\nWindham A,525,Marshwood,140
h3>\nWindham B,380,Deering B,180
h3>\nWells,360,Windham B,215
h3>\nDeering A,535,Marshwood,40
h3>\nWindham A,595,Windham C,35
h3>\nDeering A,540,Windham C,45
h3>\nWells,275,Deering B,265
h3>\nWindham A,320,Windham B,230
h3>\nWindham A,365,Deering B,175
h3>\nDeering A,440,Windham B,80
h3>\nMarshwood,400,Windham C,70
h3>\nDeering A,375,Deering B,150
h3>\nWindham A,445,Wells,105
h3>\nMarshwood,330,Windham B,45
