Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkinton",420,6,7,4,280,21.54,Deering B,55,0,4,1,20,5.00,20
"
Brunswick",390,4,9,4,260,20.00,Windham B,30,0,2,0,10,5.00,20
"
Hebron Academy",260,2,8,2,160,16.00,Deering A,75,0,4,1,40,10.00,20
"
Gould Academy",215,1,8,0,120,13.33,Wells,120,3,2,3,70,14.00,20
"
Windham A",155,0,7,1,90,12.86,Cony,120,0,6,0,60,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkinton",555,7,10,2,360,21.18,Marshwood,75,0,3,1,50,16.67,20
"
Brunswick",335,4,8,3,210,17.50,Deering A,165,1,6,2,100,14.29,20
"
Windham A",285,1,11,2,170,14.17,Deering B,120,0,5,0,70,14.00,20
"
Hebron Academy",270,3,8,3,160,14.55,Wells,135,1,5,0,70,11.67,20
"
Gould Academy",210,2,7,2,120,13.33,Windham B,140,0,9,2,60,6.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Brunswick",440,1,12,1,310,23.85,Gould Academy,60,0,3,0,30,10.00,20
"
Hebron Academy",250,3,7,3,150,15.00,Windham B,90,0,5,2,50,10.00,20
"
Windham A",185,2,6,1,100,12.50,Marshwood,120,1,6,1,50,7.14,20
"
Cony",135,1,7,0,50,6.25,Deering B,120,1,4,1,70,14.00,20
"
Deering A",185,0,10,1,90,9.00,Wells,175,2,6,3,100,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Brunswick",330,3,9,1,200,16.67,Wells,105,0,4,1,70,17.50,20
"
Deering A",285,0,13,1,160,12.31,Windham B,90,0,4,0,50,12.50,20
"
Marshwood",215,1,10,4,120,10.91,Cony,65,0,4,3,40,10.00,20
"
Hopkinton",355,5,5,2,240,24.00,Windham A,230,0,8,0,150,18.75,20
"
Hebron Academy",195,2,8,1,90,9.00,Gould Academy,95,0,5,1,50,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkinton",525,8,8,1,330,20.62,Cony,35,0,3,1,10,3.33,20
"
Wells",365,0,14,1,230,16.43,Windham B,75,1,2,0,40,13.33,20
"
Marshwood",300,2,12,0,150,10.71,Deering B,55,0,3,1,30,10.00,20
"
Deering A",305,1,12,2,180,13.85,Gould Academy,95,1,5,2,40,6.67,20
"
Brunswick",320,0,11,2,220,20.00,Hebron Academy,195,1,7,2,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Brunswick",455,5,9,0,290,20.71,Marshwood,90,0,4,0,50,12.50,20
"
Wells",265,0,12,1,150,12.50,Cony,85,0,4,1,50,12.50,20
"
Deering B",220,2,9,0,100,9.09,Windham B,100,0,5,0,50,10.00,20
"
Hopkinton",265,4,5,3,170,18.89,Hebron Academy,145,3,4,0,60,8.57,20
"
Windham A",230,3,7,1,120,12.00,Deering A,140,0,6,2,90,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkinton",350,4,7,4,240,21.82,Deering A,140,1,6,1,70,10.00,20
"
Marshwood",300,0,11,0,190,17.27,Hebron Academy,145,2,6,1,60,7.50,20
"
Gould Academy",155,1,9,4,70,7.00,Deering B,50,1,4,3,10,2.00,20
"
Brunswick",290,3,6,1,190,21.11,Windham A,190,3,5,1,100,12.50,20
"
Cony",175,1,10,0,60,5.45,Windham B,95,1,5,0,30,5.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkinton",425,8,4,1,270,22.50,Brunswick,135,1,3,0,90,22.50,20
"
Wells",255,0,11,1,150,13.64,Deering B,35,0,3,3,20,6.67,20
"
Gould Academy",185,1,7,4,120,15.00,Cony,70,0,4,2,40,10.00,20
"
Hebron Academy",265,1,9,0,160,16.00,Windham A,155,1,5,0,90,15.00,20
"
Deering A",260,2,7,2,170,18.89,Marshwood,170,1,7,1,90,11.25,20
