Winner,Score,Loser,Score
"
Champlain Valley A",385,South Burlington A,120
"
Champlain Valley B",275,Rice Memorial B,65
"
Rice Memorial A",330,BFA-St. Albans A,120
"
Champlain Valley C",180,BFA-St. Albans B,20
"
Burlington B",170,South Burlington B,115
"
Spaulding",200,Essex B,165
"
Mt. Abraham",155,Montpelier,120
"
Essex A",270,Burlington A,250
"
Champlain Valley D",205,South Burlington C,205
Winner,Score,Loser,Score
"
Burlington A",360,Spaulding,75
"
Champlain Valley A",430,Essex A,150
"
Burlington B",350,Rice Memorial B,95
"
Rice Memorial A",240,South Burlington A,125
"
Champlain Valley D",135,BFA-St. Albans B,50
"
Champlain Valley B",220,Essex B,140
"
Mt. Abraham",225,BFA-St. Albans A,190
"
South Burlington C",175,Champlain Valley C,160
"
Montpelier",145,South Burlington B,145
Winner,Score,Loser,Score
"
Champlain Valley A",440,Mt. Abraham,75
"
Champlain Valley C",285,Champlain Valley D,105
"
Burlington A",265,South Burlington A,125
"
Champlain Valley B",250,Burlington B,140
"
Essex B",195,Rice Memorial B,150
"
BFA-St. Albans A",175,South Burlington B,155
"
South Burlington C",145,BFA-St. Albans B,125
"
Montpelier",130,Spaulding,115
"
Essex A",255,Rice Memorial A,240
Winner,Score,Loser,Score
"
South Burlington A",260,Rice Memorial B,25
"
Champlain Valley B",345,South Burlington C,115
"
Essex A",260,South Burlington B,65
"
Rice Memorial A",265,Burlington B,130
"
BFA-St. Albans A",240,Spaulding,125
"
Essex B",185,BFA-St. Albans B,90
"
Champlain Valley A",240,Burlington A,180
"
Champlain Valley D",205,Montpelier,160
"
Champlain Valley C",180,Mt. Abraham,145
Winner,Score,Loser,Score
"
Burlington B",260,BFA-St. Albans B,75
"
Champlain Valley A",365,Champlain Valley B,185
"
Champlain Valley C",255,Essex B,95
"
Essex A",290,South Burlington A,140
"
Burlington A",320,Rice Memorial A,205
"
Mt. Abraham",170,Spaulding,85
"
South Burlington C",210,Rice Memorial B,130
"
BFA-St. Albans A",160,Montpelier,155
"
Champlain Valley D",155,South Burlington B,150
