Winner,Score,Loser,Score
"
Hanover",510,Mt. Abraham A,110
"
South Burlington A",420,Spaulding,70
"
Champlain Valley A",465,BFA-Fairfax,115
"
Rice Memorial",405,Richford,85
"
Burlington A",345,Essex A,200
"
BFA-St. Albans A",235,Montpelier,105
"
Lyndon Institute",245,St. Johnsbury,190
"
Burlington C",165,Enosburg Falls,150
Winner,Score,Loser,Score
"
Hanover",305,BFA-St. Albans A,100
"
Essex A",275,BFA-Fairfax,80
"
Mt. Abraham A",260,Montpelier,65
"
Rice Memorial",245,South Burlington A,135
"
Spaulding",190,Richford,100
"
Champlain Valley A",355,Burlington A,275
"
Lyndon Institute",175,Enosburg Falls,105
"
Burlington C",140,St. Johnsbury,120
Winner,Score,Loser,Score
"
Champlain Valley A",540,Lyndon Institute,150
"
Burlington A",425,Enosburg Falls,45
"
Essex A",335,St. Johnsbury,135
"
Mt. Abraham A",295,Spaulding,135
"
Hanover",330,Rice Memorial,230
"
Burlington C",165,BFA-Fairfax,65
"
South Burlington A",220,BFA-St. Albans A,185
"
Richford",120,Montpelier,115
Winner,Score,Loser,Score
"
Champlain Valley A",425,Hanover,205
"
Essex A",330,Mt. Abraham A,145
"
BFA-St. Albans A",235,Enosburg Falls,70
"
Spaulding",260,St. Johnsbury,100
"
Burlington C",160,Montpelier,60
"
Rice Memorial",230,Lyndon Institute,140
"
BFA-Fairfax",160,Richford,80
"
Burlington A",270,South Burlington A,210
