Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High",640,4,15,0,430,22.63,West Essex,20,0,1,0,10,10.00,20
"
Livingston A",550,7,9,1,360,22.50,Darien A,100,0,3,0,70,23.33,20
"
Livingston B",415,1,14,2,270,18.00,Port Jefferson,75,0,3,1,50,16.67,20
"
Hastings A",465,5,10,2,300,20.00,Great Neck North,150,1,4,1,100,20.00,20
"
Kellenberg",325,0,11,1,220,20.00,Clarke,75,0,5,3,40,8.00,20
"
Wilton",390,4,9,2,250,19.23,North Quincy,195,2,5,1,120,17.14,20
"
Belmont",415,6,7,3,270,20.77,Wissahickon,220,3,4,1,140,20.00,20
"
Darien B",270,1,10,1,160,14.55,Livingston D,130,0,7,2,70,10.00,20
"
Livingston C",350,1,10,1,240,21.82,Scarsdale,220,1,8,3,140,15.56,20
"
Hastings B",335,0,12,1,220,18.33,Hopkins,245,2,6,5,180,22.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",600,9,7,1,400,25.00,Hastings B,85,1,3,0,40,10.00,20
"
Wilton",515,4,13,1,330,19.41,Darien B,65,1,2,2,40,13.33,20
"
Hopkins",435,2,13,1,280,18.67,Livingston D,105,1,4,4,70,14.00,20
"
Hastings A",495,5,9,0,330,23.57,Princeton High,185,2,4,1,120,20.00,20
"
Livingston C",350,3,10,3,220,16.92,West Essex,60,0,4,0,20,5.00,20
"
Livingston A",425,6,6,5,300,25.00,Kellenberg,145,3,2,0,80,16.00,20
"
Darien A",395,4,9,1,250,19.23,Scarsdale,210,2,5,0,130,18.57,20
"
Wissahickon",410,6,6,2,270,22.50,Livingston B,245,0,8,1,170,21.25,20
"
Great Neck North",305,1,11,4,200,16.67,Clarke,155,0,7,1,90,12.86,20
"
North Quincy",285,3,8,2,170,15.45,Port Jefferson,250,1,7,1,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston C",520,3,13,3,360,22.50,Clarke,10,0,2,2,0,0.00,20
"
Hastings A",470,5,9,1,310,22.14,Kellenberg,100,1,3,1,60,15.00,20
"
Livingston A",535,7,8,2,360,24.00,Princeton High,175,2,3,3,130,26.00,20
"
Wissahickon",470,6,6,2,330,27.50,Darien B,145,2,4,1,80,13.33,20
"
Hopkins",455,10,4,3,280,20.00,Port Jefferson,130,2,3,0,70,14.00,20
"
Scarsdale",375,2,12,3,240,17.14,West Essex,85,1,4,0,30,6.00,20
"
Darien A",390,8,5,2,230,17.69,Great Neck North,155,1,4,0,100,20.00,20
"
Hastings B",365,2,10,1,240,20.00,Livingston D,135,3,3,2,70,11.67,20
"
Belmont",390,5,6,3,270,24.55,North Quincy,305,4,5,3,210,23.33,20
"
Wilton",370,8,3,0,220,20.00,Livingston B,315,7,2,2,200,22.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",565,7,9,2,380,23.75,Port Jefferson,65,0,3,1,40,13.33,20
"
Hastings A",490,2,14,2,330,20.62,West Essex,10,0,1,0,0,0.00,20
"
Livingston A",520,5,10,3,360,24.00,Livingston C,125,1,4,2,80,16.00,20
"
Darien A",360,3,10,7,250,19.23,Clarke,85,0,4,1,50,12.50,20
"
Great Neck North",370,3,9,1,240,20.00,Kellenberg,115,2,3,3,70,14.00,20
"
Wilton",400,4,8,2,270,22.50,Livingston D,180,2,5,0,100,14.29,20
"
Wissahickon",425,4,9,1,280,21.54,Hopkins,205,3,4,4,140,20.00,20
"
Livingston B",350,4,8,4,230,19.17,North Quincy,170,1,5,3,120,20.00,20
"
Hastings B",325,3,9,0,190,15.83,Darien B,165,1,6,2,100,14.29,20
"
Princeton High",300,1,10,3,200,18.18,Scarsdale,255,1,7,0,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",520,10,4,2,340,24.29,Scarsdale,165,4,2,1,90,15.00,20
"
Wissahickon",500,6,8,0,330,23.57,Hastings B,195,3,3,0,120,20.00,20
"
Port Jefferson",340,1,13,1,200,14.29,Livingston D,100,0,4,4,80,20.00,20
"
Clarke",245,1,11,0,120,10.00,West Essex,55,0,3,1,30,10.00,20
"
Princeton High",340,5,7,1,200,16.67,Great Neck North,165,2,4,1,100,16.67,20
