Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",490,8,6,4,330,23.57,Marshwood,45,1,1,0,20,10.00,20
"
Weston",415,3,9,0,280,23.33,Bishop Ludden B,135,0,6,1,80,13.33,20
"
Bishop Ludden A",360,0,13,0,230,17.69,Plymouth B,105,0,6,1,50,8.33,20
"
Plymouth A",325,5,6,4,210,19.09,Hanover,280,3,6,1,180,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",590,9,9,1,370,20.56,Bishop Ludden B,10,0,1,0,0,0.00,20
"
Hanover",455,4,13,1,270,15.88,Marshwood,20,0,1,0,10,10.00,20
"
Plymouth A",445,3,12,4,300,20.00,Plymouth B,65,1,2,0,30,10.00,20
"
Weston",365,7,5,0,210,17.50,Bishop Ludden A,145,0,6,3,100,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Weston",530,2,16,0,340,18.89,Plymouth B,55,1,1,0,30,15.00,20
"
Hanover",370,2,10,2,250,20.83,Bishop Ludden A,200,0,8,2,130,16.25,20
"
Marshwood",190,2,7,0,90,10.00,Bishop Ludden B,130,0,6,0,70,11.67,20
"
Belmont",300,5,5,3,190,19.00,Plymouth A,270,2,7,2,180,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Weston",550,3,13,1,380,23.75,Marshwood,40,0,2,0,20,10.00,20
"
Plymouth A",480,3,13,3,320,20.00,Bishop Ludden B,40,0,2,0,20,10.00,20
"
Hanover",490,5,9,3,340,24.29,Plymouth B,90,0,5,0,40,8.00,20
"
Belmont",480,9,5,3,310,22.14,Bishop Ludden A,105,2,3,1,50,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop Ludden A",420,2,12,0,270,19.29,Marshwood,155,2,4,1,90,15.00,20
"
Belmont",435,6,7,3,290,22.31,Hanover,180,3,3,3,120,20.00,20
"
Plymouth A",365,4,7,5,260,23.64,Weston,270,4,5,0,160,17.78,20
"
Plymouth B",130,1,6,1,60,8.57,Bishop Ludden B,100,0,5,0,50,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth A",400,5,10,1,230,15.33,Marshwood,5,0,1,1,0,0.00,20
"
Belmont",425,5,10,4,270,18.00,Plymouth B,65,1,2,0,30,10.00,20
"
Bishop Ludden A",285,2,9,1,170,15.45,Bishop Ludden B,175,1,5,0,110,18.33,20
"
Hanover",265,4,6,3,160,16.00,Weston,245,2,6,1,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover",525,5,13,0,320,17.78,Bishop Ludden B,5,0,1,1,0,0.00,20
"
Belmont",450,6,9,2,280,18.67,Weston,120,2,3,2,70,14.00,20
"
Plymouth A",350,5,7,3,220,18.33,Bishop Ludden A,185,1,6,2,120,17.14,20
"
Plymouth B",220,1,9,3,130,13.00,Marshwood,75,1,4,0,20,4.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop Ludden A",415,1,16,2,250,14.71,Marshwood,30,0,2,2,20,10.00,20
"
Belmont",430,10,2,2,270,22.50,Weston,180,2,4,2,120,20.00,20
"
Hanover",390,2,11,2,260,20.00,Plymouth A,175,4,2,3,110,18.33,20
"
Plymouth B",245,1,9,2,150,15.00,Bishop Ludden B,170,1,8,1,80,8.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth B",260,4,8,0,120,10.00,Marshwood,85,0,4,1,50,12.50,20
"
Bishop Ludden A",275,1,11,4,170,14.17,Bishop Ludden B,120,0,5,0,70,14.00,20
"
Plymouth A",375,5,7,2,240,20.00,Weston,235,3,5,0,140,17.50,20
"
Hanover",325,3,7,2,220,22.00,Belmont,190,3,5,5,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",400,9,3,1,240,20.00,Plymouth A,195,3,4,2,120,17.14,20
"
Hanover",330,6,4,2,210,21.00,Weston,175,0,7,3,120,17.14,20
"
Bishop Ludden A",235,2,7,1,140,15.56,Plymouth B,125,5,2,0,30,4.29,20
"
Bishop Ludden B",165,1,8,0,70,7.78,Marshwood,90,1,5,1,30,5.00,20
