Winner,Score,Loser,Score
"
Champlain Valley A",420,BFA-Fairfax A,70
"
Hanover",295,Spaulding,50
"
Burlington A",275,BFA-Fairfax B,40
"
South Burlington A",265,Essex,150
"
Lyndon Institute",180,South Burlington B,70
"
Champlain Valley B",160,Burlington B,120
Winner,Score,Loser,Score
"
Champlain Valley A",310,Lyndon Institute,30
"
Burlington A",265,BFA-Fairfax A,50
"
Essex",230,Spaulding,30
"
South Burlington A",250,Burlington B,160
"
South Burlington B",105,BFA-Fairfax B,45
"
Hanover",220,Champlain Valley B,200
Winner,Score,Loser,Score
"
Burlington B",175,Essex,100
"
Lyndon Institute",130,BFA-Fairfax B,60
"
Champlain Valley A",295,Burlington A,230
"
South Burlington B",170,BFA-Fairfax A,150
"
Hanover",270,South Burlington A,250
"
Spaulding",170,Champlain Valley B,150
Winner,Score,Loser,Score
"
Champlain Valley A",360,BFA-Fairfax B,50
"
Hanover",405,Burlington B,110
"
Burlington A",330,South Burlington B,55
"
South Burlington A",280,Spaulding,65
"
Essex",275,Champlain Valley B,200
"
Lyndon Institute",165,BFA-Fairfax A,105
Winner,Score,Loser,Score
"
Champlain Valley A",460,South Burlington B,60
"
Hanover",500,Essex,110
"
Burlington A",345,Lyndon Institute,105
"
Champlain Valley B",230,South Burlington A,145
"
BFA-Fairfax B",170,BFA-Fairfax A,85
"
Burlington B",170,Spaulding,125
Winner,Score,Loser,Score
"
Burlington B",275,Spaulding,35
"
Hanover",315,South Burlington A,95
"
BFA-Fairfax A",190,BFA-Fairfax B,15
"
Champlain Valley B",220,Lyndon Institute,75
"
Essex",220,South Burlington B,110
"
Champlain Valley A",345,Burlington A,260
Winner,Score,Loser,Score
"
Champlain Valley A",370,Lyndon Institute,25
"
Essex",290,BFA-Fairfax B,70
"
Hanover",240,Champlain Valley B,180
"
Burlington B",175,BFA-Fairfax A,140
"
Spaulding",155,South Burlington B,140
"
South Burlington A",190,Burlington A,175
Winner,Score,Loser,Score
"
Burlington A",335,Lyndon Institute,100
"
Champlain Valley A",420,Hanover,195
"
South Burlington A",270,Champlain Valley B,105
"
Essex",245,Burlington B,135
"
BFA-Fairfax A",155,Spaulding,140
"
South Burlington B",110,BFA-Fairfax B,100
Winner,Score,Loser,Score
"
Burlington B",325,BFA-Fairfax B,45
"
Hanover",300,Lyndon Institute,160
"
Burlington A",225,Champlain Valley B,85
"
Champlain Valley A",315,South Burlington A,185
"
Essex",210,Spaulding,90
"
BFA-Fairfax A",185,South Burlington B,120
Winner,Score,Loser,Score
"
Spaulding",240,BFA-Fairfax B,20
"
Champlain Valley A",325,Champlain Valley B,115
"
South Burlington A",255,Lyndon Institute,65
"
Essex",240,BFA-Fairfax A,115
"
Burlington B",215,South Burlington B,100
"
Hanover",335,Burlington A,245
