Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mather A",545,6,11,1,350,20.59,John P. Stevens B,30,1,2,3,10,3.33,20
"
Hastings A",525,8,6,1,350,25.00,Biotech B,155,1,4,0,100,20.00,20
"
Mather B",440,5,9,5,300,21.43,Berwick B,90,0,5,0,40,8.00,20
"
Wilmington Charter",340,4,7,4,230,20.91,Hastings B,215,1,7,0,130,16.25,20
"
High Tech A",380,6,5,2,250,22.73,Edison Academy,255,2,6,3,180,22.50,20
"
Hunter B",245,2,10,5,140,11.67,Edison B,135,1,6,4,80,11.43,20
"
Eastchester",360,3,8,3,250,22.73,Livingston B,270,4,5,2,170,18.89,20
"
Livingston C",210,0,10,0,110,11.00,Ridgewood B,140,1,5,1,80,13.33,20
"
Mather C",295,3,7,0,180,18.00,Edison A,240,4,4,4,160,20.00,20
"
Biotech A",285,1,9,2,190,19.00,Moravian Academy,265,1,9,2,170,17.00,20
"
West Windsor-Plainsboro North",305,4,5,1,200,22.22,High Tech B,300,4,7,2,180,16.36,20
"
Ridgewood A",220,0,9,2,140,15.56,Berwick A,215,1,9,4,130,13.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",500,5,10,3,340,22.67,Ridgewood A,110,2,2,0,60,15.00,20
"
Biotech A",405,3,13,0,230,14.38,John P. Stevens B,55,1,2,2,30,10.00,20
"
Mather B",415,2,11,1,280,21.54,John P. Stevens A,150,1,6,3,90,12.86,20
"
Mather C",370,3,11,3,230,16.43,Livingston C,110,1,4,1,60,12.00,20
"
High Tech B",315,1,11,4,210,17.50,Ridgewood B,120,0,6,0,60,10.00,20
"
Moravian Academy",360,2,10,2,240,20.00,Berwick A,165,1,6,2,100,14.29,20
"
Montgomery Blair",335,6,6,3,200,16.67,Edison A,240,3,5,3,160,20.00,20
"
Edison Academy",335,5,5,2,220,22.00,Livingston B,250,1,8,1,160,17.78,20
"
Edison B",170,0,9,2,90,10.00,Berwick B,105,0,6,1,50,8.33,20
"
Hunter A",340,4,6,4,240,24.00,Hastings A,305,4,6,1,190,19.00,20
"
Biotech B",275,3,7,2,170,17.00,Eastchester,245,3,6,2,150,16.67,20
"
Hastings B",240,0,10,0,140,14.00,Hunter B,235,1,9,4,150,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilmington Charter",510,6,10,2,330,20.62,Hunter B,85,0,4,3,60,15.00,20
"
Montgomery Blair",510,4,11,4,360,24.00,Livingston C,105,1,3,0,60,15.00,20
"
Edison Academy",420,3,13,1,250,15.62,Biotech B,95,0,4,3,70,17.50,20
"
Hunter A",490,4,10,2,340,24.29,Eastchester,175,0,6,1,120,20.00,20
"
Berwick A",325,1,13,2,190,13.57,John P. Stevens B,65,2,2,1,20,5.00,20
"
High Tech A",415,8,5,3,260,20.00,Livingston B,155,0,6,1,100,16.67,20
"
West Windsor-Plainsboro North",345,3,8,2,230,20.91,Ridgewood B,145,1,5,0,80,13.33,20
"
Livingston A",410,5,7,5,290,24.17,Moravian Academy,210,2,5,0,130,18.57,20
"
Mather A",410,3,10,3,280,21.54,Biotech A,235,4,3,3,160,22.86,20
"
Mather C",360,3,9,1,230,19.17,High Tech B,230,3,5,3,150,18.75,20
"
John P. Stevens A",290,5,6,1,160,14.55,Edison B,230,2,6,2,150,18.75,20
"
Hastings B",225,0,8,1,150,18.75,Berwick B,200,1,10,1,90,8.18,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",650,9,9,1,430,23.89,John P. Stevens B,-10,0,0,2,0,0.00,20
"
Wilmington Charter",520,8,8,4,340,21.25,Berwick B,50,0,3,0,20,6.67,20
"
Mather B",495,4,11,3,340,22.67,Edison B,70,0,3,0,40,13.33,20
"
Hastings A",495,5,11,2,320,20.00,Eastchester,120,0,4,2,90,22.50,20
"
Mather A",470,6,8,4,320,22.86,Berwick A,170,0,6,0,110,18.33,20
"
Hunter A",500,9,4,1,330,25.38,Edison Academy,220,3,4,1,140,20.00,20
"
Moravian Academy",430,3,9,1,300,25.00,Ridgewood A,175,2,5,3,110,15.71,20
"
Edison A",315,4,7,5,210,19.09,Livingston C,135,1,5,0,70,11.67,20
"
John P. Stevens A",340,2,10,2,220,18.33,Hastings B,215,1,7,0,130,16.25,20
"
Montgomery Blair",375,5,6,4,260,23.64,High Tech B,260,4,4,2,170,21.25,20
"
High Tech A",290,6,5,6,180,16.36,Biotech B,220,1,7,1,140,17.50,20
"
West Windsor-Plainsboro North",295,3,7,2,190,19.00,Mather C,265,2,7,3,180,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",505,8,6,3,340,24.29,Mather A,150,3,2,3,100,20.00,20
"
Mather B",385,5,8,4,250,19.23,Hastings B,135,0,5,1,90,18.00,20
"
Ridgewood A",335,0,13,3,220,16.92,John P. Stevens B,85,0,4,1,50,12.50,20
"
Biotech A",350,4,6,2,240,24.00,Berwick A,140,1,4,1,90,18.00,20
"
Hastings A",405,4,8,1,270,22.50,Edison Academy,195,2,5,3,130,18.57,20
"
Mather C",340,1,11,3,230,19.17,Ridgewood B,135,1,5,2,80,13.33,20
"
Edison A",345,5,5,2,230,23.00,High Tech B,250,3,5,1,160,20.00,20
"
Wilmington Charter",335,4,6,3,230,23.00,John P. Stevens A,245,3,6,2,150,16.67,20
"
Hunter B",225,2,7,5,150,16.67,Berwick B,160,0,7,0,90,12.86,20
"
Hunter A",370,6,5,2,240,21.82,High Tech A,310,4,5,4,220,24.44,20
"
Livingston B",285,3,7,4,190,19.00,Biotech B,225,2,6,1,140,17.50,20
"
West Windsor-Plainsboro North",275,5,5,2,160,16.00,Montgomery Blair,240,3,5,5,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Montgomery Blair",580,9,8,1,370,21.76,Ridgewood B,40,0,3,2,20,6.67,20
"
Moravian Academy",535,3,13,0,360,22.50,John P. Stevens B,40,1,2,3,20,6.67,20
"
Livingston A",545,8,6,1,370,26.43,Biotech A,190,2,4,0,120,20.00,20
"
Hunter A",490,9,6,1,300,20.00,Livingston B,145,2,2,1,100,25.00,20
"
Eastchester",450,8,6,2,280,20.00,Edison Academy,125,2,3,1,70,14.00,20
"
Mather A",435,5,8,4,300,23.08,Ridgewood A,175,2,4,1,110,18.33,20
"
High Tech B",350,4,8,4,230,19.17,Livingston C,105,0,6,1,50,8.33,20
"
John P. Stevens A",350,2,11,2,220,16.92,Hunter B,160,3,3,1,90,15.00,20
"
Hastings A",440,4,8,0,300,25.00,High Tech A,250,4,4,4,170,21.25,20
"
Hastings B",235,1,8,0,140,15.56,Edison B,165,2,6,3,90,11.25,20
"
West Windsor-Plainsboro North",315,8,2,1,180,18.00,Edison A,250,5,4,3,150,16.67,20
"
Mather B",350,6,5,2,220,20.00,Wilmington Charter,300,4,5,2,200,22.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mather B",565,8,9,1,360,21.18,Hunter B,70,2,1,2,40,13.33,20
"
West Windsor-Plainsboro North",475,9,8,0,260,15.29,Livingston C,30,0,2,2,20,10.00,20
"
Hastings A",525,9,6,0,330,22.00,Livingston B,130,4,0,2,80,20.00,20
"
Livingston A",530,11,4,1,330,22.00,Berwick A,145,4,1,1,80,16.00,20
"
Mather A",485,4,11,1,320,21.33,Moravian Academy,150,4,1,2,90,18.00,20
"
Hunter A",485,6,7,3,340,26.15,Biotech B,165,4,2,1,90,15.00,20
"
Wilmington Charter",430,5,8,3,290,22.31,Edison B,145,4,1,1,80,16.00,20
"
Edison A",325,3,9,6,220,18.33,Ridgewood B,85,0,5,1,40,8.00,20
"
Ridgewood A",345,3,10,2,210,16.15,Biotech A,195,4,2,3,130,21.67,20
"
John P. Stevens A",315,6,6,1,170,14.17,Berwick B,170,4,3,0,80,11.43,20
"
Montgomery Blair",365,5,6,2,240,21.82,Mather C,225,4,3,1,140,20.00,20
"
Eastchester",355,4,6,1,240,24.00,High Tech A,310,6,3,4,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mather A",485,5,9,2,330,23.57,West Windsor-Plainsboro North,140,3,2,1,80,16.00,20
"
Hastings A",480,4,10,2,330,23.57,Mather B,150,0,6,4,110,18.33,20
"
Biotech A",380,6,6,4,250,20.83,Eastchester,140,1,4,3,100,20.00,20
"
Livingston B",375,3,10,2,240,18.46,Berwick A,140,2,4,2,80,13.33,20
"
Biotech B",290,2,9,6,200,18.18,John P. Stevens B,75,0,4,1,40,10.00,20
"
Edison A",335,4,8,5,220,18.33,Hastings B,130,1,5,1,70,11.67,20
"
Livingston A",420,5,7,3,290,24.17,Wilmington Charter,245,2,6,1,160,20.00,20
"
Mather C",300,1,9,1,200,20.00,John P. Stevens A,135,1,5,4,90,15.00,20
"
High Tech B",335,0,11,3,240,21.82,Hunter B,225,1,7,0,140,17.50,20
"
Edison B",200,1,10,3,100,9.09,Livingston C,130,0,6,2,80,13.33,20
"
Hunter A",370,6,4,2,250,25.00,Montgomery Blair,300,2,7,2,210,23.33,20
"
Edison Academy",265,0,11,3,170,15.45,Ridgewood A,215,2,6,3,140,17.50,20
"
High Tech A (OT)",305,3,8,4,200,20.00,Moravian Academy,290,2,7,0,190,21.11,21
"
Berwick B",165,2,6,1,80,10.00,Ridgewood B,150,1,5,3,100,16.67,20
