\nWard Melville B,350,Ithaca B,260
\nHouse A,395,Mather,290
\nIthaca A,390,West Brunswick B,180
\nHouse B,345,Edison,215
\nRidgewood,265,Rascalnegkov,55
\nWard Melville A,390,West Brunswick A,375
\nHorace Mann,350,Heritage,200
\nHastings A,245,Anderson B,195
\nBronx Science,255,West Windsor-Plainsboro North,200
\nHastings B,270,Trinity,165
\nHouse C,310,JP Stevens A,160
\nStuyvesant,520,JP Stevens B,200
\nAnderson A,415,West Brunswick C,215
\nIthaca B,355,JP Stevens C,165
\nMather,415,Choate Rosemary Hall,240
\nHouse A,340,Ward Melville B,310
\nWest Brunswick B,480,Edison,155
\nIthaca A,390,Ridgewood,215
\nHouse B,575,Rascalnegkov,70
\nHeritage,340,Ward Melville A,290
\nWest Brunswick A,390,Anderson B,245
\nHorace Mann,310,Hastings A,265
\nBronx Science,350,Hastings B,195
\nHouse C,280,West Windsor-Plainsboro North,255
\nJP Stevens A,240,Trinity,215
\nWest Brunswick C,400,JP Stevens B,235
\nStuyvesant,585,House D,160
\nHouse A,455,Ithaca B,130
\nMather,620,JP Stevens C,15
\nChoate Rosemary Hall,415,Ward Melville B,170
\nEdison,370,Rascalnegkov,110
\nWest Brunswick B,425,Ridgewood,145
\nIthaca A,430,House B,240
\nHastings A,350,Heritage,335
\nWard Melville A,390,Anderson B,205
\nWest Brunswick A,360,Horace Mann,330
\nJP Stevens A,255,Hastings B,225
\nBronx Science,300,House C,255
\nWest Windsor-Plainsboro North,395,Trinity,30
\nWest Brunswick C,375,House D,230
\nJP Stevens B,335,Anderson A,285
\nChoate Rosemary Hall,315,House A,290
\nWard Melville B,400,JP Stevens C,185
\nMather,600,Ithaca B,160
\nIthaca A,555,Rascalnegkov,105
\nHouse B,435,West Brunswick B,310
\nEdison,315,Ridgewood,295
\nWest Brunswick A,530,Hastings A,215
\nWard Melville A,520,Horace Mann,255
\nAnderson B,395,Heritage,295
\nJP Stevens A,380,West Windsor-Plainsboro North,230
\nBronx Science,350,Trinity,205
\nHastings B,340,House C,215
\nAnderson A,410,House D,205
\nStuyvesant,490,West Brunswick C,250
\nMather,375,Ward Melville B,315
\nHouse A,430,JP Stevens C,165
\nIthaca B,405,Choate Rosemary Hall,185
\nHouse B,445,Ridgewood,220
\nWest Brunswick B,590,Rascalnegkov,35
\nIthaca A,575,Edison,90
\nHorace Mann,515,Anderson B,140
\nWard Melville A,510,Hastings A,175
\nHeritage,420,West Brunswick A,295
\nHouse C,375,Trinity,260
\nBronx Science,315,JP Stevens A,285
\nHastings B,360,West Windsor-Plainsboro North,245
\nStuyvesant,605,Anderson A,95
\nHouse D,340,JP Stevens B,315
\nMather,390,West Brunswick C,380
\nWard Melville A,670,House C,110
\nTrinity,370,JP Stevens C,165
\nHouse B,400,West Brunswick A,320
\nStuyvesant,525,House A,225
\nAnderson B,460,Rascalnegkov,105
\nChoate Rosemary Hall,460,Anderson A,235
\nHorace Mann,400,Hastings B,260
\nWard Melville B,405,JP Stevens B,200
\nHastings A,415,JP Stevens A,215
\nHeritage,470,West Windsor-Plainsboro North,180
\nIthaca B,305,House D,255
\nMather,585,House C,55
\nIthaca A,405,West Brunswick C,275
\nJP Stevens C,250,Rascalnegkov,180
\nWest Brunswick A,540,Bronx Science,70
\nHouse A,305,House B,260
\nTrinity,315,Anderson B,295
\nWest Brunswick B,395,Hastings B,185
\nHorace Mann,410,Anderson A,255
\nWard Melville B,315,Edison,300
\nJP Stevens B,435,Hastings A,145
\nRidgewood,290,Ithaca B,195
\nHeritage,375,House D,210
\nWard Melville A,520,Ithaca A,255
\nHouse C,355,West Brunswick C,295
\nAnderson B,550,JP Stevens C,15
\nStuyvesant,535,West Brunswick A,195
\nHouse B,445,Bronx Science,270
\nTrinity,455,Rascalnegkov,80
\nAnderson A,345,Hastings B,230
\nWest Brunswick B,325,Choate Rosemary Hall,290
\nJP Stevens A,420,Edison,170
\nHastings A,345,Ward Melville B,310
\nHeritage,400,Ithaca B,270
\nRidgewood,325,West Windsor-Plainsboro North,140
\nMather,460,Ward Melville A,330
\nIthaca A,340,House C,265
\nTrinity,365,JP Stevens C,130
\nHouse A,505,Bronx Science,135
\nStuyvesant,535,House B,180
\nAnderson B,270,Rascalnegkov,265
\nHastings B,340,Choate Rosemary Hall,280
\nHorace Mann,285,West Brunswick B,280
\nJP Stevens B,310,JP Stevens A,270
\nHastings A,320,Edison,225
\nHouse D,355,Ridgewood,250
\nIthaca B,405,West Windsor-Plainsboro North,110
\nIthaca A,410,Mather,345
\nWard Melville A,525,West Brunswick C,225
\nRascalnegkov,260,JP Stevens C,175
\nWest Brunswick A,455,House A,220
\nStuyvesant,490,Bronx Science,170
\nAnderson B,315,Trinity,290
\nWest Brunswick B,435,Anderson A,250
\nHorace Mann,440,Choate Rosemary Hall,175
\nWard Melville B,425,JP Stevens A,245
\nJP Stevens B,390,Edison,270
\nWest Windsor-Plainsboro North,435,House D,255
\nHeritage,440,Ridgewood,145
\nStuyvesant,525,Ward Melville A,285
\nMather,460,West Brunswick A,270
