Winner,Score,Loser,Score
"
Brookville B",180,Titusville,70
"
Cranberry",115,Clarion-Limestone,85
Winner,Score,Loser,Score
"
Brookville B",245,Clarion-Limestone,0
"
Brookville A",270,Cranberry,40
Winner,Score,Loser,Score
"
Brookville B",200,Brookville A,70
"
Titusville",170,Clarion-Limestone,90
Winner,Score,Loser,Score
"
Brookville B",230,Cranberry,45
"
Titusville",185,Brookville A,185
Winner,Score,Loser,Score
"
Brookville A",175,Clarion-Limestone,90
"
Cranberry",110,Titusville,95
Winner,Score,Loser,Score
"
Brookville B",210,Allegheny-Clarion Valley,10
"
Titusville",215,Cranberry,75
"
Brookville A",175,Clarion-Limestone,50
Winner,Score,Loser,Score
"
Brookville A",220,Allegheny-Clarion Valley,20
"
Titusville",175,Brookville B,60
"
Cranberry",155,Clarion-Limestone,55
Winner,Score,Loser,Score
"
Brookville B",210,Clarion-Limestone,40
"
Titusville",240,Allegheny-Clarion Valley,70
"
Brookville A",180,Cranberry,85
Winner,Score,Loser,Score
"
Titusville",200,Clarion-Limestone,-5
"
Cranberry",150,Allegheny-Clarion Valley,80
"
Brookville B",145,Brookville A,105
Winner,Score,Loser,Score
"
Brookville B",145,Cranberry,65
"
Clarion-Limestone",90,Allegheny-Clarion Valley,40
"
Titusville",135,Brookville A,95
Winner,Score,Loser,Score
"
Brookville A",230,Allegheny-Clarion Valley,30
"
Union",135,DuBois,70
"
Cranberry",130,Clarion,120
Winner,Score,Loser,Score
"
Clarion",220,Allegheny-Clarion Valley,50
"
Brookville A",230,Titusville,150
"
Cranberry",110,Union,90
Winner,Score,Loser,Score
"
Titusville",220,Clarion,65
"
Union",125,Allegheny-Clarion Valley,60
"
DuBois",160,Cranberry,110
Winner,Score,Loser,Score
"
DuBois",235,Allegheny-Clarion Valley,10
"
Brookville A",285,Clarion,75
"
Titusville",220,Union,40
Winner,Score,Loser,Score
"
Brookville A",285,Union,35
"
DuBois",190,Titusville,95
"
Cranberry",110,Allegheny-Clarion Valley,95
Winner,Score,Loser,Score
"
Brookville A",245,DuBois,40
"
Clarion",140,Union,80
"
Titusville",90,Cranberry,85
Winner,Score,Loser,Score
"
Titusville",260,Allegheny-Clarion Valley,110
"
Brookville A",170,Cranberry,125
"
Clarion",80,DuBois,75
