Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",505,7,8,4,340,22.67,Bishop Canevin A,20,0,2,0,0,0.00,20
"
South Side",470,7,8,1,290,19.33,Seton LaSalle,35,1,1,0,10,5.00,20
"
Morgantown B",355,5,10,4,200,13.33,Bishop Canevin B,65,0,5,1,20,4.00,20
"
Winchester Thurston",335,5,7,2,200,16.67,Allderdice C,90,0,4,0,50,12.50,20
"
Allderdice B",270,4,9,2,130,10.00,Armstrong B,110,1,3,1,70,17.50,20
"
Armstrong A",270,4,6,0,150,15.00,Mount Lebanon B,205,5,3,2,110,13.75,20
"
Mount Lebanon A",190,4,4,4,110,13.75,DuBois,130,2,5,2,60,8.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown B",415,5,9,0,250,17.86,Armstrong A,155,4,2,1,80,13.33,20
"
Morgantown A",400,7,5,3,260,21.67,Mount Lebanon A,220,2,5,0,140,20.00,20
"
DuBois",225,2,7,1,130,14.44,Bishop Canevin A,125,1,5,0,60,10.00,20
"
Winchester Thurston",275,3,7,2,170,17.00,Allderdice B,200,0,8,2,130,16.25,20
"
Allderdice A",310,8,2,2,180,18.00,South Side,255,1,8,0,160,17.78,20
"
Bishop Canevin B",180,4,5,2,80,8.89,Mount Lebanon B,125,1,4,0,70,14.00,20
"
Allderdice C",215,1,9,0,110,11.00,Armstrong B,170,1,5,1,110,18.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown B",545,6,13,1,330,17.37,Seton LaSalle,20,0,1,0,10,10.00,20
"
South Side",420,3,11,3,280,20.00,Mount Lebanon B,60,0,4,2,30,7.50,20
"
Allderdice B",390,5,8,1,240,18.46,DuBois,40,0,4,2,10,2.50,20
"
Allderdice A",460,6,8,4,310,22.14,Bishop Canevin B,120,1,4,1,70,14.00,20
"
Mount Lebanon A",320,3,8,1,200,18.18,Allderdice C,155,1,6,0,80,11.43,20
"
Morgantown A",335,5,6,2,210,19.09,Armstrong B,175,1,7,2,100,12.50,20
"
Winchester Thurston",280,2,10,2,160,13.33,Bishop Canevin A,125,1,5,0,60,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",530,3,13,1,360,22.50,Allderdice C,80,3,0,1,40,13.33,20
"
South Side",445,2,13,1,290,19.33,Bishop Canevin B,60,0,4,4,40,10.00,20
"
Mount Lebanon A",385,1,15,0,220,13.75,Armstrong B,35,1,1,2,20,10.00,20
"
Armstrong A",350,2,12,0,200,14.29,Seton LaSalle,60,0,4,0,20,5.00,20
"
Allderdice B",335,1,11,2,220,18.33,Bishop Canevin A,50,0,3,2,30,10.00,20
"
Allderdice A",415,3,11,2,270,19.29,Mount Lebanon B,130,2,4,2,70,11.67,20
"
Winchester Thurston",315,1,11,2,200,16.67,DuBois,55,1,3,2,20,5.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",600,7,9,1,410,25.62,Winchester Thurston,85,1,2,2,60,20.00,20
"
Allderdice A",495,6,10,3,320,20.00,Armstrong A,95,0,3,1,70,23.33,20
"
Mount Lebanon B",345,2,11,3,220,16.92,Seton LaSalle,45,0,2,1,30,15.00,20
"
Armstrong B",285,3,10,2,150,11.54,Bishop Canevin A,45,0,3,1,20,6.67,20
"
Morgantown B",370,9,3,1,210,17.50,South Side,190,3,4,1,110,15.71,20
"
Allderdice B",265,2,7,1,170,18.89,Mount Lebanon A,185,1,8,4,110,12.22,20
"
DuBois",205,1,9,0,100,10.00,Allderdice C,180,0,7,2,120,17.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
South Side",400,2,11,2,270,20.77,Armstrong A,90,1,3,3,60,15.00,20
"
Allderdice C",345,1,12,0,210,16.15,Bishop Canevin A,75,1,3,2,40,10.00,20
"
Morgantown A",395,8,4,3,250,20.83,Allderdice B,160,0,6,0,100,16.67,20
