\nChattahoochee A,460,Hume Fogg B,80
\nCommunity School of Naples A,195,Early College at Guilford B,185
\nKinkaid,530,USN A,140
\nHoover B,205,Cookeville,190
\nSouthside A,255,Early College at Guilford A,240
\nCentennial B,285,USN B,105
\nChattahoochee B,415,Southside B,150
\nHoover A,475,Battle Ground Academy A,65
\nMerrol Hyde,350,Community School of Naples B,75
\nCentennial A,390,Hume Fogg A,115
\nMidtown,405,Chattahoochee C,150
\nASCTE,375,Battle Ground Academy B,10
\nUSN A,285,Hoover B,135
\nCookeville,160,Early College at Guilford B,135
\nKinkaid,645,Community School of Naples A,30
\nSouthside A,365,USN B,110
\nCentennial B,235,Hume Fogg B,65
\nChattahoochee A,445,Early College at Guilford A,185
\nSouthside B,200,Battle Ground Academy A,120
\nChattahoochee B,405,Merrol Hyde,195
\nHoover A,485,Community School of Naples B,75
\nHume Fogg A,240,Chattahoochee C,100
\nCentennial A,235,ASCTE,195
\nMidtown,385,Battle Ground Academy B,45
\nKinkaid,755,Cookeville,25
\nSouthside A,400,Hume Fogg B,20
\nCommunity School of Naples A,250,USN A,195
\nEarly College at Guilford A,480,USN B,30
\nHoover B,320,Early College at Guilford B,65
\nChattahoochee A,575,Centennial B,70
\nHoover A,520,Merrol Hyde,125
\nSouthside B,285,Community School of Naples B,60
\nChattahoochee B,610,Battle Ground Academy A,20
\nMidtown,405,ASCTE,145
\nHume Fogg A,310,Battle Ground Academy B,40
\nCentennial A,340,Chattahoochee C,140
\nKinkaid,655,Early College at Guilford B,55
\nUSN B,250,Hume Fogg B,50
\nHoover B,305,Community School of Naples A,95
\nChattahoochee A,410,Southside A,140
\nUSN A,295,Cookeville,165
\nEarly College at Guilford A,280,Centennial B,175
\nChattahoochee B,425,Community School of Naples B,110
\nHoover A,475,Southside B,90
\nMerrol Hyde,400,Battle Ground Academy A,95
\nCentennial A,435,Battle Ground Academy B,20
\nMidtown,370,Hume Fogg A,170
\nASCTE,285,Chattahoochee C,85
\nKinkaid,530,Hoover B,155
\nCentennial B,255,Southside A,230
\nCommunity School of Naples A,200,Cookeville,120
\nUSN A,410,Early College at Guilford B,30
\nChattahoochee A,670,USN B,0
\nEarly College at Guilford A,485,Hume Fogg B,60
\nChattahoochee B,390,Hoover A,245
\nCommunity School of Naples B,170,Battle Ground Academy A,130
\nMerrol Hyde,415,Southside B,80
\nMidtown,380,Centennial A,200
\nChattahoochee C,160,Battle Ground Academy B,90
\nASCTE,330,Hume Fogg A,195
\nChattahoochee C,245,Battle Ground Academy A,120
\nEarly College at Guilford B,305,USN B,60
\nKinkaid,550,Early College at Guilford A,145
\nHoover A,320,USN A,260
\nChattahoochee B,410,Centennial A,175
\nMidtown,435,Chattahoochee A,235
\nHoover B,235,Centennial B,230
\nMerrol Hyde,280,Hume Fogg A,235
\nSouthside A,275,Community School of Naples A,185
\nASCTE,360,Southside B,125
\nCookeville,235,Hume Fogg B,95
\nBattle Ground Academy B,160,Community School of Naples B,145
\nKinkaid,610,Centennial A,125
\nChattahoochee B,400,Early College at Guilford A,195
\nMerrol Hyde,240,Centennial B,190
\nEarly College at Guilford B,215,Chattahoochee C,145
\nUSN B,280,Battle Ground Academy A,35
\nMidtown,460,USN A,150
\nHume Fogg A,465,Hoover B,55
\nASCTE,330,Community School of Naples A,105
\nSouthside A,315,Southside B,255
\nChattahoochee A,380,Hoover A,330
\nCookeville,105,Battle Ground Academy B,80
\nCommunity School of Naples B,125,Hume Fogg B,80
\nKinkaid,625,Chattahoochee B,90
\nEarly College at Guilford A,340,Centennial A,105
\nChattahoochee C,230,USN B,140
\nEarly College at Guilford B,245,Battle Ground Academy A,55
\nHume Fogg A,275,Centennial B,70
\nMerrol Hyde,370,Hoover B,90
\nChattahoochee A,525,USN A,130
\nCommunity School of Naples A,175,Southside B,165
\nASCTE,295,Southside A,205
\nCookeville,80,Community School of Naples B,55
\nHoover A,430,Midtown,205
\nHume Fogg B,155,Battle Ground Academy B,75
\nKinkaid,450,Chattahoochee A,250
