Mira Loma A,520,Mission San Jose B,70
Irvington A,435,Lambert B,130
Sagittarius,610,Summit,40
Mira Loma B,325,Lambert A,305
Irvington B,190,Harker,180
Stanford Online,300,Mission San Jose A,285
Sagittarius,450,Lambert B,110
Mission San Jose B,225,Summit,165
Mira Loma A,330,Irvington A,230
Mission San Jose A,425,Irvington B,75
Stanford Online,330,Mira Loma B,255
Lambert A,455,Harker,120
Stanford Online,450,Irvington B,60
Lambert A,360,Mission San Jose A,285
Mira Loma B,405,Harker,180
Lambert B,275,Summit,155
Sagittarius,410,Mira Loma A,235
Irvington A,485,Mission San Jose B,110
Mira Loma A,605,Summit,40
Sagittarius,320,Irvington A,310
Lambert B,320,Mission San Jose B,145
Stanford Online,325,Lambert A,270
Mission San Jose A,405,Harker,200
Mira Loma B,370,Irvington B,215
Stanford Online,305,Harker,245
Lambert A,300,Irvington B,225
Mira Loma B,400,Mission San Jose A,185
Irvington A,395,Summit,90
Mira Loma A,455,Lambert B,155
Sagittarius,675,Mission San Jose B,20
Irvington A,310,Stanford Online,270
Mira Loma A,365,Sagittarius,310
Mira Loma B,295,Lambert A,215
Mission San Jose A,270,Lambert B,165
Irvington B,365,Mission San Jose B,95
Harker,305,Mission San Jose B,215
Irvington B,240,Lambert B,110
Sagittarius,440,Irvington A,215
Stanford Online,335,Lambert A,325
Mira Loma A,380,Mira Loma B,210
Mission San Jose A,365,Mission San Jose B,185
Mira Loma A,320,Lambert A,265
Irvington A,315,Mira Loma B,260
Stanford Online,405,Sagittarius,230
Irvington A,345,Lambert A,245
Sagittarius 480, Mira Loma B 125
Mira Loma A 515, Stanford Online 125
Mira Loma B,300,Stanford Online,295
Mira Loma A,340,Irvington A,245
Sagittarius,320,Lambert A,265
