\nKinkaid,330,Raleigh Charter,255
\nManheim Township,335,Southwestern,260
\nEden Prairie,340,IMSA A,285
\nBelmont,385,St. Mark\'s School of Texas A,235
\nWayzata,440,Plano West A,125
\nGreat Valley,515,IMSA B,85
\nKinkaid,435,IMSA A,220
\nEden Prairie,235,Southwestern,230
\nManheim Township,350,Raleigh Charter,220
\nBelmont,345,Wayzata,245
\nSt. Mark\'s School of Texas A,515,IMSA B,30
\nPlano West A,255,Plano West B,100
\nManheim Township,440,Eden Prairie,165
\nIMSA A,380,Raleigh Charter,255
\nKinkaid,515,Southwestern,150
\nWayzata,280,St. Mark\'s School of Texas A,215
\nGreat Valley,355,Plano West A,190
\nBelmont,380,Plano West B,120
\nEden Prairie,315,Raleigh Charter,260
\nIMSA A,365,Southwestern,230
\nKinkaid,585,Manheim Township,110
\nGreat Valley,385,Belmont,260
\nSt. Mark\'s School of Texas A,530,Plano West B,15
\nPlano West A,255,IMSA B,245
\nKinkaid,515,Eden Prairie,180
\nRaleigh Charter,370,Southwestern,225
\nIMSA A,335,Manheim Township,275
\nWayzata,495,Plano West B,15
\nGreat Valley,440,St. Mark\'s School of Texas A,210
\nBelmont,485,IMSA B,80
\nPlano West A,235,St. Mark\'s School of Texas A,225
\nWayzata,390,IMSA B,115
\nGreat Valley,420,Plano West B,40
\nWayzata,385,Great Valley,290
\nBelmont,445,Plano West A,160
\nIMSA B,275,Plano West B,90
\nBelmont,380,Kinkaid,285
\nIMSA A,395,Great Valley,190
\nWayzata,465,Eden Prairie,115
\nManheim Township,470,Plano West A,105
\nRaleigh Charter,520,Plano West B,25
\nSt. Mark\'s School of Texas A,335,Southwestern,285
\nKinkaid,360,Great Valley,300
\nBelmont,310,IMSA A,225
\nWayzata,380,Manheim Township,260
\nEden Prairie,390,Plano West A,170
\nSouthwestern,410,Plano West B,110
\nRaleigh Charter,305,IMSA B,265
\nKinkaid,460,Belmont,215
\nGreat Valley,385,IMSA A,240
\nManheim Township,420,Wayzata,220
\nEden Prairie,350,Plano West A,290
\nSt. Mark\'s School of Texas A,265,Raleigh Charter,250
\nSouthwestern,375,IMSA B,150
