\nBelmont,380,Chenery,235
\nBuffalo Grove,575,Bronx Science,60
\nPlano West,270,Washington Connections Academy,215
\nMira Loma,415,Chenery,195
\nBuffalo Grove,500,Washington Connections Academy,80
\nBelmont,410,Plano West,235
\nWest Windsor-Plainsboro North,380,Bronx Science,85
\nBelmont,485,Bronx Science,100
\nMira Loma,265,Plano West,180
\nBuffalo Grove,460,West Windsor-Plainsboro North,165
\nBuffalo Grove,595,Chenery,80
\nMira Loma,315,Bronx Science,230
\nBelmont,545,Washington Connections Academy,75
\nWest Windsor-Plainsboro North,355,Plano West,235
\nMira Loma,375,Belmont,320
\nBuffalo Grove,380,Plano West,230
\nWest Windsor-Plainsboro North,295,Washington Connections Academy,135
\nChenery,355,Bronx Science,135
\nBuffalo Grove,365,Mira Loma,275
\nBelmont,365,West Windsor-Plainsboro North,205
\nBuffalo Grove,475,Belmont,185
\nChenery,270,West Windsor-Plainsboro North,200
\nMira Loma,370,Washington Connections Academy,50
\nBelmont,390,Mira Loma,245
\nBuffalo Grove,445,Chenery,170
\nPlano West,295,Washington Connections Academy,135
