Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Seven Lakes",670,9,9,1,450,25.00,Cy-Fair,-5,0,0,1,0,0.00,20
"
Troy",515,5,9,4,370,26.43,Clark A,60,0,3,0,30,10.00,20
"
Village",470,4,11,0,300,20.00,Strake Jesuit B,85,1,2,0,50,16.67,20
"
Academy of Science and Tech A",465,8,6,1,290,20.71,Westside A,100,0,5,2,60,12.00,20
"
Cinco Ranch A",405,5,7,2,270,22.50,Bellaire,190,3,4,1,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",680,12,6,0,440,24.44,Cinco Ranch A,65,2,0,3,50,25.00,20
"
St. John's A",340,6,7,2,190,14.62,Clark A,55,1,3,4,30,7.50,20
"
Wakeland",330,6,6,0,180,15.00,Westside A,165,3,4,0,80,11.43,20
"
Troy",360,5,6,3,240,21.82,Carnegie Vanguard,215,3,5,2,130,16.25,20
"
Academy of Science and Tech A",255,1,10,2,150,13.64,Bellaire,180,1,6,3,120,17.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",605,14,1,1,390,26.00,Wakeland,135,4,1,1,70,14.00,20
"
Strake Jesuit B",475,5,11,2,300,18.75,Westside A,40,0,3,2,20,6.67,20
"
Seven Lakes",450,5,9,5,310,22.14,Carnegie Vanguard,75,1,2,0,40,13.33,20
"
St. John's A",440,5,9,1,280,20.00,Cy-Fair,120,2,3,2,70,14.00,20
"
Village",320,3,9,1,190,15.83,Academy of Science and Tech A,210,5,3,1,110,13.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",640,13,3,1,420,26.25,Bellaire,130,2,2,0,80,20.00,20
"
Cy-Fair",290,1,10,1,180,16.36,Clark A,195,1,7,2,120,15.00,20
"
Village",340,4,7,0,210,19.09,St. John's A,260,3,6,3,170,18.89,20
"
Troy",325,4,7,1,200,18.18,Strake Jesuit B,275,1,8,4,200,22.22,20
"
Cinco Ranch A",340,8,3,2,200,18.18,Seven Lakes,320,5,4,1,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy",555,6,11,1,360,21.18,Westside A,50,0,2,0,30,15.00,20
"
Academy of Science and Tech A",360,1,12,1,230,17.69,Clark A,110,2,3,2,60,12.00,20
"
Bellaire",395,4,8,1,260,21.67,Village,195,2,5,1,120,17.14,20
"
Cinco Ranch A",445,5,8,0,290,22.31,Strake Jesuit B,255,3,4,0,170,24.29,20
"
Wakeland",320,4,8,2,190,15.83,Carnegie Vanguard,210,3,5,1,120,15.00,20
