\nWestview A,425,Canyon Crest A,170
\nOlympian A,345,Rancho Bernardo A,160
\nDel Norte A,450,Francis Parker,85
\nDel Norte B,250,Scripps Ranch,205
\nOur Lady of Peace A,150,St. Margaret\'s Episcopal,130
\nWestview B,195,Arcadia A,160
\nCanyon Crest A,415,Rancho Bernardo A,70
\nWestview A,425,Francis Parker,165
\nDel Norte A,570,Olympian A,70
\nDel Norte B,225,Our Lady of Peace A,140
\nWestview B,315,Scripps Ranch,105
\nArcadia A,250,St. Margaret\'s Episcopal,70
\nDel Norte A,445,Rancho Bernardo A,150
\nCanyon Crest A,440,Francis Parker,140
\nWestview A,315,Olympian A,285
\nArcadia A,225,Our Lady of Peace A,75
\nWestview B,270,Del Norte B,155
\nScripps Ranch,305,St. Margaret\'s Episcopal,135
\nDel Norte A,485,Westview A,175
\nCanyon Crest A,420,Olympian A,235
\nFrancis Parker,395,Rancho Bernardo A,150
\nScripps Ranch,390,Arcadia A,95
\nDel Norte B,255,St. Margaret\'s Episcopal,50
\nWestview B,190,Our Lady of Peace A,120
\nFrancis Parker,340,Olympian A,235
\nDel Norte A,365,Canyon Crest A,265
\nWestview A,440,Rancho Bernardo A,130
\nWestview B,255,St. Margaret\'s Episcopal,190
\nArcadia A,290,Del Norte B,110
\nScripps Ranch,330,Our Lady of Peace A,155
