Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Manheim Township B",365,3,11,2,220,15.71,Manheim Township D,20,0,2,0,0,0.00,20
"
Moravian Academy",295,3,7,4,200,20.00,Wallenpaupack B,75,0,4,1,40,10.00,20
"
Manheim Township C",205,1,10,4,110,10.00,Midd-West B,0,0,0,0,0,0.00,20
"
Camp Hill",200,2,7,0,100,11.11,Lakeland B,50,0,4,0,10,2.50,20
"
Manheim Township A",255,3,6,4,170,18.89,Wallenpaupack A,170,3,5,1,80,10.00,20
"
Lakeland A",120,0,7,0,50,7.14,Midd-West A,115,1,5,2,60,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Manheim Township A",420,8,8,2,230,14.38,Manheim Township C,60,1,1,1,40,20.00,20
"
Moravian Academy",300,6,6,2,160,13.33,Manheim Township B,180,2,5,2,110,15.71,20
"
Lakeland A",190,0,11,0,80,7.27,Wallenpaupack B,75,1,3,2,40,10.00,20
"
Lakeland B",90,0,5,0,40,8.00,Midd-West B,20,0,2,0,0,0.00,20
"
Manheim Township D",150,0,9,0,60,6.67,Midd-West A,100,0,4,0,60,15.00,20
"
Wallenpaupack A",235,1,9,4,150,15.00,Camp Hill,215,1,7,0,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Manheim Township B",450,6,11,0,250,14.71,Midd-West A,25,1,0,2,20,20.00,20
"
Manheim Township A",435,6,10,3,260,16.25,Midd-West B,30,0,2,0,10,5.00,20
"
Wallenpaupack A",310,1,12,1,180,13.85,Lakeland B,5,0,1,1,0,0.00,20
"
Moravian Academy",340,1,13,3,210,15.00,Lakeland A,45,0,3,1,20,6.67,20
"
Wallenpaupack B",100,1,6,3,40,5.71,Manheim Township D,80,1,4,1,30,6.00,20
"
Camp Hill",190,1,6,1,120,17.14,Manheim Township C,170,2,7,2,80,8.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Manheim Township A",525,6,12,1,320,17.78,Lakeland B,35,1,1,0,10,5.00,20
"
Manheim Township B",430,6,9,2,260,17.33,Wallenpaupack B,20,0,1,0,10,10.00,20
"
Moravian Academy",385,3,10,2,250,19.23,Midd-West A,15,0,2,3,10,5.00,20
"
Camp Hill",215,0,9,1,130,14.44,Midd-West B,65,1,2,0,30,10.00,20
"
Wallenpaupack A",260,3,7,3,160,16.00,Manheim Township C,120,0,6,0,60,10.00,20
"
Lakeland A",120,0,7,0,50,7.14,Manheim Township D,75,0,5,1,30,6.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Manheim Township B",460,3,13,1,290,18.12,Lakeland A,10,0,1,0,0,0.00,20
"
Wallenpaupack A",410,0,16,2,260,16.25,Midd-West B,20,0,1,0,10,10.00,20
"
Manheim Township A",415,4,11,1,250,16.67,Camp Hill,85,1,3,0,40,10.00,20
"
Moravian Academy",315,2,10,3,200,16.67,Manheim Township D,30,0,3,0,0,0.00,20
"
Manheim Township C",230,0,13,2,110,8.46,Lakeland B,5,0,1,1,0,0.00,20
"
Midd-West A",100,0,7,2,40,5.71,Wallenpaupack B,85,1,4,0,30,6.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Moravian Academy",295,1,9,0,190,19.00,Wallenpaupack A,125,2,4,3,70,11.67,20
"
Camp Hill",205,0,9,1,120,13.33,Wallenpaupack B,40,1,1,1,20,10.00,20
"
Midd-West A",125,1,5,2,70,11.67,Midd-West B,40,0,3,0,10,3.33,20
"
Manheim Township A",295,1,10,2,190,17.27,Manheim Township B,210,4,4,2,120,15.00,20
"
Manheim Township D",95,0,6,1,40,6.67,Lakeland B,30,1,1,1,10,5.00,20
"
Manheim Township C",140,0,7,4,90,12.86,Lakeland A,120,2,3,0,60,12.00,20
