Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth A",535,4,14,1,340,18.89,Framingham,0,0,1,2,0,0.00,20
"
Hopkinton",485,5,10,0,310,20.67,Methuen,50,0,3,0,20,6.67,20
"
Mansfield A",320,3,8,1,200,18.18,Plymouth B,110,0,7,2,50,7.14,20
"
Boston Latin",280,1,11,1,160,13.33,Waltham,130,0,7,0,60,8.57,20
"
Buckingham",265,0,12,1,150,12.50,Phillips Academy,130,1,4,1,80,16.00,20
"
North Quincy",300,1,11,3,190,15.83,Mansfield B,170,2,4,0,100,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",605,4,13,1,420,24.71,Methuen,55,2,1,1,20,6.67,20
"
Hopkinton",405,3,10,2,270,20.77,Boston Latin,150,2,3,2,100,20.00,20
"
Mansfield B",255,1,10,2,150,13.64,Waltham,90,1,4,1,40,8.00,20
"
Plymouth B",230,2,8,2,130,13.00,Phillips Academy,160,1,6,1,90,12.86,20
"
Plymouth A",260,2,8,4,170,17.00,Mansfield A,205,1,6,0,130,18.57,20
"
Framingham",195,3,6,0,90,10.00,Buckingham,145,0,5,3,110,22.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",555,5,11,0,370,23.12,Boston Latin,65,0,3,1,40,13.33,20
"
Mansfield B",475,1,16,0,300,17.65,Methuen,5,0,1,1,0,0.00,20
"
Hopkinton",400,3,11,1,250,17.86,Waltham,95,1,3,0,50,12.50,20
"
Plymouth A",380,2,11,2,250,19.23,Plymouth B,135,1,4,0,80,16.00,20
"
Framingham",235,2,9,1,120,10.91,Phillips Academy,220,0,9,0,130,14.44,20
"
Buckingham",250,2,9,2,140,12.73,Mansfield A,245,1,7,0,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",435,2,12,1,290,20.71,Hopkinton,100,1,4,1,50,10.00,20
"
Mansfield A",270,3,9,1,140,11.67,Phillips Academy,75,1,4,2,30,6.00,20
"
Plymouth B",230,0,11,0,120,10.91,Framingham,55,1,3,2,20,5.00,20
"
Plymouth A",305,4,8,1,170,14.17,Buckingham,135,3,2,2,80,16.00,20
"
Mansfield B",250,0,11,2,150,13.64,Boston Latin,140,1,4,1,90,18.00,20
"
Waltham",150,0,8,0,70,8.75,Methuen,60,0,5,0,10,2.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",430,7,7,3,270,19.29,Waltham,50,0,3,0,20,6.67,20
"
Plymouth A",365,3,10,4,240,18.46,Phillips Academy,45,0,4,1,10,2.50,20
"
Boston Latin",305,1,13,2,170,12.14,Methuen,45,0,3,1,20,6.67,20
"
Mansfield A",320,4,8,2,190,15.83,Framingham,135,3,2,0,70,14.00,20
"
Hopkinton",275,2,9,3,170,15.45,Mansfield B,130,0,6,2,80,13.33,20
"
Buckingham",260,2,8,2,160,16.00,Plymouth B,170,1,6,1,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth A",345,4,8,3,220,18.33,Buckingham,120,0,4,0,80,20.00,20
"
Hopkinton",360,3,9,1,230,19.17,Mansfield B,140,2,4,2,80,13.33,20
"
Plymouth B",275,1,10,2,170,15.45,Methuen,75,1,4,0,20,4.00,20
"
North Quincy",345,2,9,3,240,21.82,Mansfield A,165,2,5,1,90,12.86,20
"
Phillips Academy",325,1,11,0,200,16.67,Waltham,150,0,7,0,80,11.43,20
"
Boston Latin",250,0,8,2,180,22.50,Framingham,220,1,9,1,120,12.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Boston Latin",385,2,13,1,230,15.33,Methuen,35,1,2,0,0,0.00,20
"
Hopkinton",320,3,9,1,190,15.83,Buckingham,100,0,4,0,60,15.00,20
"
North Quincy",365,3,7,0,250,25.00,Plymouth A,215,4,4,3,130,16.25,20
"
Plymouth B",235,0,12,1,120,10.00,Phillips Academy,125,0,5,1,80,16.00,20
"
Framingham",205,0,11,3,110,10.00,Waltham,110,0,5,0,60,12.00,20
"
Mansfield A",200,0,10,2,110,11.00,Mansfield B,165,0,8,3,100,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Boston Latin",345,1,12,2,220,16.92,Plymouth B,75,1,3,2,40,10.00,20
"
Buckingham",300,0,10,2,210,21.00,Mansfield B,110,1,5,1,50,8.33,20
"
North Quincy",310,3,7,1,200,20.00,Hopkinton,230,1,6,1,160,22.86,20
"
Waltham",130,0,7,2,70,10.00,Methuen,95,1,3,0,50,12.50,20
"
Plymouth A",240,1,8,3,160,17.78,Mansfield A,215,1,7,0,130,16.25,20
"
Framingham",195,2,5,1,120,17.14,Phillips Academy,190,2,7,0,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Quincy",370,6,6,4,240,20.00,Mansfield B,205,2,5,1,130,18.57,20
"
Boston Latin",290,1,10,1,180,16.36,Waltham,140,1,6,1,70,10.00,20
"
Phillips Academy",245,0,9,1,160,17.78,Methuen,125,2,6,1,40,5.00,20
"
Mansfield A",245,2,8,1,140,14.00,Buckingham,165,1,5,2,110,18.33,20
"
Framingham",270,2,8,2,170,17.00,Plymouth B,215,1,6,0,140,20.00,20
"
Plymouth A (OT)",295,3,8,4,190,19.00,Hopkinton,285,4,5,1,180,20.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Boston Latin",405,3,10,0,260,20.00,Phillips Academy,90,0,4,0,50,12.50,20
"
Framingham",325,4,8,3,200,16.67,Methuen,50,0,4,0,10,2.50,20
"
Plymouth B",305,0,14,1,170,12.14,Waltham,50,0,3,0,20,6.67,20
"
Plymouth A",375,2,10,3,260,21.67,Mansfield B,125,0,5,1,80,16.00,20
"
North Quincy",335,3,7,4,240,24.00,Buckingham,245,4,4,1,150,18.75,20
"
Mansfield A",290,2,9,0,170,15.45,Hopkinton,260,1,7,1,180,22.50,20
