Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mira Loma B",475,6,7,3,330,25.38,Sagittarius B,100,1,4,1,50,10.00,20
"
Homestead A",485,8,6,1,310,22.14,Lowell,205,2,4,1,140,23.33,20
"
Sagittarius A",445,6,7,3,300,23.08,Gunn A,180,5,2,1,90,12.86,20
"
Mission San Jose A",395,5,8,2,250,19.23,Washington,195,3,3,0,120,20.00,20
"
Stanford Online A",375,4,8,3,250,20.83,Amador Valley A,215,0,8,1,140,17.50,20
"
Irvington A",385,5,6,2,260,23.64,Vista Del Lago A,255,5,3,4,170,21.25,20
"
Leland",295,3,7,2,190,19.00,Davis A,175,4,3,1,90,12.86,20
"
Bellarmine College Prep A",380,6,5,0,240,21.82,Mira Loma A,295,6,3,3,190,21.11,20
"
Harker A",355,4,6,1,240,24.00,Saratoga A,310,6,3,0,190,21.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Saratoga A",515,7,7,0,340,24.29,Sagittarius B,150,3,1,3,110,27.50,20
"
Stanford Online A",470,5,9,1,310,22.14,Lowell,190,5,0,3,130,26.00,20
"
Homestead A",460,9,3,1,300,25.00,Irvington A,255,5,3,0,150,18.75,20
"
Mira Loma A",340,3,8,5,240,21.82,Leland,180,1,6,1,110,15.71,20
"
Bellarmine College Prep A",435,7,5,2,290,24.17,Sagittarius A,275,4,4,3,190,23.75,20
"
Mira Loma B",405,9,2,2,260,23.64,Mission San Jose A,285,4,5,3,190,21.11,20
"
Harker A",310,4,5,2,210,23.33,Washington,255,2,7,1,160,17.78,20
"
Amador Valley A",340,7,3,3,220,22.00,Vista Del Lago A,285,3,7,0,170,17.00,20
"
Davis A",280,4,6,2,170,17.00,Gunn A,265,3,5,0,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bellarmine College Prep A",530,10,4,2,350,25.00,Leland,125,2,2,1,80,20.00,20
"
Homestead A",500,7,7,1,330,23.57,Vista Del Lago A,160,1,5,3,110,18.33,20
"
Sagittarius A",440,8,4,4,300,25.00,Davis A,180,4,3,2,100,14.29,20
"
Stanford Online A",495,9,4,2,330,25.38,Irvington A,235,4,3,3,160,22.86,20
"
Mira Loma B",415,10,2,5,270,22.50,Washington,240,3,4,1,160,22.86,20
"
Sagittarius B",425,5,8,0,270,20.77,Harker A,260,4,3,2,180,25.71,20
"
Amador Valley A",365,6,5,1,230,20.91,Lowell,260,5,4,5,170,18.89,20
"
Mira Loma A",345,9,2,2,200,18.18,Gunn A,310,6,3,0,190,21.11,20
"
Mission San Jose A (OT)",380,7,4,3,250,25.00,Saratoga A,365,5,5,0,240,24.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Sagittarius A",610,9,8,3,410,24.12,Leland,65,0,3,3,50,16.67,20
"
Mira Loma A",430,7,8,1,250,16.67,Davis A,140,2,3,0,80,16.00,20
"
Sagittarius B",440,5,8,3,300,23.08,Washington,180,2,4,2,120,20.00,20
"
Bellarmine College Prep A",425,7,6,4,280,21.54,Gunn A,190,2,3,0,130,26.00,20
"
Irvington A",405,7,4,0,260,23.64,Amador Valley A,195,3,4,2,120,17.14,20
"
Lowell",340,4,7,2,220,20.00,Vista Del Lago A,205,3,5,4,130,16.25,20
"
Saratoga A",350,7,3,1,220,22.00,Mira Loma B,285,5,3,2,190,23.75,20
"
Harker A",340,3,7,1,230,23.00,Mission San Jose A,295,6,3,5,200,22.22,20
"
Homestead A",375,8,3,1,230,20.91,Stanford Online A,335,5,4,2,230,25.56,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Saratoga A",515,5,9,2,360,25.71,Washington,170,3,3,1,100,16.67,20
"
Stanford Online A",480,5,9,1,320,22.86,Vista Del Lago A,135,3,2,2,80,16.00,20
"
Bellarmine College Prep A",415,4,8,3,290,24.17,Davis A,150,1,5,1,90,15.00,20
"
Irvington A",415,6,6,1,270,22.50,Lowell,155,3,3,2,90,15.00,20
"
Mission San Jose A",360,6,4,2,240,24.00,Sagittarius B,160,0,8,4,100,12.50,20
"
Sagittarius A",425,7,5,2,280,23.33,Mira Loma A,255,2,6,3,180,22.50,20
"
Mira Loma B",365,5,6,2,240,21.82,Harker A,310,5,4,1,200,22.22,20
"
Homestead A",350,4,6,2,240,24.00,Amador Valley A,315,6,3,3,210,23.33,20
"
Leland",275,1,9,2,180,18.00,Gunn A,265,0,9,3,190,21.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
