Mira Loma,525,JFK,185
Bellarmine,480,Harker A,205
Stanford Online,415,Vista Del Lago A,315
Mission San Jose A,505,Leland,180
Guilder,520,BASIS B,165
Saratoga A,720,Washington A,15
Bellarmine,460,JFK,225
Mira Loma,535,Vista Del Lago A,175
Stanford Online,465,Harker A,200
Leland,410,BASIS B,200
Mission San Jose A,400,Washington A,205
Guilder,365,Saratoga A,335
Mission San Jose A,530,BASIS B,125
Saratoga A,550,Leland,160
Guilder,515,Washington A,215
Mira Loma,400,Bellarmine,370
Stanford Online,485,JFK,130
Harker A,425,Vista Del Lago A,210
Vista Del Lago A,495,JFK,180
Bellarmine,455,Stanford Online,265
Mira Loma,650,Harker A,145
Leland,340,Washington A,270
Saratoga A,550,BASIS B,115
Guilder,475,Mission San Jose A,210
Guilder,415,Leland,260
Washington A,295,BASIS B,235
Saratoga A,360,Mission San Jose A,350
Harker A,420,JFK,215
Bellarmine,405,Vista Del Lago A,210
Mira Loma,385,Stanford Online,285
Guilder,455,Stanford Online,280
Mira Loma,410,Bellarmine,335
Saratoga A,470,Mission San Jose A,290
Harker A,385,BASIS B,290
Vista Del Lago A,360,Leland,245
Washington A,435,JFK,205
BASIS B,345,Vista Del Lago A,310
Harker A,315,Washington A,285
Leland,295,JFK,225
Saratoga A,470,Bellarmine,295
Guilder,440,Mission San Jose A,300
Mira Loma,430,Stanford Online,300
Bellarmine,435,Mission San Jose A,335
Saratoga A,370,Stanford Online,350
Mira Loma,340,Guilder,325
Vista Del Lago A,380,Washington A,190
JFK,330,BASIS B,255
Harker A,415,Leland,315
Mission San Jose A,400,Stanford Online,305
Saratoga A,430,Mira Loma,325
Guilder,475,Bellarmine,215
Saratoga A,415,Guilder,410
Mira Loma,510,Mission San Jose A,270
Bellarmine,410,Stanford Online,350
