\nCreekview,360,Innovation Academy B,140
\nLambert B,335,Southside B,190
\nWestminster,545,Milton,35
\nBlessed Trinity A,295,GACS B,125
\nNorth Gwinnett,425,Paul Duke STEM,90
\nStanton College Prep,710,Rutland,0
\nSouthside A,420,Marist,220
\nMidtown,455,Chamblee B,165
\nChamblee A,390,Roswell,175
\nLambert A,590,Lakeside,15
\nGACS A,310,Blessed Trinity B,160
\nInnovation Academy A,230,Paideia B,180
\nPaideia A,475,Hooch D,85
\nBlessed Trinity A,365,Lakeside,125
\nChamblee B,375,GACS B,200
\nChamblee A,430,Southside B,200
\nLambert A,475,Roswell,115
\nMidtown,475,Lambert B,160
\nSouthside A,440,Paideia B,200
\nGACS A,370,Rutland,60
\nStanton College Prep,670,North Gwinnett,35
\nPaideia A,625,Innovation Academy B,5
\nWestminster,475,Hooch D,100
\nInnovation Academy A,300,Milton,125
\nCreekview,525,Marist,135
\nPaul Duke STEM,275,Blessed Trinity B,105
\nMidtown,385,Chamblee A,260
\nSouthside B,270,Roswell,185
\nLambert B,295,GACS B,85
\nChamblee B,305,Lakeside,170
\nGACS A,290,Paul Duke STEM,230
\nStanton College Prep,575,Blessed Trinity B,15
\nCreekview,275,Paideia B,220
\nHooch D,170,Milton,135
\nNorth Gwinnett,460,Rutland,10
\nPaideia A,420,Marist,120
\nSouthside A,335,Innovation Academy A,180
\nWestminster,375,Innovation Academy B,115
\nLambert A,370,Blessed Trinity A,180
\nBlessed Trinity A,300,Southside B,215
\nPaideia B,305,Marist,240
\nMilton,240,Innovation Academy B,130
\nSouthside A,430,Hooch D,90
\nCreekview,355,Innovation Academy A,190
\nPaideia A,455,Westminster,145
\nStanton College Prep,635,Paul Duke STEM,85
\nNorth Gwinnett,345,GACS A,145
\nBlessed Trinity B,340,Rutland,20
\nMidtown,655,Roswell,20
\nChamblee A,385,Lambert B,135
\nLambert A,345,Chamblee B,225
\nGACS B,270,Lakeside,200
\nWestminster,415,Paideia B,185
\nStanton College Prep,540,GACS A,85
\nMarist,270,Innovation Academy A,220
\nNorth Gwinnett,325,Blessed Trinity B,125
\nSouthside A,300,Creekview,255
\nChamblee A,510,Lakeside,45
\nRoswell,250,Lambert B,180
\nLambert A,380,GACS B,100
\nMidtown,445,Southside B,115
\nPaideia A,560,Milton,15
\nPaul Duke STEM,210,Rutland,20
\nChamblee B,285,Blessed Trinity A,260
\nHooch D,165,Innovation Academy B,155
\nStanton College Prep,580,Hooch D,30
\nLambert A,495,Innovation Academy A,120
\nPaideia A,535,Paul Duke STEM,80
\nChamblee A,455,Chamblee B,105
\nSouthside A,510,GACS A,160
\nNorth Gwinnett,420,Creekview,190
\nWestminster,610,Blessed Trinity A,45
\nMidtown,505,Lambert B,125
\nLambert A,365,Southside A,280
\nStanton College Prep,430,North Gwinnett,240
\nMidtown,385,Chamblee A,275
\nPaideia A,355,Westminster,325
\nStanton College Prep,385,Lambert A,315
\nMidtown,525,Paideia A,150
\nStanton College Prep,445,Midtown,310
\nPaideia A,335,Lambert A,315
