Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Early College at Guilford B",415,2,13,1,260,17.33,Huguenot A,40,0,2,0,20,10.00,20
"
Walt Whitman",375,4,8,1,240,20.00,Virginia Episcopal,95,0,5,3,60,12.00,20
"
Maggie Walker Governor's School E",335,3,11,0,180,12.86,Fort Defiance B,70,1,3,3,40,10.00,20
"
Maggie Walker Governor's School B",345,2,11,1,210,16.15,Maggie Walker Governor's School D,165,0,7,1,100,14.29,20
"
Norfolk Academic Guild",310,4,8,4,190,15.83,Maggie Walker Governor's School C,205,1,6,0,130,18.57,20
"
Early College at Guilford A",310,5,6,1,180,16.36,Fort Defiance A,275,5,4,0,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Maggie Walker Governor's School A",595,6,12,1,390,21.67,Early College at Guilford B,30,1,0,1,20,20.00,20
"
Walt Whitman",480,1,16,1,310,18.24,Huguenot B,30,0,2,0,10,5.00,20
"
Norfolk Academic Guild",275,2,11,3,150,11.54,Huguenot A,0,0,0,0,0,0.00,20
"
Maggie Walker Governor's School B",300,2,10,4,190,15.83,Virginia Episcopal,110,0,5,0,60,12.00,20
"
Early College at Guilford A",345,5,7,2,210,17.50,Maggie Walker Governor's School D,195,1,6,0,120,17.14,20
"
Maggie Walker Governor's School C",280,0,11,0,170,15.45,Maggie Walker Governor's School E,150,3,4,3,80,11.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Maggie Walker Governor's School B",435,3,15,2,250,13.89,Huguenot B,0,0,0,0,0,0.00,20
"
Maggie Walker Governor's School A",435,5,8,2,290,22.31,Norfolk Academic Guild,140,2,4,2,80,13.33,20
"
Maggie Walker Governor's School C",320,2,11,4,200,15.38,Fort Defiance B,40,0,3,2,20,6.67,20
"
Early College at Guilford A",310,3,9,5,200,16.67,Virginia Episcopal,145,0,5,1,100,20.00,20
"
Maggie Walker Governor's School E",200,0,12,6,110,9.17,Huguenot A,100,0,4,0,60,15.00,20
"
Maggie Walker Governor's School D",250,2,9,0,130,11.82,Fort Defiance A,180,2,6,6,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Maggie Walker Governor's School A",515,9,7,2,320,20.00,Maggie Walker Governor's School E,65,1,3,0,20,5.00,20
"
Early College at Guilford A",355,3,10,4,230,17.69,Huguenot B,5,0,1,1,0,0.00,20
"
Norfolk Academic Guild",380,7,6,1,220,16.92,Early College at Guilford B,110,2,3,2,60,12.00,20
"
Fort Defiance A",270,4,6,2,160,16.00,Virginia Episcopal,180,0,7,0,110,15.71,20
"
Fort Defiance B",95,0,5,1,50,10.00,Huguenot A,50,0,5,0,0,0.00,20
"
Maggie Walker Governor's School B",285,5,5,2,170,17.00,Walt Whitman,240,0,10,2,150,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Fort Defiance A",475,4,13,1,290,17.06,Huguenot B,20,0,1,0,10,10.00,20
"
Maggie Walker Governor's School C",385,2,13,3,240,16.00,Huguenot A,50,0,3,0,20,6.67,20
"
Maggie Walker Governor's School A",375,7,5,6,250,20.83,Fort Defiance B,85,1,3,0,40,10.00,20
"
Maggie Walker Governor's School D",310,2,11,0,170,13.08,Virginia Episcopal,105,0,5,3,70,14.00,20
"
Early College at Guilford B",250,0,11,0,140,12.73,Maggie Walker Governor's School E,95,0,6,1,40,6.67,20
"
Early College at Guilford A",320,6,6,4,190,15.83,Walt Whitman,170,1,5,1,110,18.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Maggie Walker Governor's School A",495,8,7,3,320,21.33,Maggie Walker Governor's School C,85,1,3,0,40,10.00,20
"
Maggie Walker Governor's School D",250,2,8,2,150,15.00,Huguenot B,5,0,1,1,0,0.00,20
"
Early College at Guilford B",310,0,13,0,180,13.85,Fort Defiance B,75,1,2,0,40,13.33,20
"
Norfolk Academic Guild",315,3,10,2,180,13.85,Maggie Walker Governor's School E,80,0,4,2,50,12.50,20
