Mather A,425,Mather B,45
\nBelmont,435,Chenery,140
\nWoodland,415,Greenwich High School,60
\nStaples,290,North Babylon B,80
\nNorth Babylon A,265,Terryville High School,60
\nStaples,195,North Babylon A,165
\nTerryville High School,145,North Babylon B,65
\nChenery,305,"""Mather"" B",60
"\n""Mather"" A",380,Woodland,170
\nBelmont,420,Greenwich High School,100
\nStaples,295,Terryville High School,50
"\n""Mather"" A",315,North Babylon A,115
"\n""Mather"" B",300,Greenwich High School,55
\nChenery,370,North Babylon B,30
\nWoodland,345,Belmont,195
\nChenery,300,"""Mather"" A",180
\nStaples,330,"""Mather"" B",110
\nWoodland,420,North Babylon A,35
\nGreenwich High School,150,North Babylon B,135
\nBelmont,385,Terryville High School,90
\nBelmont,340,"""Mather"" A",195
\nNorth Babylon A,225,"""Mather"" B",95
\nChenery,280,Terryville High School,105
\nWoodland,395,North Babylon B,80
\nStaples,290,Greenwich High School,40
\nWoodland,390,Staples,120
\nChenery,310,Greenwich High School,65
"\n""Mather"" A",390,Terryville High School,70
\nBelmont,375,North Babylon A,120
"\n""Mather"" B",250,North Babylon B,80
\nWoodland,255,Chenery,225
\nBelmont,405,Staples,215
"\n""Mather"" A",320,Greenwich High School,70
"\n""Mather"" B",165,Terryville High School,105
\nNorth Babylon A,125,North Babylon B,70
\nGreenwich High School,130,Terryville High School,65
\nWoodland,405,"""Mather"" B",55
\nBelmont,445,North Babylon B,0
\nChenery,315,North Babylon A,60
"\n""Mather"" A",370,Staples,135
\nWoodland,345,Terryville High School,80
\nNorth Babylon A,270,Greenwich High School,90
\nStaples,240,Chenery,205
\nBelmont,400,"""Mather"" B",85
"\n""Mather"" A",380,North Babylon B,65
\nChenery,380,Staples,125
\nBelmont,380,Woodland,215
