\nMather A,390,Mather B,275
\nNEGsky prospekt A,350,Wilton,260
\nWoodland,400,Hunter A,375
\nPrinceton,370,Hunter B,145
\nStaples Blue,405,High Tech,240
\nPaliki,355,Belmont,260
\nBronx Sci,280,Staples White,170
\nChenery,300,King,210
\nNEGsky prospekt B,260,NEGsky prospekt C,225
\nNEGsky prospekt A,440,Mather B,260
\nMather A,395,Woodland,280
\nHunter A,450,Wilton,275
\nHigh Tech,440,Hunter B,160
\nPrinceton,460,Belmont,250
\nStaples Blue,395,Paliki,285
\nKing,250,Staples White,180
\nNEGsky prospekt B,310,Bronx Sci,285
\nNEGsky prospekt C,200,Chenery,195
\nHunter A,525,NEGsky prospekt A,255
\nMather B,340,Woodland,270
\nMather A,430,Wilton,225
\nPaliki,340,High Tech,320
\nBelmont,425,Hunter B,145
\nPrinceton,295,Staples Blue,265
\nKing,285,NEGsky prospekt C,180
\nNEGsky prospekt B,345,Staples White,50
\nChenery,220,Bronx Sci,195
\nHunter A,445,Mather A,320
\nWilton,390,Mather B,170
\nWoodland,405,NEGsky prospekt A,255
\nPrinceton,335,Paliki,245
\nStaples Blue,335,Hunter B,220
\nHigh Tech,530,Belmont,185
\nBronx Sci,250,NEGsky prospekt C,100
\nChenery,200,Staples White,115
\nNEGsky prospekt B,395,King,180
\nWoodland,370,Wilton,300
\nHunter A,490,Mather B,225
\nMather A,455,NEGsky prospekt A,245
\nStaples Blue,370,Belmont,175
\nPaliki,475,Hunter B,105
\nHigh Tech,320,Princeton,255
\nNEGsky prospekt B,260,Chenery,220
\nStaples White,220,NEGsky prospekt C,180
\nBronx Sci,305,King,220
