Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Choate A",640,8,10,0,420,23.33,Staples,20,0,1,2,20,20.00,20
"
Wilton",475,2,13,1,320,21.33,Woodland A,50,0,3,2,30,10.00,20
"
Choate B",380,0,15,2,240,16.00,Woodland B,40,0,2,0,20,10.00,20
"
Darien B",405,4,9,3,270,20.77,Hotchkiss B,70,1,2,1,40,13.33,20
"
Hotchkiss A",340,7,3,5,230,23.00,Hopkins,165,1,7,0,80,10.00,20
"
Darien A",310,1,9,5,230,23.00,King School Stamford,245,0,8,1,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hotchkiss A",670,11,8,1,430,22.63,King School Stamford,15,0,1,1,10,10.00,20
"
Choate A",535,9,7,2,340,21.25,Woodland A,70,0,3,0,40,13.33,20
"
Darien A",430,8,6,0,250,17.86,Choate B,145,1,4,0,90,18.00,20
"
Staples",410,2,12,4,280,20.00,Hotchkiss B,145,2,3,1,90,18.00,20
"
Hopkins",235,1,9,2,140,14.00,Woodland B,110,0,4,0,70,17.50,20
"
Wilton",320,3,8,1,200,18.18,Darien B,230,5,4,7,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hotchkiss A",695,8,11,1,470,24.74,Woodland B,30,0,1,0,20,20.00,20
"
Choate A",640,6,11,2,450,26.47,Hotchkiss B,30,0,2,2,20,10.00,20
"
Choate B",405,1,14,0,250,16.67,King School Stamford,85,2,2,3,50,12.50,20
"
Darien A",420,5,8,5,290,22.31,Hopkins,130,0,5,0,80,16.00,20
"
Darien B",300,4,8,4,180,15.00,Woodland A,120,1,5,1,60,10.00,20
"
Wilton",330,3,7,1,220,22.00,Staples,205,2,6,5,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien B",450,8,7,2,270,18.00,Staples,115,1,4,2,70,14.00,20
"
King School Stamford",310,1,13,1,170,12.14,Woodland B,80,0,5,0,30,6.00,20
"
Choate A",375,7,4,2,240,21.82,Wilton,200,1,6,1,130,18.57,20
"
Choate B",275,1,8,0,180,20.00,Hopkins,260,4,6,0,140,14.00,20
"
Hotchkiss B",230,4,7,2,110,10.00,Woodland A,220,0,8,0,140,17.50,20
"
Darien A",325,6,4,1,200,20.00,Hotchkiss A,320,5,4,1,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",570,10,7,2,360,21.18,Woodland B,30,0,1,0,20,20.00,20
"
Hotchkiss A",600,9,8,3,400,23.53,Choate B,70,0,3,0,40,13.33,20
"
Wilton",465,2,15,1,290,17.06,Hotchkiss B,40,0,2,2,30,15.00,20
"
Choate A",440,9,3,1,280,23.33,Darien B,275,6,2,1,170,21.25,20
"
Staples",310,7,6,5,170,13.08,Woodland A,155,1,5,0,90,15.00,20
"
Hopkins",300,4,7,0,170,15.45,King School Stamford,295,2,7,1,200,22.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hotchkiss A",575,12,3,1,370,24.67,Wilton,120,1,4,1,70,14.00,20
"
Choate A",530,9,6,1,340,22.67,Choate B,135,1,4,0,80,16.00,20
"
Staples",415,5,10,2,250,16.67,Woodland B,80,0,4,0,40,10.00,20
"
Darien A",430,6,7,0,270,20.77,Darien B,215,6,1,1,120,17.14,20
"
Hopkins",305,5,7,0,160,13.33,Woodland A,155,0,8,1,80,10.00,20
"
Hotchkiss B",275,3,11,0,120,8.57,King School Stamford,145,2,4,1,80,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hotchkiss A",560,10,5,0,360,24.00,Choate A,180,4,1,2,120,24.00,20
"
Darien B",395,5,7,2,260,21.67,Choate B,195,2,5,1,120,17.14,20
"
Staples",260,6,2,6,180,22.50,King School Stamford,115,0,6,1,60,10.00,20
"
Hotchkiss B",245,0,10,1,150,15.00,Hopkins,185,0,7,1,120,17.14,20
"
Woodland B",150,1,8,1,60,6.67,Woodland A,120,0,5,2,80,16.00,20
"
Darien A",310,3,6,1,210,23.33,Wilton,300,2,8,2,200,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien B",540,9,7,1,340,21.25,Hotchkiss A,125,2,2,1,80,20.00,20
"
Hotchkiss B",400,1,13,3,270,19.29,Woodland B,35,0,2,1,20,10.00,20
"
Choate A",465,5,8,2,320,24.62,Darien A,225,4,3,1,140,20.00,20
"
Hopkins",275,3,6,0,170,18.89,Staples,185,1,6,6,140,20.00,20
"
Wilton",325,2,10,3,210,17.50,Choate B,250,3,5,1,160,20.00,20
"
Woodland A",175,1,7,0,90,11.25,King School Stamford,155,0,7,3,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",365,7,4,2,230,20.91,Choate A,300,5,4,1,190,21.11,20
