Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Westmont Hilltop",400,2,13,0,240,16.00,Greater Johnstown,0,0,0,0,0,0.00,20
"
Bishop McCort",390,2,11,0,250,19.23,Portage Area,65,1,3,0,20,5.00,20
"
Penn Cambria",235,0,9,1,150,16.67,Windber,100,2,5,0,20,2.86,20
"
Somerset",170,1,8,1,80,8.89,Blacklick Valley,85,0,4,1,50,12.50,20
"
Northern Cambria",140,0,8,0,60,7.50,North Star,100,0,6,0,40,6.67,20
"
Forest Hills",Forfeit, , , , , ,Central Cambria,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Westmont Hilltop",330,2,12,0,180,12.86,Northern Cambria,5,0,1,1,0,0.00,20
"
Somerset",200,0,10,0,100,10.00,Greater Johnstown,40,0,2,0,20,10.00,20
"
Richland",210,0,9,0,120,13.33,Forest Hills,105,0,7,1,40,5.71,20
"
Blacklick Valley",140,0,8,0,60,7.50,North Star,70,0,5,0,20,4.00,20
"
Bishop McCort",215,1,8,0,120,13.33,Penn Cambria,145,0,7,1,80,11.43,20
"
Portage Area (OT)",150,0,8,0,70,11.67,Conemaugh Valley,140,0,8,0,60,8.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop McCort",295,1,10,0,180,16.36,Blacklick Valley,15,0,2,1,0,0.00,20
"
Somerset",190,0,8,0,110,13.75,Conemaugh Valley,40,0,3,0,10,3.33,20
"
Penn Cambria",215,1,7,0,130,16.25,Northern Cambria,80,0,5,0,30,6.00,20
"
Central Cambria",160,0,6,0,100,16.67,North Star,40,0,2,0,20,10.00,20
"
Westmont Hilltop",200,0,8,2,130,16.25,Forest Hills,90,0,5,0,40,8.00,20
"
Windber",190,0,8,0,110,13.75,Richland,150,0,7,0,80,11.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop McCort",280,0,13,2,160,12.31,North Star,30,0,2,0,10,5.00,20
"
Penn Cambria",255,1,9,0,150,15.00,Forest Hills,90,0,5,0,40,8.00,20
"
Northern Cambria",140,0,8,0,60,7.50,Conemaugh Valley,40,0,2,0,20,10.00,20
"
Central Cambria",110,0,6,0,50,8.33,Greater Johnstown,30,0,3,0,0,0.00,20
"
Somerset",170,0,8,0,90,11.25,Windber,155,0,6,1,100,16.67,20
"
Portage Area",95,1,5,0,30,5.00,Richland,85,1,4,0,30,6.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop McCort",320,3,11,1,170,12.14,Central Cambria,50,0,3,0,20,6.67,20
"
Somerset",250,2,9,0,130,11.82,North Star,20,0,2,0,0,0.00,20
