Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lambert",495,3,13,2,330,20.62,Crivitz B,50,0,2,0,30,15.00,20
"
Paideia B",405,0,13,1,280,21.54,Dickinson,30,0,2,0,10,5.00,20
"
Plano West",355,3,10,6,240,18.46,Vandebilt Catholic B,60,0,2,0,40,20.00,20
"
Hoover A",325,2,9,5,230,20.91,Hoover C,75,0,4,1,40,10.00,20
"
Kiski",395,5,7,0,250,20.83,Tower Hill,195,4,3,5,130,18.57,20
"
Paideia A",395,7,6,2,240,18.46,Roeper,245,1,6,0,170,24.29,20
"
Howard Middle",195,2,7,7,130,14.44,Vandebilt Catholic A,95,1,4,0,40,8.00,20
"
Archmere",235,2,6,1,150,18.75,Paideia C,210,2,7,2,120,13.33,20
"
Crivitz A",180,0,9,2,100,11.11,Hoover B,165,1,7,2,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Kiski",600,7,11,1,390,21.67,Vandebilt Catholic B,15,0,1,1,10,10.00,20
"
Paideia A",575,5,13,2,380,21.11,Crivitz B,0,0,0,0,0,0.00,20
"
Lambert",460,8,7,2,280,18.67,Vandebilt Catholic A,60,0,4,0,20,5.00,20
"
Plano West",415,2,12,1,270,19.29,Crivitz A,60,0,4,0,20,5.00,20
"
Tower Hill",415,5,8,2,270,20.77,Hoover B,85,1,3,2,50,12.50,20
"
Hoover A",265,3,7,0,150,15.00,Paideia B,145,1,6,4,90,12.86,20
"
Archmere",250,0,12,2,140,11.67,Hoover C,135,0,6,1,80,13.33,20
"
Paideia C",220,1,9,3,130,13.00,Dickinson,110,0,6,0,50,8.33,20
"
Howard Middle",315,2,10,3,200,16.67,Roeper,210,1,6,1,140,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Roeper",595,6,11,1,400,23.53,Crivitz B,0,0,0,0,0,0.00,20
"
Paideia A",485,5,10,0,310,20.67,Vandebilt Catholic A,90,0,3,0,60,20.00,20
"
Lambert",490,7,7,1,320,22.86,Howard Middle,130,2,4,2,70,11.67,20
"
Tower Hill",480,8,7,4,310,20.67,Plano West,145,0,5,1,100,20.00,20
"
Kiski",415,4,11,1,250,16.67,Hoover B,85,2,2,3,50,12.50,20
