\nChenery,280,Middlesex B,150
\nDarien B,235,King School,170
\nStaples,330,Egmont,175
\nKellenberg A,220,Kings Park A,130
\nHunter A,205,Center for Global Studies,185
\nWoodland Regional,430,Kellenberg B,95
\nMiddlesex A,290,Hunter B,210
\nBronx Science,340,Darien A,155
\nBelmont,435,Kings Park B,135
\nDarien B,335,Middlesex B,70
\nChenery,350,Egmont,115
\nStaples,390,King School,60
\nKings Park A,145,Center for Global Studies,115
\nKellenberg A,305,Kellenberg B,-5
\nWoodland Regional,365,Hunter A,215
\nHunter B,215,Darien A,140
\nMiddlesex A,275,Kings Park B,120
\nBelmont,320,Bronx Science,160
\nStaples,255,Darien B,185
\nMiddlesex B,170,Egmont,80
\nChenery,325,King School,125
\nWoodland Regional,325,Center for Global Studies,150
\nKellenberg B,145,Kings Park A,120
\nHunter A,285,Kellenberg A,25
\nBelmont,480,Darien A,90
\nHunter B,265,Kings Park B,120
\nBronx Science,235,Middlesex A,175
\nEgmont,145,King School,130
\nStaples,365,Middlesex B,125
\nChenery,405,Darien B,165
\nHunter A,345,Kellenberg B,110
\nWoodland Regional,510,Kings Park A,75
\nKellenberg A,305,Center for Global Studies,130
\nBronx Science,340,Kings Park B,85
\nBelmont,535,Hunter B,30
\nMiddlesex A,365,Darien A,70
\nChenery,290,Staples,230
\nMiddlesex B,215,King School,125
\nDarien B,225,Egmont,105
\nWoodland Regional,365,Kellenberg A,120
\nHunter A,265,Kings Park A,125
\nCenter for Global Studies,250,Kellenberg B,40
\nBelmont,425,Middlesex A,155
\nBronx Science,140,Hunter B,125
\nDarien A,170,Kings Park B,165
\nStaples,320,Woodland Regional,230
\nChenery,250,Bronx Science 240,(OT)
\nBelmont,385,Hunter A,180
\nDarien B,255,Hunter B,155
\nKellenberg A,195,Middlesex B,175
\nMiddlesex A,350,Center for Global Studies,95
\nKings Park B,115,Egmont,110
\nKellenberg B,175,Kings Park A,150
\nDarien A,175,King School,150
\nStaples,295,Bronx Science,200
\nWoodland Regional,345,Hunter A,230
\nBelmont,335,Chenery,265
\nHunter B,165,Middlesex B,125
\nDarien B,235,Center for Global Studies,145
\nMiddlesex A,270,Kellenberg A,165
\nKings Park B,135,Kellenberg B,95
\nKing School,225,Egmont,65
\nDarien A,250,Kings Park A,110
\nBelmont,470,Bronx Science,200
\nStaples,465,Hunter A,90
\nWoodland Regional,370,Chenery,195
\nMiddlesex A,360,Middlesex B,105
\nHunter B,320,Center for Global Studies,215
\nDarien B,370,Kellenberg A,40
\nDarien A,225,Kellenberg B,110
\nKing School,380,Kings Park B,110
\nKings Park A,220,Egmont,105
\nChenery,410,Hunter A,145
\nBelmont,440,Staples,240
\nWoodland Regional,320,Bronx Science,275
\nKellenberg A,180,Center for Global Studies,115
\nMiddlesex A,210,Hunter B,190
\nDarien B,260,Middlesex B,175
\nKings Park A,185,King School,150
\nDarien A,210,Kings Park B,150
\nKellenberg B,125,Egmont 115,(OT)
\nBelmont,365,Woodland Regional,280
\nStaples,255,Chenery,240
\nBronx Science,315,Hunter A,115
\nMiddlesex A,260,Darien B,155
\nKellenberg A,180,Hunter B,100
\nMiddlesex B,165,Center for Global Studies,125
\nDarien A,195,Egmont,85
\nKings Park A,200,Kings Park B,105
\nKellenberg B,195,King School,95
