Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",650,11,5,1,440,27.50,Biotech A,65,1,1,0,40,20.00,20
"
John P. Stevens A",570,5,11,3,400,25.00,Biotech B,55,0,2,1,40,20.00,20
"
John P. Stevens B",515,1,14,2,370,24.67,Middlesex County Academy B,15,0,1,1,10,10.00,20
"
Ridgewood",485,5,9,0,320,22.86,East Brunswick,120,1,3,3,90,22.50,20
"
Ithaca A",430,1,12,3,310,23.85,John P. Stevens C,105,0,5,5,80,16.00,20
"
High Tech",295,0,13,1,170,13.08,Ithaca C,35,0,2,1,20,10.00,20
"
River Dell A",395,1,12,0,260,20.00,Woodbridge,140,0,6,0,80,13.33,20
"
Ithaca B",215,1,8,0,120,13.33,River Dell B,145,1,5,2,90,15.00,20
"
Middlesex County Academy A",265,3,7,2,160,16.00,Hunter B,230,2,6,0,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",695,13,5,0,450,25.00,Ithaca A,65,1,1,2,50,25.00,20
"
John P. Stevens A",535,10,7,1,320,18.82,Middlesex County Academy A,115,1,2,0,80,26.67,20
"
East Brunswick",425,2,13,1,270,18.00,Ithaca C,15,0,1,1,10,10.00,20
"
John P. Stevens C",405,1,13,0,260,18.57,Woodbridge,120,2,4,4,70,11.67,20
"
Hunter B",355,1,13,0,210,15.00,River Dell B,105,0,4,1,70,17.50,20
"
Ridgewood",415,6,6,1,270,22.50,John P. Stevens B,270,5,3,1,170,21.25,20
"
Biotech A",335,4,7,1,210,19.09,River Dell A,205,1,7,2,130,16.25,20
"
Ithaca B",260,2,9,0,140,12.73,Biotech B,130,0,6,2,80,13.33,20
"
High Tech",285,1,9,0,180,18.00,Middlesex County Academy B,260,2,7,0,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ridgewood",640,5,14,1,430,22.63,Middlesex County Academy B,20,1,0,1,10,10.00,20
"
John P. Stevens B",540,5,10,1,370,24.67,Ithaca C,55,0,3,1,30,10.00,20
"
John P. Stevens A",530,5,9,5,390,27.86,River Dell B,60,1,2,1,30,10.00,20
"
Hunter A",570,10,4,6,410,29.29,John P. Stevens C,165,0,6,1,110,18.33,20
"
Ithaca A",495,1,13,2,360,25.71,River Dell A,165,2,3,1,110,22.00,20
"
Middlesex County Academy A",360,1,13,1,220,15.71,Biotech B,55,0,4,1,20,5.00,20
"
East Brunswick",370,1,13,3,240,17.14,High Tech,95,0,4,1,60,15.00,20
"
Hunter B",275,3,7,6,190,19.00,Ithaca B,185,0,7,1,120,17.14,20
"
Woodbridge",285,2,9,1,170,15.45,Biotech A,205,1,7,2,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",680,12,5,2,460,27.06,Woodbridge,90,0,3,0,60,20.00,20
"
Ridgewood",615,5,12,0,420,24.71,High Tech,45,0,2,3,40,20.00,20
"
Middlesex County Academy B",410,0,16,0,250,15.62,Ithaca C,25,0,3,1,0,0.00,20
"
Middlesex County Academy A",445,2,14,1,280,17.50,Ithaca B,65,0,2,1,50,25.00,20
"
John P. Stevens A",470,7,7,3,310,22.14,Hunter B,105,1,4,2,60,12.00,20
"
Ithaca A",455,5,9,0,290,20.71,Biotech A,130,1,5,1,70,11.67,20
"
River Dell B",305,2,10,1,180,15.00,Biotech B,115,1,4,2,70,14.00,20
"
John P. Stevens B",325,3,8,0,200,18.18,East Brunswick,275,4,5,1,170,18.89,20
"
River Dell A (OT)",305,1,8,0,210,26.25,John P. Stevens C,295,3,8,4,190,17.27,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ridgewood",530,3,13,1,360,22.50,Ithaca C,75,2,2,1,30,7.50,20
"
John P. Stevens A",525,8,7,3,350,23.33,Ithaca B,115,1,4,0,60,12.00,20
"
Ithaca A",505,8,7,3,330,22.00,Woodbridge,110,0,4,0,70,17.50,20
"
John P. Stevens B",435,4,10,3,290,20.71,High Tech,140,0,5,2,100,20.00,20
"
Hunter A",445,11,2,6,290,22.31,River Dell A,180,0,5,0,130,26.00,20
"
Middlesex County Academy A",340,3,10,1,200,15.38,River Dell B,130,0,5,0,80,16.00,20
"
Hunter B",320,1,12,1,190,14.62,Biotech B,120,2,3,0,60,12.00,20
"
East Brunswick",350,5,7,1,210,17.50,Middlesex County Academy B,240,2,6,0,150,18.75,20
"
John P. Stevens C",290,3,7,5,200,20.00,Biotech A,240,0,9,0,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens A",590,12,5,2,370,21.76,Middlesex County Academy A,95,0,3,1,70,23.33,20
"
Woodbridge",405,1,13,2,270,19.29,Ithaca C,70,0,5,2,30,6.00,20
"
Middlesex County Academy B",255,2,13,1,100,6.67,Biotech B,30,0,2,2,20,10.00,20
"
Hunter A",460,10,2,6,320,26.67,John P. Stevens B,260,2,5,0,180,25.71,20
"
East Brunswick",325,2,10,3,210,17.50,High Tech,195,1,7,4,130,16.25,20
"
Ithaca A",380,6,6,4,250,20.83,Ridgewood,265,3,5,0,170,21.25,20
"
John P. Stevens C",300,2,9,2,190,17.27,Ithaca B,195,2,6,1,110,13.75,20
"
River Dell A",315,3,6,0,210,23.33,Hunter B,265,4,7,1,140,12.73,20
"
Biotech A",280,0,10,0,180,18.00,River Dell B,245,2,8,1,140,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",595,11,4,2,400,26.67,Ithaca A,115,1,3,2,80,20.00,20
"
John P. Stevens A",525,9,6,2,340,22.67,John P. Stevens B,140,1,4,3,100,20.00,20
"
Biotech A",395,1,13,0,250,17.86,Middlesex County Academy B,55,0,3,1,30,10.00,20
"
Ridgewood",440,3,10,1,300,23.08,Middlesex County Academy A,160,3,3,1,90,15.00,20
"
Hunter B",380,4,8,0,240,20.00,East Brunswick,130,2,4,4,80,13.33,20
"
Woodbridge",335,1,11,0,210,17.50,Biotech B,90,1,4,1,40,8.00,20
"
High Tech",280,0,11,0,170,15.45,Ithaca B,155,0,5,1,110,22.00,20
"
River Dell B",200,1,6,1,130,18.57,Ithaca C,100,0,6,2,50,8.33,20
"
River Dell A",325,2,7,5,250,27.78,John P. Stevens C,280,1,9,3,190,19.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",575,11,3,2,390,27.86,John P. Stevens A,155,3,2,2,100,20.00,20
"
Ithaca A",525,4,12,1,350,21.88,Middlesex County Academy A,135,1,3,0,90,22.50,20
"
Biotech A",340,1,13,1,200,14.29,Ithaca C,85,0,4,1,50,12.50,20
"
River Dell B",265,0,13,3,150,11.54,Biotech B,30,0,2,0,10,5.00,20
"
Hunter B",280,3,8,1,160,14.55,Ithaca B,145,1,6,2,80,11.43,20
"
Ridgewood",365,3,8,2,250,22.73,John P. Stevens B,255,4,5,3,160,17.78,20
"
East Brunswick",200,1,8,3,120,13.33,River Dell A,125,0,7,3,70,10.00,20
"
Woodbridge",245,3,5,2,160,20.00,Middlesex County Academy B,200,0,9,0,110,12.22,20
"
John P. Stevens C (OT)",280,4,7,6,180,18.00,High Tech,265,0,10,1,170,17.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
East Brunswick",410,1,14,1,260,17.33,John P. Stevens C,60,0,3,4,50,16.67,20
"
Hunter A",520,10,3,4,360,27.69,Middlesex County Academy A,185,3,3,0,110,18.33,20
"
Biotech A",400,1,13,1,260,18.57,Woodbridge,160,0,6,4,120,20.00,20
"
River Dell A",415,3,9,2,290,24.17,Ithaca B,235,0,8,1,160,20.00,20
"
River Dell B",290,2,9,0,170,15.45,Middlesex County Academy B,130,0,5,2,90,18.00,20
"
John P. Stevens A",390,8,4,4,250,20.83,Ridgewood,260,2,6,0,170,21.25,20
"
Hunter B",280,4,6,0,160,16.00,High Tech,245,1,9,0,140,14.00,20
"
Ithaca A",365,5,5,4,260,26.00,John P. Stevens B,345,3,7,2,240,24.00,20
"
Biotech B",80,0,4,0,40,10.00,Ithaca C,65,1,3,0,20,5.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Biotech A",425,1,15,2,270,16.88,Biotech B,45,0,2,1,30,15.00,20
"
Hunter A",510,12,0,4,350,29.17,Ridgewood,200,1,6,1,130,18.57,20
"
East Brunswick",405,2,13,3,260,17.33,Ithaca B,120,0,5,0,70,14.00,20
"
John P. Stevens B",450,1,12,1,320,24.62,Middlesex County Academy A,200,1,6,1,130,18.57,20
"
River Dell A",325,0,11,1,220,20.00,High Tech,155,0,8,3,90,11.25,20
"
Middlesex County Academy B",200,1,8,3,120,13.33,Ithaca C,115,0,7,1,50,7.14,20
"
Ithaca A",340,3,7,1,230,23.00,John P. Stevens A,290,3,6,7,220,24.44,20
"
Hunter B",305,2,9,1,190,17.27,John P. Stevens C,280,2,7,4,200,22.22,20
"
River Dell B",245,1,9,2,150,15.00,Woodbridge,230,0,8,0,150,18.75,20
