Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High A",585,9,7,0,380,23.75,"West Windsor-Plainsboro ""Phoenix"" B",80,3,0,3,50,16.67,20
"
Downingtown STEM A",480,7,7,1,310,22.14,John P. Stevens,170,3,2,3,120,24.00,20
"
Princeton High B",360,2,10,2,240,20.00,High Tech B,190,1,6,1,120,17.14,20
"
East Brunswick A",365,6,5,3,240,21.82,Biotech B,215,3,5,0,120,15.00,20
"
Middlesex County Academy",400,5,7,3,270,22.50,"West Windsor-Plainsboro ""Phoenix"" A",270,1,7,3,200,25.00,20
"
High Tech A",320,4,6,6,230,23.00,Watchung Hills,250,3,6,1,150,16.67,20
"
Stuyvesant",295,4,7,3,180,16.36,Downingtown STEM B,230,2,5,0,150,21.43,20
"
Biotech A",305,7,2,2,190,21.11,"""Mather""",280,6,3,2,170,18.89,20
"
Livingston",295,1,9,2,200,20.00,East Brunswick B,270,1,8,1,180,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Downingtown STEM A",405,8,3,3,270,24.55,Princeton High B,130,3,3,1,60,10.00,20
"
High Tech A",370,7,5,1,220,18.33,"West Windsor-Plainsboro ""Phoenix"" B",160,2,5,2,90,12.86,20
"
Livingston",350,3,8,1,230,20.91,High Tech B,150,3,3,1,80,13.33,20
"
John P. Stevens",285,4,6,1,170,17.00,East Brunswick B,155,2,4,3,100,16.67,20
"
East Brunswick A",385,5,6,0,250,22.73,Princeton High A,260,8,1,0,130,14.44,20
"
""Mather""",265,7,3,2,140,14.00,Downingtown STEM B,160,2,6,2,80,10.00,20
"
Biotech B",295,4,5,1,190,21.11,Watchung Hills,205,3,5,0,110,13.75,20
"
West Windsor-Plainsboro ""Phoenix"" A",305,7,4,0,160,14.55,Biotech A,275,6,2,1,170,21.25,20
"
Stuyvesant",300,5,4,1,190,21.11,Middlesex County Academy,280,6,3,0,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Downingtown STEM A",515,6,9,1,340,22.67,High Tech B,75,0,3,1,50,16.67,20
"
East Brunswick A",450,7,6,3,300,23.08,Watchung Hills,160,2,4,2,100,16.67,20
"
West Windsor-Plainsboro ""Phoenix"" A",365,4,7,1,240,21.82,Downingtown STEM B,160,2,5,4,100,14.29,20
"
Biotech B",330,5,6,1,200,18.18,"West Windsor-Plainsboro ""Phoenix"" B",215,0,8,3,150,18.75,20
"
Middlesex County Academy",355,5,6,2,230,20.91,Biotech A,245,6,2,1,140,17.50,20
"
Stuyvesant",350,3,8,1,230,20.91,"""Mather""",260,5,3,1,160,20.00,20
"
Princeton High A",375,7,4,2,240,21.82,High Tech A,285,4,4,1,190,23.75,20
"
Livingston",280,4,5,0,170,18.89,John P. Stevens,220,2,6,2,140,17.50,20
"
East Brunswick B",305,1,10,2,200,18.18,Princeton High B,245,2,6,3,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Downingtown STEM A",470,8,6,2,300,21.43,East Brunswick B,140,3,1,1,90,22.50,20
"
John P. Stevens",455,4,10,1,300,21.43,High Tech B,140,0,5,2,100,20.00,20
"
Princeton High A",465,4,9,1,320,24.62,Biotech B,170,3,2,1,110,22.00,20
"
Livingston",450,6,7,0,290,22.31,Princeton High B,215,5,1,2,140,23.33,20
"
Biotech A",340,4,7,2,220,20.00,Downingtown STEM B,155,2,4,1,90,15.00,20
"
West Windsor-Plainsboro ""Phoenix"" A",380,4,7,2,260,23.64,Stuyvesant,200,2,5,2,130,18.57,20
"
East Brunswick A",420,6,5,4,300,27.27,High Tech A,245,1,7,2,170,21.25,20
"
Middlesex County Academy",385,6,5,1,250,22.73,"""Mather""",260,7,1,1,150,18.75,20
"
West Windsor-Plainsboro ""Phoenix"" B",290,3,7,1,180,18.00,Watchung Hills,235,4,4,1,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
East Brunswick A",695,11,7,0,460,25.56,"West Windsor-Plainsboro ""Phoenix"" B",45,0,2,3,40,20.00,20
"
High Tech B",420,4,9,0,270,20.77,East Brunswick B,110,2,3,4,70,14.00,20
"
Princeton High A",385,5,7,2,250,20.83,Watchung Hills,170,2,4,2,110,18.33,20
"
High Tech A",370,2,10,2,250,20.83,Biotech B,170,4,3,4,100,14.29,20
"
Middlesex County Academy",360,5,6,3,240,21.82,Downingtown STEM B,165,3,3,2,100,16.67,20
"
Downingtown STEM A",400,8,3,2,260,23.64,Livingston,255,5,3,0,150,18.75,20
"
West Windsor-Plainsboro ""Phoenix"" A",385,4,8,1,250,20.83,"""Mather""",245,5,2,2,160,22.86,20
"
John P. Stevens",320,6,5,0,180,16.36,Princeton High B,180,0,6,0,120,20.00,20
"
Biotech A",295,5,4,2,190,21.11,Stuyvesant,290,4,5,2,190,21.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens",550,10,5,0,350,23.33,Stuyvesant,165,3,2,0,100,20.00,20
"
East Brunswick A",560,7,8,1,380,25.33,"West Windsor-Plainsboro ""Phoenix"" A",190,4,1,0,120,24.00,20
"
Princeton High A",510,12,2,2,320,22.86,Livingston,185,4,2,1,110,18.33,20
"
West Windsor-Plainsboro ""Phoenix"" B",330,4,9,2,190,14.62,East Brunswick B,115,1,4,4,80,16.00,20
"
Princeton High B",385,9,4,0,210,16.15,Biotech B,225,2,5,1,150,21.43,20
"
Downingtown STEM A",415,7,5,0,260,21.67,Middlesex County Academy,275,7,1,0,160,20.00,20
"
""Mather""",340,9,2,1,190,17.27,High Tech B,255,3,5,0,160,20.00,20
"
High Tech A",315,5,5,2,200,20.00,Biotech A,265,4,5,1,160,17.78,20
"
Watchung Hills",230,2,7,2,140,15.56,Downingtown STEM B,195,3,6,4,110,12.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",445,6,8,1,280,20.00,Stuyvesant,135,1,4,2,90,18.00,20
"
East Brunswick A",465,6,8,1,300,21.43,Middlesex County Academy,200,4,2,0,120,20.00,20
"
Princeton High A",410,5,7,1,270,22.50,"West Windsor-Plainsboro ""Phoenix"" A",195,2,4,1,130,21.67,20
"
John P. Stevens",350,6,5,4,230,20.91,Biotech B,185,1,5,0,120,20.00,20
"
Livingston",310,3,7,1,200,20.00,Downingtown STEM A,260,1,7,3,190,23.75,20
