\nMiddlesex County Academy,500,Ithaca C,200
\nBagel Guillotine Club A,695,St. Joseph,50
\nWissahickon,520,High Tech B,90
\nIthaca A,475,Lenape Valley,90
\nEdison A,310,Downingtown Stem B,200
\nIthaca B,215,High Tech D,210
\nPrinceton International A,340,Hightstown B,115
\nEdison B,160,Bagel Guillotine Club C,145
\nBagel Guillotine Club B,315,Hightstown A,295
\nDowningtown Stem A,490,Wilmington Charter A,210
\nMather,320,High Tech A,315
\nHigh Tech C,270,WW-P Phoenix B,205
\nWW-P Phoenix A,380,Ranney,190
\nWallenpaupack,345,Wilmington Charter B,135
\nHigh Tech E,250,Jonathan Dayton,85
\nEdison A,270,Hightstown B,85
\nBagel Guillotine Club B,495,Immaculata,50
\nHightstown A,450,High Tech C,135
\nIthaca C,300,High Tech A,245
\nRanney,305,Jonathan Dayton,140
\nBagel Guillotine Club A,615,Princeton International A,55
\nIthaca A,420,Bagel Guillotine Club C,140
\nWW-P Phoenix A,460,High Tech B,180
\n1066 A,280,Wallenpaupack,265
\nWilmington Charter B,295,Ithaca B,170
\nSt. Joseph,445,Downingtown Stem B,90
\nDowningtown Stem A,370,Lenape Valley,135
\nWissahickon,595,High Tech E,50
\nJohn P. Stevens,300,High Tech D,245
\nMiddlesex County Academy,310,1066 B,270
\nWilmington Charter A,450,Edison B,75
\nWW-P Phoenix B,265,Immaculata,130
\nBagel Guillotine Club B,460,High Tech C,215
\nWW-P Phoenix A,515,Jonathan Dayton,60
\n1066 B,340,Ithaca C,195
\nDowningtown Stem A,470,Edison B,120
\nIthaca A,380,Wilmington Charter A,360
\nDowningtown Stem B,315,Princeton International A,120
\n1066 A,540,High Tech D,95
\nEdison A,430,St. Joseph,150
\nJohn P. Stevens,500,Wilmington Charter B,145
\nLenape Valley,395,Bagel Guillotine Club C,85
\nBagel Guillotine Club A,545,Hightstown B,55
\nWissahickon,440,Ranney,275
\nWallenpaupack,465,Ithaca B,105
\nHigh Tech B,320,High Tech E,195
\nMiddlesex County Academy,425,Mather,215
\nIthaca A,380,Edison B,75
\nDowningtown Stem B,230,Hightstown B,115
\nBagel Guillotine Club A,505,Edison A,70
\nSt. Joseph,340,Princeton International A,120
\n1066 A,440,Ithaca B,50
\nJohn P. Stevens,285,Wallenpaupack,170
\nMather,345,Ithaca C,160
\nHigh Tech D,205,Wilmington Charter B,130
\nWilmington Charter A,465,Lenape Valley,75
\nDowningtown Stem A,490,Bagel Guillotine Club C,55
\nHightstown A,330,Immaculata,210
\nBagel Guillotine Club B,450,WW-P Phoenix B,-5
\nHigh Tech B,375,Jonathan Dayton,105
\nWW-P Phoenix A,360,Wissahickon,220
\nRanney,430,High Tech E,80
\nHigh Tech A,430,1066 B,150
\nImmaculata,290,High Tech C,180
\n1066 A,345,Wilmington Charter B,165
\nHightstown A,400,WW-P Phoenix B,130
\nWW-P Phoenix A,275,High Tech E,25
\nHigh Tech B,320,Ranney,110
\nLenape Valley,365,Edison B,70
\nJohn P. Stevens,350,Ithaca B,100
\nMiddlesex County Academy,310,High Tech A,235
\nBagel Guillotine Club A,495,Downingtown Stem B,105
\nEdison A,240,Princeton International A,85
\nWilmington Charter A,460,Bagel Guillotine Club C,60
\nSt. Joseph,435,Hightstown B,35
\nIthaca A,490,Downingtown Stem A,260
\nWallenpaupack,310,High Tech D,125
\nMather,320,1066 B,120
\nWissahickon,495,Jonathan Dayton,95
\nWallenpaupack,145,Downingtown Stem B,40
\nDowningtown Stem A,585,Hightstown A,105
\nWilmington Charter A,445,Immaculata,135
\nMiddlesex County Academy,390,Mather,235
\nBagel Guillotine Club A,610,Wissahickon,130
\nIthaca A,415,1066 A,280
\n1066 B,295,Ithaca C,205
\nHigh Tech B,255,Lenape Valley,245
\nSt. Joseph,300,High Tech C,155
\nWW-P Phoenix B,235,Edison B,135
\nPrinceton International A,305,Hightstown B,115
\nHigh Tech A,385,Ranney,125
\nBagel Guillotine Club B,370,Edison A,230
\nWW-P Phoenix A,415,John P. Stevens,225
\nWilmington Charter B,355,Jonathan Dayton,155
\nHigh Tech D,390,Bagel Guillotine Club C,115
\nBagel Guillotine Club A,435,Ithaca A,325
\nMather,340,1066 A,290
\nHigh Tech B,305,Downingtown Stem B,160
\nWW-P Phoenix A,375,Hightstown A,230
\nSt. Joseph,280,1066 B,230
\nWissahickon,480,Middlesex County Academy,225
\nJohn P. Stevens,330,Edison A,165
\nWallenpaupack,300,Ranney,245
\nIthaca C,260,Immaculata,245
\nWilmington Charter A,555,High Tech C,45
\nHigh Tech A,430,Lenape Valley,100
\nBagel Guillotine Club B,395,Downingtown Stem A,325
\nWilmington Charter B,315,WW-P Phoenix B,135
\nIthaca B,185,Jonathan Dayton,140
\nHigh Tech D,300,Princeton International A,170
\nHigh Tech E,295,Bagel Guillotine Club C,70
\nWissahickon,320,1066 A,250
\nBagel Guillotine Club A,435,Middlesex County Academy,235
\nIthaca A,385,Mather,200
\nWW-P Phoenix A,415,Edison A,205
