Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Carbondale",465,5,12,250,14.71,20,100.0%,Flora A,30,0,1,10,10.00,10
"
Johnston City",325,1,10,170,15.45,40,36.4%,Effingham St. Anthony,130,2,3,40,8.00,30
"
Fairfield",245,1,9,130,13.00,10,25.0%,Flora B,70,0,2,20,10.00,30
"
Carterville",230,0,7,120,17.14,40,26.7%,Robinson,150,0,7,60,8.57,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Johnston City",400,2,12,230,16.43,20,40.0%,Flora A,50,0,2,10,5.00,20
"
Carbondale",375,5,6,210,19.09,30,23.1%,Effingham St. Anthony,190,4,3,80,11.43,20
"
Robinson",240,0,8,100,12.50,60,60.0%,Flora B,185,1,6,110,15.71,0
"
Carterville",230,2,6,90,11.25,50,38.5%,Fairfield,220,0,8,110,13.75,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Carbondale",390,2,8,180,18.00,100,62.5%,Robinson,160,4,3,50,7.14,20
"
Effingham St. Anthony",310,2,11,160,12.31,10,14.3%,Carterville,105,1,3,50,12.50,10
"
Fairfield",220,2,9,100,9.09,0,0.0%,Flora A,30,0,1,0,0.00,20
"
Johnston City",300,2,9,150,13.64,30,37.5%,Flora B,155,1,4,70,14.00,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Carbondale",515,5,12,320,18.82,0,0.0%,Johnston City,125,1,2,90,30.00,0
"
Carterville",280,0,9,140,15.56,50,35.7%,Flora B,110,0,6,40,6.67,10
"
Effingham St. Anthony",260,0,11,130,11.82,20,13.3%,Flora A,100,0,6,30,5.00,10
"
Fairfield",265,1,11,130,10.83,10,11.1%,Robinson,120,0,4,30,7.50,50
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Carbondale",475,7,8,280,18.67,10,33.3%,Fairfield,90,0,2,30,15.00,40
"
Johnston City",275,1,9,120,12.00,50,35.7%,Carterville,200,0,8,100,12.50,20
"
Flora A",125,1,6,30,4.29,20,20.0%,Flora B,80,0,4,20,5.00,20
"
Robinson",175,1,6,90,12.86,10,7.7%,Effingham St. Anthony,160,0,7,80,11.43,10
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Carbondale",410,2,12,250,17.86,10,16.7%,Flora B,80,0,3,30,10.00,20
"
Carterville",275,1,11,140,11.67,10,14.3%,Flora A,50,0,3,20,6.67,0
"
Effingham St. Anthony",200,0,6,90,15.00,50,29.4%,Fairfield,135,1,6,40,5.71,20
"
Johnston City",210,0,8,110,13.75,20,16.7%,Robinson,170,0,7,90,12.86,10
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Carbondale",410,2,11,250,19.23,20,22.2%,Carterville,150,0,5,60,12.00,40
"
Johnston City",270,0,12,140,11.67,10,11.1%,Fairfield,100,0,4,30,7.50,30
"
Robinson",200,0,10,100,10.00,0,0.0%,Flora A,50,0,2,20,10.00,10
"
Flora B",180,0,8,90,11.25,10,7.7%,Effingham St. Anthony,100,0,5,20,4.00,30
