Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High A",475,4,12,3,310,19.38,Seton Hall Prep A,30,1,1,1,10,5.00,20
"
West Windsor-Plainsboro North",460,3,13,3,300,18.75,Livingston C,75,0,3,1,50,16.67,20
"
Mountain Lakes A",440,5,9,1,280,20.00,Immaculata,75,1,3,0,30,7.50,20
"
West Essex A",355,1,14,2,210,14.00,Livingston F,0,0,0,0,0,0.00,20
"
Middlesex County Academy A",400,2,15,0,220,12.94,Pingry,65,0,3,1,40,13.33,20
"
Livingston A",405,5,8,4,270,20.77,Princeton International,85,1,3,0,40,10.00,20
"
Ridgewood",355,0,14,1,220,15.71,Northern Valley Demarest B,40,1,1,1,20,10.00,20
"
Livingston D",400,2,11,2,270,20.77,West Essex B,120,1,5,1,60,10.00,20
"
Edison A",345,3,10,2,210,16.15,Seton Hall Prep B,75,2,1,1,40,13.33,20
"
Princeton High B",400,6,7,2,250,19.23,Livingston E,170,0,6,0,110,18.33,20
"
Bloomfield",265,0,12,1,150,12.50,Jonathan Dayton,55,0,4,3,30,7.50,20
"
Millburn",310,1,11,3,200,16.67,Morristown-Beard,130,0,6,2,80,13.33,20
"
Mountain Lakes B",235,2,4,1,170,28.33,Watchung Hills B,65,0,6,1,10,1.67,20
"
Bronx Science",290,3,8,1,170,15.45,Middlesex County Academy B,190,3,3,1,120,20.00,20
"
St. Joseph",250,2,8,0,140,14.00,St. Peter's Prep,165,0,8,5,110,13.75,20
"
Hastings A",265,3,7,2,160,16.00,East Brunswick B,195,1,7,0,110,13.75,20
"
Montgomery",200,2,6,6,140,17.50,Watchung Hills A,145,1,5,0,80,13.33,20
"
Northern Valley Demarest A",210,0,10,0,110,11.00,King School Stamford,160,0,8,4,100,12.50,20
"
Holmdel",260,2,8,0,150,15.00,Livingston B,210,2,6,4,140,17.50,20
"
East Brunswick A",140,0,9,2,60,6.67,Hastings B,115,1,4,0,60,12.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mountain Lakes A",465,0,18,1,290,16.11,Northern Valley Demarest B,5,0,1,1,0,0.00,20
"
Choate",445,4,11,1,280,18.67,Livingston F,10,0,1,0,0,0.00,20
"
Wilmington Charter",420,6,9,0,240,16.00,Edison A,75,0,4,3,50,12.50,20
"
Bronx Science",430,5,11,1,250,15.62,Mountain Lakes B,85,1,2,0,50,16.67,20
"
Livingston A",410,4,9,2,270,20.77,Morristown-Beard,70,0,3,0,40,13.33,20
"
Princeton High B",370,4,10,2,220,15.71,Seton Hall Prep B,50,1,2,1,20,6.67,20
"
Edison B",350,3,11,3,210,15.00,Princeton International,60,0,3,2,40,13.33,20
"
Livingston C",240,0,13,2,120,9.23,East Brunswick C,-25,0,1,7,0,0.00,20
"
Livingston D",315,0,12,1,200,16.67,Watchung Hills A,70,0,4,0,30,7.50,20
"
Middlesex County Academy A",290,4,9,0,140,10.77,East Brunswick A,85,0,6,1,30,5.00,20
"
Bloomfield",245,0,12,1,130,10.83,Watchung Hills B,65,0,4,1,30,7.50,20
"
West Windsor-Plainsboro North",330,3,8,1,210,19.09,Princeton High A,175,2,4,3,120,20.00,20
"
Hastings A",255,0,12,3,150,12.50,Montgomery,105,0,7,5,60,8.57,20
"
West Essex A",265,2,8,1,160,16.00,King School Stamford,140,1,5,1,80,13.33,20
"
Immaculata",225,2,9,1,110,10.00,Holmdel,130,0,7,2,70,10.00,20
"
Middlesex County Academy B",185,0,8,3,120,15.00,Jonathan Dayton,90,0,6,0,30,5.00,20
"
St. Peter's Prep",190,1,9,1,90,9.00,Pingry,105,0,6,1,50,8.33,20
"
St. Joseph",155,1,8,4,80,8.89,Hastings B,110,0,5,0,60,12.00,20
"
Livingston B",205,2,6,1,120,15.00,Ridgewood,170,3,5,3,90,11.25,20
"
East Brunswick B",115,0,8,5,60,7.50,West Essex B,100,0,6,2,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Choate",475,7,8,0,290,19.33,King School Stamford,105,0,4,1,70,17.50,20
"
Princeton High A",405,7,7,4,250,17.86,East Brunswick C,65,0,3,1,40,13.33,20
"
West Essex A",385,5,8,2,240,18.46,Northern Valley Demarest A,50,0,3,4,40,13.33,20
"
Bronx Science",360,4,9,2,220,16.92,Jonathan Dayton,55,1,2,0,20,6.67,20
"
West Windsor-Plainsboro North",335,4,9,3,200,15.38,Seton Hall Prep A,40,0,3,2,20,6.67,20
"
Middlesex County Academy B",315,4,9,3,180,13.85,Watchung Hills B,20,0,2,0,0,0.00,20
"
Middlesex County Academy A",365,2,10,3,250,20.83,Hastings B,80,0,5,0,30,6.00,20
"
Livingston A",480,8,5,2,320,24.62,Edison B,200,3,4,1,120,17.14,20
"
Wilmington Charter",330,3,9,1,200,16.67,Seton Hall Prep B,55,1,3,2,20,5.00,20
"
Livingston B",310,1,10,3,210,19.09,Immaculata,100,1,3,1,60,15.00,20
"
Mountain Lakes A",340,3,8,3,230,20.91,Ridgewood,170,4,3,0,80,11.43,20
"
Edison A",275,2,8,3,180,18.00,Livingston E,125,2,4,1,60,10.00,20
"
Holmdel",230,1,9,1,130,13.00,Northern Valley Demarest B,125,0,7,1,60,8.57,20
"
East Brunswick B",175,0,9,5,110,12.22,Montgomery,105,0,6,1,50,8.33,20
"
Mountain Lakes B",155,1,6,0,80,11.43,Bloomfield,90,0,6,2,40,6.67,20
"
St. Peter's Prep",190,1,8,3,110,12.22,East Brunswick A,130,0,6,0,70,11.67,20
"
Watchung Hills A",140,1,6,1,70,10.00,West Essex B,85,0,6,1,30,5.00,20
"
St. Joseph",175,0,8,1,100,12.50,Pingry,130,2,7,0,30,3.33,20
"
Hastings A",210,0,9,4,140,15.56,Livingston D,175,2,6,1,90,11.25,20
"
Millburn",155,2,6,5,90,11.25,Princeton International,145,1,5,0,80,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilmington Charter",535,9,9,0,310,17.22,Livingston E,35,1,1,2,20,10.00,20
"
West Windsor-Plainsboro North",450,7,8,1,270,18.00,East Brunswick C,40,0,2,0,20,10.00,20
"
Middlesex County Academy A",390,1,15,1,230,14.38,St. Joseph,35,0,2,1,20,10.00,20
"
Edison B",380,6,8,2,220,15.71,Millburn,70,1,4,3,30,6.00,20
"
Montgomery",330,2,11,2,200,15.38,West Essex B,30,0,2,0,10,5.00,20
"
Livingston C",350,2,14,2,190,11.88,Seton Hall Prep A,50,0,2,0,30,15.00,20
"
Hastings A",345,4,11,3,190,12.67,Watchung Hills A,60,0,3,0,30,10.00,20
"
Northern Valley Demarest A",300,3,9,1,170,14.17,Livingston F,45,0,3,3,30,10.00,20
"
Ridgewood",280,1,11,3,170,14.17,Holmdel,90,1,4,1,40,8.00,20
"
Livingston D",250,0,11,0,140,12.73,East Brunswick B,75,1,4,2,30,6.00,20
"
Bronx Science",305,4,5,3,210,23.33,Bloomfield,145,0,8,1,70,8.75,20
"
Choate",315,6,3,1,200,22.22,West Essex A,165,3,5,2,80,10.00,20
"
Princeton International",175,0,10,3,90,9.00,Morristown-Beard,65,0,5,1,20,4.00,20
"
Hastings B",130,1,6,1,60,8.57,St. Peter's Prep,45,0,5,3,10,2.00,20
"
Immaculata",185,0,11,1,80,7.27,Northern Valley Demarest B,100,0,5,2,60,12.00,20
"
Middlesex County Academy B",165,2,6,1,80,10.00,Mountain Lakes B,90,0,5,0,40,8.00,20
"
Watchung Hills B",110,0,7,0,40,5.71,Jonathan Dayton,35,0,3,3,20,6.67,20
"
Edison A",250,2,9,2,140,12.73,Princeton High B,195,4,3,5,130,18.57,20
"
East Brunswick A",180,2,6,0,90,11.25,Pingry,145,1,7,0,60,7.50,20
"
Mountain Lakes A",200,2,10,4,90,7.50,Livingston B,185,3,4,4,120,17.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",530,5,11,1,350,21.88,Millburn,105,3,1,4,70,17.50,20
"
Mountain Lakes A",470,4,11,0,300,20.00,Holmdel,45,0,3,1,20,6.67,20
"
Bronx Science",440,4,10,2,290,20.71,Watchung Hills B,25,1,0,0,10,10.00,20
"
Middlesex County Academy A",475,1,16,0,300,17.65,St. Peter's Prep,80,1,2,3,60,20.00,20
"
Choate",510,9,7,1,310,19.38,Northern Valley Demarest A,120,1,3,3,90,22.50,20
"
King School Stamford",375,3,13,0,200,12.50,Livingston F,10,1,0,1,0,0.00,20
"
Livingston B",370,3,11,5,240,17.14,Northern Valley Demarest B,50,0,3,0,20,6.67,20
"
Princeton High A",400,3,10,3,270,20.77,Livingston C,95,3,1,2,50,12.50,20
"
Edison B",355,2,11,1,220,16.92,Morristown-Beard,70,0,3,0,40,13.33,20
"
Hastings A",340,1,11,3,230,19.17,West Essex B,65,0,4,1,30,7.50,20
"
Hastings B",250,1,10,1,140,12.73,Pingry,60,0,4,2,30,7.50,20
"
St. Joseph",265,1,9,0,160,16.00,East Brunswick A,160,1,5,3,110,18.33,20
"
East Brunswick B",165,1,7,6,110,13.75,Watchung Hills A,80,0,3,0,50,16.67,20
"
Mountain Lakes B",175,0,10,1,80,8.00,Jonathan Dayton,90,1,2,1,60,20.00,20
"
Ridgewood",220,2,8,2,120,12.00,Immaculata,155,0,6,1,100,16.67,20
"
Seton Hall Prep A",150,1,6,5,100,14.29,East Brunswick C,85,1,4,0,30,6.00,20
"
Livingston D",195,0,8,1,120,15.00,Montgomery,145,1,6,2,80,11.43,20
"
Livingston E",165,0,8,3,100,12.50,Seton Hall Prep B,125,1,6,4,70,10.00,20
"
Bloomfield",215,0,8,3,150,18.75,Middlesex County Academy B,190,2,6,2,110,13.75,20
"
Wilmington Charter",290,2,6,0,200,25.00,Princeton High B,270,4,5,2,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",555,10,6,1,350,21.88,Hastings A,120,2,2,0,70,17.50,20
"
Princeton High B",400,5,7,1,260,21.67,East Brunswick B,130,3,3,3,70,11.67,20
"
Livingston B",360,3,11,1,210,15.00,Middlesex County Academy B,120,3,2,1,60,12.00,20
"
Livingston C",270,2,11,0,130,10.00,Bloomfield,55,0,4,3,30,7.50,20
"
Millburn",330,5,7,3,200,16.67,Northern Valley Demarest A,120,0,7,0,50,7.14,20
"
Mountain Lakes A",385,4,8,1,250,20.83,Bronx Science,185,4,3,1,100,14.29,20
"
East Brunswick C",245,1,10,2,140,12.73,Watchung Hills B,45,0,4,1,10,2.50,20
"
Edison A",345,9,3,4,200,16.67,Livingston D,180,3,3,1,110,18.33,20
"
Princeton High A",315,4,6,3,210,21.00,St. Joseph,165,2,5,1,90,12.86,20
"
Princeton International",275,3,7,0,160,16.00,King School Stamford,140,1,6,3,80,11.43,20
"
Seton Hall Prep B",240,2,9,0,120,10.91,Watchung Hills A,110,1,6,1,40,5.71,20
"
Holmdel",265,2,10,1,140,11.67,Hastings B,145,1,5,0,80,13.33,20
"
St. Peter's Prep",245,2,8,1,140,14.00,Immaculata,130,0,6,0,70,11.67,20
"
Ridgewood",280,6,5,2,150,13.64,East Brunswick A,170,2,6,0,80,10.00,20
"
Jonathan Dayton",180,0,11,0,70,6.36,West Essex B,70,1,2,1,40,13.33,20
"
Pingry",210,0,11,0,100,9.09,Northern Valley Demarest B,110,2,4,4,60,10.00,20
"
Montgomery",230,2,9,0,110,10.00,Livingston E,145,1,6,2,80,11.43,20
"
Choate",345,6,4,1,220,22.00,Middlesex County Academy A,270,6,4,4,160,16.00,20
"
Morristown-Beard",165,1,9,0,60,6.00,Livingston F,115,0,6,1,60,10.00,20
"
West Windsor-Plainsboro North",310,6,4,0,180,18.00,Wilmington Charter,270,6,3,2,160,17.78,20
"
Edison B",280,5,5,3,170,17.00,West Essex A,270,3,7,1,160,16.00,20
"
Seton Hall Prep A",175,1,7,2,100,12.50,Mountain Lakes B,165,1,6,2,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",495,5,9,2,340,24.29,St. Joseph,60,0,4,0,20,5.00,20
"
Choate",425,7,6,2,270,20.77,Middlesex County Academy B,95,1,3,2,60,15.00,20
"
Wilmington Charter",390,5,9,1,230,16.43,Edison A,125,2,3,1,70,14.00,20
"
Princeton High B",365,4,9,1,220,16.92,Ridgewood,100,1,4,1,50,10.00,20
"
Edison B",370,2,10,2,250,20.83,Mountain Lakes A,135,1,3,2,100,25.00,20
"
Princeton High A",380,6,4,2,260,26.00,Hastings A,145,2,4,1,80,13.33,20
"
St. Peter's Prep",235,1,9,2,140,14.00,Livingston F,40,0,3,0,10,3.33,20
"
West Essex B",225,0,10,1,130,13.00,Pingry,45,0,2,1,30,15.00,20
"
Bronx Science",310,4,6,0,190,19.00,West Essex A,150,1,6,1,80,11.43,20
"
Millburn",225,4,6,5,130,13.00,East Brunswick B,85,0,4,1,50,12.50,20
"
Holmdel",275,1,10,0,160,14.55,Princeton International,155,1,6,2,90,12.86,20
"
West Windsor-Plainsboro North",305,4,7,5,200,18.18,Livingston D,220,1,8,1,130,14.44,20
"
Mountain Lakes B",170,2,6,0,80,10.00,Livingston E,95,1,4,0,40,8.00,20
"
East Brunswick C",135,1,6,0,60,8.57,Jonathan Dayton,70,2,3,2,20,4.00,20
"
King School Stamford",155,2,6,5,90,11.25,Livingston C,100,1,4,1,50,10.00,20
"
Seton Hall Prep B",110,0,6,4,70,11.67,Watchung Hills B,55,1,2,0,20,6.67,20
"
Seton Hall Prep A",130,0,6,2,80,13.33,Morristown-Beard,105,0,6,3,60,10.00,20
"
Northern Valley Demarest A",190,0,9,2,110,12.22,East Brunswick A,170,2,6,2,90,11.25,20
"
Bloomfield (OT)",140,0,9,0,50,6.25,Hastings B,130,1,7,1,50,6.25,21
"
Middlesex County Academy A",235,2,7,1,140,15.56,Livingston B,230,2,7,2,140,15.56,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Middlesex County Academy A",460,7,9,1,270,16.88,Middlesex County Academy B,50,0,3,2,30,10.00,20
"
Edison B",475,10,5,1,280,18.67,Bronx Science,80,1,3,1,40,10.00,20
"
Princeton High B",430,6,9,0,250,16.67,Northern Valley Demarest A,50,0,4,0,10,2.50,20
"
Wilmington Charter",405,7,7,2,240,17.14,Livingston D,115,2,4,1,50,8.33,20
"
Pingry",250,0,13,0,120,9.23,Jonathan Dayton,-5,0,1,3,0,0.00,20
"
Hastings A",320,7,6,3,170,13.08,St. Joseph,110,0,5,0,60,12.00,20
"
Ridgewood",320,7,6,1,160,12.31,East Brunswick B,110,0,6,2,60,10.00,20
"
Choate",335,6,6,3,200,16.67,Livingston B,155,5,2,0,60,8.57,20
"
King School Stamford",250,1,11,1,130,10.83,Hastings B,75,1,3,2,40,10.00,20
"
West Windsor-Plainsboro North",380,7,5,1,230,19.17,Edison A,210,3,5,1,120,15.00,20
"
St. Peter's Prep",185,0,12,3,80,6.67,Morristown-Beard,60,0,4,0,20,5.00,20
"
Livingston C",225,2,7,1,130,14.44,Princeton International,130,1,6,1,60,8.57,20
