Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Staunton A",305,1,10,180,16.36,10,16.7%,Greenville A,75,1,2,30,10.00,10
"
Granite City A",325,1,12,170,13.08,20,20.0%,Villa Duchesne,140,0,5,50,10.00,40
"
Riverton A",320,2,9,160,14.55,40,33.3%,Springfield B,170,2,5,90,12.86,0
"
Riverton B",200,0,8,90,11.25,30,17.6%,Granite City B,70,0,6,10,1.67,0
"
Althoff Catholic",310,0,9,170,18.89,50,41.7%,Carlinville,255,1,8,150,16.67,10
"
Staunton B",150,0,5,50,10.00,50,29.4%,Greenville B,110,0,7,40,5.71,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Springfield A",545,3,14,330,19.41,30,100.0%,Riverton B,30,0,1,0,0.00,20
"
Staunton A",235,1,8,110,12.22,30,75.0%,Granite City B,50,0,2,20,10.00,10
"
Althoff Catholic",355,1,10,170,15.45,70,53.8%,Greenville A,180,2,5,80,11.43,20
"
Alton",210,0,10,90,9.00,20,28.6%,Greenville B,50,0,3,20,6.67,0
"
Springfield B",260,4,7,120,10.91,10,10.0%,Staunton B,120,0,5,50,10.00,20
"
Riverton A",315,1,10,190,17.27,10,7.7%,Villa Duchesne,205,3,5,110,13.75,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Springfield A",525,5,11,320,20.00,20,100.0%,Granite City B,60,0,2,40,20.00,0
"
Riverton A",355,1,14,190,12.67,10,33.3%,Greenville B,20,0,1,0,0.00,10
"
Alton",305,3,10,150,11.54,10,33.3%,Staunton B,10,0,1,0,0.00,0
"
Granite City A",330,2,9,180,16.36,30,33.3%,Springfield B,130,2,3,60,12.00,10
"
Staunton A",285,3,7,130,13.00,40,36.4%,Carlinville,175,1,5,70,11.67,40
"
Riverton B",140,0,6,70,11.67,10,8.3%,Greenville A,120,0,6,60,10.00,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Springfield A",530,6,9,320,21.33,30,60.0%,Greenville A,40,0,2,10,5.00,10
"
Carlinville",375,1,15,200,12.50,10,50.0%,Granite City B,70,0,1,10,10.00,50
"
Granite City A",335,1,10,170,15.45,50,50.0%,Staunton B,115,1,4,50,10.00,10
"
Althoff Catholic",275,3,10,120,9.23,10,16.7%,Riverton B,105,1,2,30,10.00,40
"
Riverton A",260,2,10,100,8.33,30,33.3%,Alton,150,0,5,60,12.00,40
"
Villa Duchesne",170,0,8,80,10.00,10,12.5%,Greenville B,100,0,4,40,10.00,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Springfield A",500,6,8,310,22.14,20,40.0%,Staunton A,120,0,4,70,17.50,10
"
Granite City A",320,2,11,180,13.85,0,0.0%,Greenville B,30,0,1,0,0.00,20
"
Althoff Catholic",325,1,12,170,13.08,20,28.6%,Granite City B,70,0,3,20,6.67,20
"
Carlinville",285,1,9,150,15.00,30,50.0%,Riverton B,30,0,2,0,0.00,10
"
Villa Duchesne",245,1,9,110,11.00,30,42.9%,Staunton B,80,0,3,20,6.67,30
"
Alton",250,0,10,140,14.00,10,7.7%,Springfield B,135,1,5,50,8.33,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Springfield A",460,10,4,270,19.29,0,0.0%,Althoff Catholic,230,0,6,160,26.67,10
"
Springfield B",300,2,9,160,14.55,20,22.2%,Greenville B,90,0,4,30,7.50,20
"
Alton",320,0,14,160,11.43,20,25.0%,Villa Duchesne,110,0,4,40,10.00,30
"
Staunton A",245,1,9,120,12.00,20,20.0%,Riverton B,60,0,4,20,5.00,0
"
Carlinville",300,2,8,130,13.00,60,35.3%,Greenville A,160,0,7,40,5.71,50
"
Riverton A",325,3,7,160,16.00,50,31.2%,Granite City A,245,1,8,110,12.22,40
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
