\nCedar Crest A,320,STEM A,260
\nHigh Tech A,310,Emmaus A,210
\nManheim Twp A,270,Henderson A,160
\nMB,475,State College A,205
\nHenderson B,240,Manheim Twp B,220
\nGFS,325,Central Bucks East B,135
\nSTEM B,245,D- East B,140
\nD- East A,350,Cedar Crest B,105
\nHigh Tech B,645,Manheim Twp D,65
\nWallenpaupack B,380,Pine Grove A,295
\nD-East C,465,Wallenpaupack A,220
\nHenderson C,470,State College B,245
\nGVMS A,345,Conrad Weiser A,250
\nSTEM C,265,Conrad Weiser B,255
\nHIgh Tech C,425,Central Bucks East C,135
\nGVMS B,375,Lakeland B,130
\nEmmaus A,310,Cedar Crest A,275
\nSTEM A,385,High Tech A,200
\nManheim Twp A,310,MB,250
\nHenderson A,235,State College A,215
\nHenderson B,310,Central Bucks East B,145
\nManheim Twp B,310,GFS,155
\nD- East A,275,STEM B,165
\nD- East B,175,Cedar Crest B,120
\nCentral Bucks East A,255,Manheim Twp C,110
\nCamp Hill,185,Lakeland A,135
\nHigh Tech B,605,Pine Grove A,155
\nManheim Twp D,345,Wallenpaupack B,295
\nD-East C,420,Henderson C,295
\nState College B,405,Wallenpaupack A,265
\nGVMS A,420,Conrad Weiser B,245
\nConrad Weiser A,335,STEM C,295
\nHIgh Tech C,460,GVMS B,215
\nCentral Bucks East C,315,Lakeland B,200
\nPenn Manor,440,Lakeland C,105
\nPine Grove C,340,Pine Grove B,175
\nCedar Crest A,610,Henderson A,5
\nSTEM A,370,Manheim Twp A,325
\nHigh Tech A,320,State College A,225
\nMB,475,Emmaus A,125
\nHenderson B,335,D- East B,100
\nSTEM B,240,Manheim Twp B,225
\nGFS,285,Cedar Crest B,80
\nD- East A,255,Central Bucks East B,170
\nCentral Bucks East A,230,Camp Hill,185
\nLakeland A,175,Manheim Twp C,140
\nHigh Tech B,495,Wallenpaupack A,235
\nD-East C,450,Manheim Twp D,255
\nState College B,330,Wallenpaupack B,325
\nHenderson C,395,Pine Grove A,305
\nGVMS A,440,Central Bucks East C,145
\nHIgh Tech C,335,Conrad Weiser A,255
\nLakeland B,315,STEM C,275
\nGVMS B,370,Conrad Weiser B,170
\nPine Grove B,350,Penn Manor,270
\nPine Grove C,415,Lakeland C,25
\nMB,520,STEM A,125
\nCedar Crest A,510,State College A,155
\nManheim Twp A,390,Emmaus A,155
\nHigh Tech A,435,Henderson A,155
\nHenderson C,435,Manheim Twp D,225
\nHigh Tech B,535,State College B,230
\nD-East C,445,Pine Grove A,170
\nWallenpaupack A,435,Wallenpaupack B,280
\nD- East A,360,Manheim Twp B,150
\nHenderson B,320,Cedar Crest B,95
\nSTEM B,165,Central Bucks East B,140
\nD- East B,200,GFS,160
\nCentral Bucks East A,220,Lakeland A,125
\nCamp Hill,155,Manheim Twp C,135
\nGVMS B,510,Conrad Weiser A,105
\nGVMS A,405,Lakeland B,205
\nHIgh Tech C,640,Conrad Weiser B,95
\nSTEM C,295,Central Bucks East C,250
\nPenn Manor,415,Pine Grove C,80
\nPine Grove B,395,Lakeland C,65
\nHenderson A,355,Emmaus A,230
\nHigh Tech A,360,Manheim Twp A,325
\nCedar Crest A,335,MB,320
\nSTEM A,515,State College A,130
\nWallenpaupack A,360,Pine Grove A,275
\nD-East C,385,Wallenpaupack B,165
\nHenderson C,405,High Tech B,245
\nManheim Twp D,330,State College B,310
\nCentral Bucks East C,365,Conrad Weiser B,275
\nHIgh Tech C,355,STEM C,280
\nGVMS A,420,GVMS B,165
\nConrad Weiser A,370,Lakeland B,180
\nPine Grove C,430,Pine Grove B,80
\nPenn Manor,415,Lakeland C,15
\nCentral Bucks East B,295,D- East B,55
\nGFS,395,STEM B,90
\nHenderson B,300,D- East A,155
\nManheim Twp B,385,Cedar Crest B,130
\nCamp Hill,270,Lakeland A,150
\nCentral Bucks East A,340,Manheim Twp C,120
\nHigh Tech B,385,D-East C,320
\nWallenpaupack A,360,Manheim Twp D,245
\nState College B,485,Pine Grove A,195
\nHenderson C,575,Wallenpaupack B,160
\nCedar Crest A,550,Manheim Twp A,70
\nSTEM A,335,Henderson A,150
\nState College A,225,Emmaus A,215
\nMB,400,High Tech A,255
\nHenderson B,375,STEM B,125
\nManheim Twp B,325,D- East B,110
\nCedar Crest B,190,Central Bucks East B,180
\nD- East A,250,GFS,190
\nLakeland A,195,Manheim Twp C,50
\nGVMS A,490,HIgh Tech C,230
\nConrad Weiser A,285,Central Bucks East C,265
\nLakeland B,275,Conrad Weiser B,240
\nGVMS B,300,STEM C,275
\nPine Grove C,480,Lakeland C,60
\nPenn Manor,295,Pine Grove B,235
\nHenderson C,375,Wallenpaupack A,220
\nState College B,375,D-East C,325
\nManheim Twp D,345,Pine Grove A,220
\nHigh Tech B,650,Wallenpaupack B,130
\nGVMS B,285,Central Bucks East C,185
\nHIgh Tech C,435,Lakeland B,205
\nConrad Weiser A,275,Conrad Weiser B,225
\nGVMS A,445,STEM C,105
\nPine Grove B,345,Lakeland C,20
\nPenn Manor,275,Pine Grove C,205
\nMB,510,Henderson A,75
\nManheim Twp A,370,State College A,170
\nSTEM A,240,Emmaus A,210
\nCedar Crest A,460,High Tech A,170
\nD- East A,225,D- East B,100
\nCedar Crest B,210,STEM B,145
\nManheim Twp B,315,Central Bucks East B,95
\nHenderson B,350,GFS,130
\nCentral Bucks East A,250,Lakeland A,145
