Winner,Score,Loser,Score,TUH
"
Cooperstown A",405,Geneva B,95,20
"
Troy",330,Cooperstown D,50,20
"
Geneva A",320,Saratoga Springs,145,20
"
Cooperstown C",195,Adirondack Central,100,20
"
Medina",185,Cooperstown B,95,20
Winner,Score,Loser,Score,TUH
"
Geneva A",465,Cooperstown B,0,20
"
Troy",350,Cooperstown C,125,20
"
Cooperstown A",365,Medina,150,20
"
Saratoga Springs",220,Cooperstown D,45,20
"
Adirondack Central",205,Geneva B,155,20
Winner,Score,Loser,Score,TUH
"
Cooperstown A",405,Adirondack Central,65,20
"
Troy",400,Geneva B,70,20
"
Geneva A",210,Medina,95,20
"
Saratoga Springs",205,Cooperstown C,110,20
"
Cooperstown B",55,Cooperstown D,50,20
Winner,Score,Loser,Score,TUH
"
Troy",475,Cooperstown A,110,20
"
Medina",360,Cooperstown D,20,20
"
Saratoga Springs",290,Cooperstown B,85,20
"
Geneva B",205,Cooperstown C,135,20
"
Geneva A",270,Adirondack Central,200,20
Winner,Score,Loser,Score,TUH
"
Cooperstown A",500,Cooperstown C,35,20
"
Geneva A",325,Cooperstown D,10,20
"
Troy",425,Adirondack Central,120,20
"
Geneva B",220,Cooperstown B,40,20
"
Medina",255,Saratoga Springs,160,20
Winner,Score,Loser,Score,TUH
"
Adirondack Central",215,Cooperstown B,40,20
"
Troy",355,Geneva A,185,20
"
Cooperstown A",275,Medina,160,20
"
Saratoga Springs",235,Geneva B,140,20
