Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",595,7,11,2,390,21.67,Great Valley D,50,0,2,0,30,15.00,20
"
Henderson",475,5,12,0,280,16.47,Great Valley C,45,1,2,4,30,10.00,20
"
Downingtown STEM",385,5,8,4,250,19.23,Episcopal Academy,90,0,3,0,60,20.00,20
"
Carlisle",345,0,13,3,230,17.69,Manheim Township C,55,0,4,1,20,5.00,20
"
Germantown Friends",330,1,11,5,230,19.17,Renaissance Academy C,70,1,3,3,40,10.00,20
"
Friends Select B",190,1,9,3,100,10.00,Renaissance Academy A,15,0,1,1,10,10.00,20
"
Manheim Township A",300,5,7,1,160,13.33,Downingtown East,210,2,6,4,140,17.50,20
"
Manheim Township B",275,1,10,0,160,14.55,Great Valley A,235,3,4,4,170,24.29,20
"
Friends Select A",260,3,7,5,170,17.00,Unionville B,220,3,5,1,130,16.25,20
"
Cedar Crest B",270,2,8,2,170,17.00,Moravian Academy,235,1,7,2,160,20.00,20
"
Emmaus",275,1,10,0,160,14.55,Unionville A,240,3,6,1,140,15.56,20
"
Great Valley B",190,2,7,4,110,12.22,Penn Manor B,155,1,7,0,70,8.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",555,8,10,1,340,18.89,Manheim Township C,50,0,2,2,40,20.00,20
"
Manheim Township A",460,7,9,1,270,16.88,Great Valley C,30,1,0,1,20,20.00,20
"
Unionville A",395,3,11,4,260,18.57,Friends Select B,60,0,4,0,20,5.00,20
"
Wissahickon A",430,6,8,2,270,19.29,Emmaus,120,0,5,2,80,16.00,20
"
Cedar Crest B",300,2,12,2,160,11.43,Renaissance Academy B,15,0,1,1,10,10.00,20
"
Downingtown STEM",340,4,8,4,220,18.33,Great Valley D,60,0,4,2,30,7.50,20
"
Carlisle",360,2,12,2,220,15.71,Penn Manor A,80,0,3,0,50,16.67,20
"
Great Valley B",280,1,14,1,130,8.67,Renaissance Academy A,10,0,1,0,0,0.00,20
"
Great Valley A",270,5,7,5,150,12.50,Renaissance Academy C,60,0,4,0,20,5.00,20
"
Germantown Friends",350,2,12,2,210,15.00,Unionville B,145,1,5,0,80,13.33,20
"
Friends Select A",250,1,8,3,170,18.89,Wissahickon B,140,0,7,2,80,11.43,20
"
Moravian Academy",265,5,5,0,140,14.00,Downingtown East,225,1,8,4,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wissahickon A",535,6,10,1,350,21.88,Friends Select B,65,1,2,0,30,10.00,20
"
Cedar Crest A",490,6,10,2,310,19.38,Penn Manor A,55,2,1,1,20,6.67,20
"
Downingtown STEM",360,2,12,2,220,15.71,Manheim Township C,10,0,1,2,10,10.00,20
"
Downingtown East",370,3,11,3,230,16.43,Renaissance Academy B,20,0,1,2,20,20.00,20
"
Manheim Township B",335,2,12,1,190,13.57,Renaissance Academy C,40,1,2,1,10,3.33,20
"
Episcopal Academy",315,2,12,3,180,12.86,Great Valley D,25,0,2,1,10,5.00,20
"
Manheim Township A",365,4,9,1,220,16.92,Henderson,130,1,5,3,80,13.33,20
"
Unionville A",360,3,10,3,230,17.69,Great Valley B,170,2,4,0,100,16.67,20
"
Germantown Friends",315,2,10,1,190,15.83,Wissahickon B,140,1,4,1,90,18.00,20
"
Penn Manor B",170,1,11,1,50,4.17,Renaissance Academy A,20,0,2,0,0,0.00,20
"
Moravian Academy",245,2,9,1,130,11.82,Great Valley C,150,3,2,1,90,18.00,20
"
Great Valley A",240,4,5,4,150,16.67,Unionville B,195,3,5,0,100,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wissahickon A",445,8,5,1,280,21.54,Great Valley B,70,0,5,2,30,6.00,20
"
Unionville A",390,4,10,4,250,17.86,Penn Manor B,25,0,1,1,20,20.00,20
"
Emmaus",360,2,11,2,230,17.69,Friends Select B,50,2,1,2,20,6.67,20
"
Downingtown STEM",405,5,9,2,250,17.86,Penn Manor A,110,0,6,0,50,8.33,20
"
Cedar Crest A",425,5,9,2,270,19.29,Carlisle,140,0,5,2,100,20.00,20
"
Great Valley A",295,2,11,5,180,13.85,Wissahickon B,70,1,2,1,40,13.33,20
"
Great Valley C",235,2,10,1,110,9.17,Renaissance Academy B,50,0,3,0,20,6.67,20
"
Manheim Township B",275,1,12,0,140,10.77,Unionville B,115,2,3,1,60,12.00,20
"
Downingtown East",290,2,10,4,180,15.00,Cedar Crest B,145,0,7,3,90,12.86,20
"
Germantown Friends",285,4,8,3,160,13.33,Friends Select A,165,1,4,2,120,24.00,20
"
Episcopal Academy",210,2,9,2,100,9.09,Manheim Township C,90,0,5,2,50,10.00,20
"
Henderson",295,6,5,3,170,15.45,Moravian Academy,215,2,6,1,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Unionville A",525,4,13,1,340,20.00,Renaissance Academy A,20,0,1,0,10,10.00,20
"
Wissahickon A",520,4,13,2,340,20.00,Penn Manor B,20,0,1,0,10,10.00,20
"
Manheim Township A",490,5,11,1,310,19.38,Moravian Academy,55,0,3,1,30,10.00,20
"
Henderson",340,2,12,2,200,14.29,Renaissance Academy B,20,0,1,0,10,10.00,20
"
Downingtown STEM",385,4,8,1,250,20.83,Carlisle,130,2,4,4,80,13.33,20
"
Unionville B",300,2,10,2,180,15.00,Renaissance Academy C,55,0,4,1,20,5.00,20
"
Cedar Crest B",315,1,12,0,180,13.85,Great Valley C,85,1,3,2,50,12.50,20
"
Episcopal Academy",180,2,7,0,80,8.89,Penn Manor A,80,0,3,0,50,16.67,20
"
Manheim Township B",290,4,7,0,160,14.55,Wissahickon B,205,1,6,0,130,18.57,20
"
Friends Select A",290,3,7,1,180,18.00,Great Valley A,230,3,6,3,140,15.56,20
"
Great Valley D",165,1,6,0,90,12.86,Manheim Township C,120,0,7,0,50,7.14,20
"
Great Valley B",245,1,9,2,150,15.00,Emmaus,215,1,7,2,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wissahickon A",515,7,9,4,340,21.25,Renaissance Academy A,20,0,2,0,0,0.00,20
"
Manheim Township A",430,8,7,2,250,16.67,Renaissance Academy B,5,0,1,1,0,0.00,20
"
Downingtown East",415,6,9,3,250,16.67,Great Valley C,35,1,2,2,10,3.33,20
"
Emmaus",400,1,14,1,250,16.67,Penn Manor B,65,2,2,1,20,5.00,20
"
Penn Manor A",300,2,11,0,160,12.31,Great Valley D,35,0,3,1,10,3.33,20
"
Wissahickon B",270,0,13,0,140,10.77,Renaissance Academy C,70,2,2,2,30,7.50,20
"
Germantown Friends",345,5,6,0,210,19.09,Great Valley A,150,5,2,3,70,10.00,20
"
Cedar Crest A",370,8,4,2,220,18.33,Downingtown STEM,225,5,3,2,130,16.25,20
"
Manheim Township B",265,4,5,1,160,17.78,Friends Select A,170,3,4,3,100,14.29,20
"
Carlisle",260,4,6,4,160,16.00,Episcopal Academy,165,1,7,2,90,11.25,20
"
Cedar Crest B",275,3,10,2,140,10.77,Henderson,190,2,5,2,120,17.14,20
"
Great Valley B",210,3,7,3,110,11.00,Friends Select B,150,1,6,1,80,11.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",565,9,8,0,350,20.59,Episcopal Academy,20,0,1,0,10,10.00,20
"
Emmaus",385,0,17,1,220,12.94,Renaissance Academy A,0,0,0,0,0,0.00,20
"
Moravian Academy",365,4,11,1,200,13.33,Renaissance Academy B,10,0,1,2,10,10.00,20
"
Penn Manor A",300,1,13,1,160,11.43,Manheim Township C,10,0,1,0,0,0.00,20
"
Carlisle",245,1,9,6,170,17.00,Great Valley D,25,1,1,4,20,10.00,20
"
Friends Select A",245,1,10,4,150,13.64,Renaissance Academy C,35,1,2,2,10,3.33,20
"
Manheim Township A",320,5,7,3,190,15.83,Cedar Crest B,155,0,7,1,90,12.86,20
"
Germantown Friends",290,1,10,1,180,16.36,Manheim Township B,160,1,7,1,80,10.00,20
"
Friends Select B",200,1,10,1,90,8.18,Penn Manor B,90,0,5,0,40,8.00,20
"
Henderson",270,3,7,1,160,16.00,Downingtown East,175,3,4,4,110,15.71,20
"
Wissahickon A",300,4,5,2,200,22.22,Unionville A,235,4,5,3,140,15.56,20
"
Wissahickon B",205,2,8,1,100,10.00,Unionville B,200,0,9,2,120,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Great Valley A",500,5,11,3,330,20.62,Downingtown East,40,0,3,4,30,10.00,20
"
Great Valley B",240,3,7,3,140,14.00,Episcopal Academy,100,0,7,2,40,5.71,20
"
Unionville A",315,4,7,1,190,17.27,Downingtown STEM,190,3,5,3,110,13.75,20
"
Cedar Crest A",355,5,6,2,230,20.91,Wissahickon A,230,5,3,1,130,16.25,20
"
Moravian Academy",260,6,5,0,120,10.91,Wissahickon B,150,1,6,1,80,11.43,20
"
Penn Manor A",190,1,10,3,90,8.18,Friends Select B,85,1,4,4,50,10.00,20
"
Unionville B",215,2,8,1,110,11.00,Great Valley C,135,2,6,1,50,6.25,20
"
Penn Manor B",145,1,7,2,70,8.75,Great Valley D,65,0,5,1,20,4.00,20
"
Renaissance Academy C",130,0,9,0,40,4.44,Renaissance Academy A,60,0,4,0,20,5.00,20
"
Manheim Township C",115,0,8,1,40,5.00,Renaissance Academy B,60,0,3,0,30,10.00,20
"
Cedar Crest B",220,3,6,3,130,14.44,Friends Select A,170,2,7,2,80,8.89,20
"
Carlisle",280,3,7,3,180,18.00,Emmaus,260,3,7,1,150,15.00,20
"
Germantown Friends",290,5,5,3,180,18.00,Manheim Township A,270,4,6,2,160,16.00,20
"
Henderson",270,1,9,3,180,18.00,Manheim Township B,255,3,7,0,140,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",485,9,5,2,310,22.14,Unionville A,105,2,2,3,70,17.50,20
"
Germantown Friends",415,6,8,1,250,17.86,Henderson,120,2,4,4,70,11.67,20
"
Emmaus",345,1,12,0,210,16.15,Episcopal Academy,75,0,4,1,40,10.00,20
"
Friends Select A",260,7,3,1,130,13.00,Downingtown East,20,0,3,8,30,10.00,20
"
Friends Select B",195,2,6,1,110,13.75,Great Valley D,10,0,3,4,0,0.00,20
"
Manheim Township A",315,5,5,2,200,20.00,Manheim Township B,145,1,5,2,90,15.00,20
"
Penn Manor A",165,2,6,1,80,10.00,Penn Manor B,80,1,5,3,30,5.00,20
"
Manheim Township C",120,1,6,1,50,7.14,Renaissance Academy A,40,0,3,2,20,6.67,20
"
Great Valley A",260,4,5,4,170,18.89,Cedar Crest B,190,1,5,1,130,21.67,20
"
Moravian Academy",205,4,6,1,90,9.00,Unionville B,160,0,7,0,90,12.86,20
"
Carlisle",230,3,6,1,130,14.44,Great Valley B,195,2,6,1,110,13.75,20
"
Renaissance Academy C",110,0,6,0,50,8.33,Renaissance Academy B,75,1,4,0,20,4.00,20
"
Downingtown STEM",255,3,7,2,150,15.00,Wissahickon A,230,4,3,4,160,22.86,20
"
Wissahickon B",150,1,5,1,90,15.00,Great Valley C,140,1,7,1,60,7.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wissahickon A",580,8,9,0,370,21.76,Germantown Friends,65,2,1,3,40,13.33,20
"
Moravian Academy",315,2,9,1,200,18.18,Friends Select B,50,0,3,2,30,10.00,20
"
Downingtown STEM",415,2,12,3,280,20.00,Manheim Township B,155,0,6,1,100,16.67,20
"
Unionville B",275,0,12,1,160,13.33,Great Valley D,35,1,2,0,0,0.00,20
"
Great Valley C",280,1,12,1,150,11.54,Penn Manor B,50,1,2,3,30,10.00,20
"
Cedar Crest B",350,2,12,0,200,14.29,Episcopal Academy,150,3,2,3,100,20.00,20
"
Manheim Township A",380,8,3,0,230,20.91,Cedar Crest A,285,6,2,3,190,23.75,20
"
Wissahickon B",180,1,8,3,100,11.11,Penn Manor A,90,1,4,3,50,10.00,20
"
Carlisle",290,6,4,2,170,17.00,Friends Select A,225,0,9,1,140,15.56,20
"
Unionville A",295,3,6,2,200,22.22,Henderson,245,3,7,2,140,14.00,20
"
Manheim Township C",95,1,5,0,30,5.00,Renaissance Academy C,65,0,5,3,30,6.00,20
"
Great Valley A",295,6,3,5,200,22.22,Great Valley B,270,2,8,0,160,16.00,20
"
Downingtown East",220,3,6,5,140,15.56,Emmaus,205,1,7,0,120,15.00,20
"
Renaissance Academy B",Forfeit, , , , , ,Renaissance Academy A,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Downingtown STEM",390,2,12,0,240,17.14,Unionville A,110,2,4,6,70,11.67,20
"
Great Valley A",325,5,6,4,210,19.09,Carlisle,165,2,4,1,100,16.67,20
"
Cedar Crest A",345,8,3,1,200,18.18,Germantown Friends,200,5,2,1,110,15.71,20
"
Moravian Academy",270,0,11,0,160,14.55,Wissahickon B,135,1,6,2,70,10.00,20
"
Cedar Crest B",235,1,9,2,140,14.00,Downingtown East,105,0,5,3,70,14.00,20
"
Penn Manor B",140,0,9,0,50,5.56,Great Valley D,70,0,5,0,20,4.00,20
"
Wissahickon A",340,8,3,2,200,18.18,Manheim Township A,275,4,5,1,170,18.89,20
"
Great Valley B",240,1,9,5,160,16.00,Friends Select A,185,1,7,4,120,15.00,20
"
Penn Manor A",185,0,9,1,100,11.11,Friends Select B,135,2,5,1,60,8.57,20
"
Emmaus",225,2,7,1,130,14.44,Episcopal Academy,180,2,6,0,90,11.25,20
"
Unionville B",195,2,7,3,110,12.22,Great Valley C,150,0,7,0,80,11.43,20
"
Manheim Township B",Forfeit, , , , , ,Henderson,Forfeit, , , , , ,-
