Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Kickapoo A",355,1,13,180,12.86,30,30.0%,Parkview,90,0,4,20,5.00,30
"
Rolla",255,3,6,140,15.56,10,8.3%,Springfield Central,130,0,6,60,10.00,10
"
Houston A",300,4,6,150,15.00,30,18.8%,Sullivan A,225,1,7,80,10.00,60
"
Clever",195,3,4,80,11.43,30,21.4%,Fair Grove A,160,0,7,70,10.00,20
"
Fair Grove B",245,3,7,90,9.00,40,26.7%,St. James A,230,2,6,90,11.25,50
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Houston A",345,1,11,190,15.83,30,60.0%,Fair Grove A,110,0,3,40,13.33,40
"
Sullivan A",345,3,10,170,13.08,30,50.0%,St. James A,165,1,4,90,18.00,20
"
Springfield Central",220,2,6,100,12.50,30,25.0%,Parkview,120,2,3,30,6.00,30
"
Clever",225,1,9,120,12.00,0,0.0%,Kickapoo A,165,1,4,50,10.00,60
"
Fair Grove B",240,2,7,110,12.22,30,16.7%,Rolla,210,2,7,90,10.00,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Houston A",470,2,13,280,18.67,30,42.9%,Parkview,65,1,2,20,6.67,10
"
Sullivan A",405,5,9,240,17.14,0,0.0%,Springfield Central,130,0,3,70,23.33,30
"
Kickapoo A",315,3,7,160,16.00,40,26.7%,Fair Grove A,235,1,7,90,11.25,60
"
Fair Grove B",285,3,8,110,10.00,50,35.7%,Clever,240,4,4,100,12.50,40
"
St. James A",190,0,7,80,11.43,40,30.8%,Rolla,165,1,6,80,11.43,10
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Houston A",485,5,11,300,18.75,0,0.0%,St. James A,80,0,3,30,10.00,20
"
Sullivan A",355,3,8,140,12.73,90,60.0%,Parkview,95,1,5,30,5.00,0
"
Springfield Central",280,2,8,150,15.00,20,18.2%,Kickapoo A,210,2,4,70,11.67,70
"
Rolla",250,0,8,130,16.25,40,19.0%,Clever,225,3,7,90,9.00,20
"
Fair Grove B",220,0,8,120,15.00,20,11.1%,Fair Grove A,195,3,6,90,10.00,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Houston A",405,5,9,230,16.43,10,16.7%,Kickapoo A,90,2,1,30,10.00,20
"
Rolla",370,2,14,200,12.50,0,0.0%,Parkview,70,0,1,20,20.00,40
"
Sullivan A",390,2,11,210,16.15,40,40.0%,Fair Grove A,145,1,4,50,10.00,40
"
Fair Grove B",245,3,7,120,12.00,10,6.7%,Springfield Central,120,2,4,30,5.00,20
"
Clever",255,1,10,110,10.00,30,25.0%,St. James A,140,0,6,60,10.00,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Kickapoo A",350,4,7,190,17.27,30,37.5%,St. James A,85,1,2,10,3.33,40
"
Clever",320,2,11,180,13.85,0,0.0%,Parkview,70,0,2,10,5.00,40
"
Sullivan A",370,6,6,210,17.50,10,16.7%,Rolla,170,0,5,90,18.00,30
"
Houston A",325,1,8,170,18.89,60,40.0%,Fair Grove B,195,1,7,90,11.25,20
"
Fair Grove A",145,1,7,50,6.25,10,25.0%,Springfield Central,40,0,2,20,10.00,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Houston A",505,5,10,310,20.67,20,50.0%,Rolla,65,1,1,20,10.00,20
"
Clever",285,3,7,150,15.00,20,28.6%,Springfield Central,60,0,3,20,6.67,10
"
Sullivan A",315,3,8,180,16.36,10,16.7%,Kickapoo A,175,1,4,90,18.00,30
"
Fair Grove B",250,0,9,110,12.22,50,38.5%,Parkview,130,0,6,50,8.33,20
"
St. James A",205,1,8,110,12.22,0,0.0%,Fair Grove A,140,2,3,70,14.00,10
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Sullivan A",375,3,8,200,18.18,50,38.5%,Fair Grove B,130,2,4,50,8.33,10
"
Kickapoo A",340,2,9,200,18.18,20,12.5%,Rolla,140,2,5,50,7.14,10
"
Houston A",400,4,8,180,15.00,80,61.5%,Clever,225,3,5,110,13.75,20
"
Fair Grove A",210,0,9,70,7.78,50,38.5%,Parkview,100,0,5,20,4.00,30
"
St. James A",175,3,6,60,6.67,10,33.3%,Springfield Central,70,0,2,30,15.00,20
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Houston A",450,6,10,250,15.62,10,25.0%,Springfield Central,70,0,2,20,10.00,30
"
Kickapoo A",260,2,8,130,13.00,20,50.0%,Fair Grove B,115,1,2,50,16.67,30
"
Rolla",265,3,8,140,12.73,0,0.0%,Fair Grove A,130,0,3,40,13.33,60
"
Sullivan A",250,2,6,120,15.00,40,33.3%,Clever,185,1,6,90,12.86,20
"
St. James A",140,0,5,70,14.00,20,22.2%,Parkview,120,0,5,60,12.00,10
