Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Detroit Country Day A",655,7,12,2,440,23.16,Friends Select B,0,0,1,2,0,0.00,22
"
Lambert",610,12,5,6,410,24.12,"Troy (Fullerton, CA)",0,0,1,2,0,0.00,24
"
Wayzata A",590,6,12,4,400,22.22,Arab,25,1,1,0,0,0.00,23
"
Great Valley A",540,5,12,1,350,20.59,Cistercian C,-10,0,0,2,0,0.00,19
"
Okemos",560,4,15,2,360,18.95,North Kansas City,40,0,1,0,30,30.00,22
"
Eden Prairie A",515,1,15,2,360,22.50,Canyon Crest B,15,0,2,5,20,10.00,20
"
Raleigh Charter",505,5,11,2,330,20.62,Western Dubuque,65,0,3,1,40,13.33,21
"
Glasgow",480,3,13,1,310,19.38,Mandarin,40,0,2,0,20,10.00,18
"
McLean A",475,0,16,1,320,20.00,Oswego East,45,1,3,2,10,2.50,21
"
James E. Taylor",470,5,10,1,300,20.00,Wayzata G,40,0,3,0,10,3.33,19
"
Wilton",430,2,13,0,270,18.00,East Grand Rapids,15,1,1,4,10,5.00,18
"
Darien A",495,7,10,2,300,17.65,Berwick,80,0,3,0,50,16.67,22
"
East Chapel Hill A",470,6,9,4,310,20.67,Dutch Fork B,60,0,2,0,40,20.00,20
"
Beavercreek",450,8,7,4,280,18.67,Holton,45,0,3,1,20,6.67,21
"
Mira Loma",480,7,8,7,330,22.00,Wando B,80,0,4,0,40,10.00,22
"
Paideia",425,2,14,1,260,16.25,St. Vincent-St. Mary,40,0,3,2,20,6.67,20
"
Solon A",435,4,12,5,280,17.50,Flowery Branch,60,0,2,0,40,20.00,21
"
Greenhill",465,4,11,5,320,21.33,St. Joseph Central B,90,0,4,0,50,12.50,23
"
St. Louis Park",380,0,16,2,230,14.38,Johns Creek C,15,0,1,1,10,10.00,19
"
Wando A",450,6,9,4,290,19.33,Thales Academy-Rolesville,95,0,4,1,60,15.00,21
"
Silver Spring Scholars A",415,2,12,5,290,20.71,Coalgate,65,1,3,0,20,5.00,21
"
Dunbar A",420,4,10,2,270,19.29,Wayzata D,90,0,4,2,60,15.00,20
"
Chelsea",365,6,9,3,200,13.33,Vista Del Lago B,35,0,2,1,20,10.00,19
"
Livingston",400,6,8,0,230,16.43,Wade Hampton,85,0,5,3,50,10.00,19
"
Manheim Township A",390,4,9,2,250,19.23,Wayzata F,100,1,3,3,70,17.50,19
"
Richard Montgomery A",380,5,7,5,260,21.67,Cistercian B,95,0,4,1,60,15.00,17
"
Cedar Crest",385,2,12,1,240,17.14,Dutch Fork A,105,1,4,0,50,10.00,20
"
St. Joseph Central A",395,5,7,2,260,21.67,Fletcher,130,2,5,0,50,7.14,21
"
Staples",320,1,12,5,210,16.15,Ysleta,70,0,4,0,30,7.50,20
"
Ithaca",340,2,11,2,210,16.15,LAMP,95,0,5,3,60,12.00,19
"
Jesuit",325,2,11,1,190,14.62,Loyola Academy,100,0,4,0,60,15.00,20
"
Dunbar B",320,2,9,2,210,19.09,Edgewood,105,1,5,0,40,6.67,19
"
Champlain Valley",285,1,10,2,180,16.36,Centennial C,85,1,3,2,50,12.50,19
"
Saratoga",320,4,7,4,210,19.09,John Adams A,120,0,5,0,70,14.00,18
"
Northmont A",305,1,11,2,190,15.83,Grand Junction A,110,0,6,0,50,8.33,21
"
Lake Braddock",315,0,12,1,200,16.67,Eastlake,120,2,4,0,50,8.33,20
"
Harker A",400,4,8,0,260,21.67,Providence,210,1,7,1,130,16.25,21
"
Westminster A",325,1,10,2,220,20.00,Farmington Hills Mercy,135,1,6,0,60,8.57,19
"
Johns Creek B",280,1,11,5,180,15.00,Detroit Country Day B,95,1,3,0,50,12.50,19
"
White Station A",320,4,7,2,200,18.18,Grand Junction B,135,0,6,1,80,13.33,19
"
Copley",310,3,10,3,180,13.85,Eden Prairie B,145,0,5,1,100,20.00,18
"
Hewitt-Trussville",285,1,10,0,170,15.45,Friends Select A,125,0,7,1,60,8.57,19
"
Cinco Ranch A",350,4,7,4,240,21.82,Sparkman,200,2,7,2,110,12.22,21
"
Southside A",290,1,10,7,210,19.09,Northmont B,140,0,6,0,80,13.33,21
"
South Burlington",255,2,8,3,160,16.00,Manheim Township B,115,1,6,0,40,5.71,19
"
Strake Jesuit B",295,3,8,0,170,15.45,Cistercian A,175,3,3,0,100,16.67,18
"
Maine East",260,1,10,3,160,14.55,North Gwinnett,150,0,6,2,100,16.67,20
