Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",635,5,14,2,430,22.63,"St. Joseph Central (St. Joseph, MO)",40,1,1,3,30,15.00,22
"
Mira Loma B",510,5,11,5,350,21.88,Morris B,35,0,3,1,10,3.33,22
"
Caddo Magnet A",495,3,14,4,330,19.41,Lakota West,30,0,2,2,20,10.00,21
"
Del Norte",445,5,10,2,280,18.67,Rock Bridge B,35,1,1,2,20,10.00,19
"
Montgomery Blair",470,9,5,3,300,21.43,William Fremd C,70,2,2,2,30,7.50,20
"
McLean A",460,4,13,2,280,16.47,"International Academy Okma (Bloomfield Hills, MI)",70,0,4,2,40,10.00,21
"
Detroit Catholic Central A",470,8,9,0,260,15.29,Northmont,100,2,1,2,70,23.33,20
"
Livingston B",425,5,10,2,260,17.33,Massey Hill Classical,70,0,4,2,40,10.00,20
"
Barrington A",460,6,9,4,300,20.00,Wayzata C,115,1,5,4,70,11.67,21
"
Solon A",435,6,8,3,280,20.00,Park Tudor,100,0,4,0,60,15.00,18
"
Hunter B",360,2,12,0,210,15.00,Trinity,35,0,3,5,30,10.00,18
"
Detroit Country Day A",435,6,9,1,260,17.33,Westminster,120,1,3,1,80,20.00,19
"
Hinsdale Central B",325,3,9,2,200,16.67,North Kansas City,35,0,3,1,10,3.33,18
"
Canyon Crest A",365,3,10,4,240,18.46,Saratoga Springs (NY),75,0,5,1,30,6.00,19
"
Centennial B",310,0,13,4,200,15.38,Jefferson,20,1,1,3,10,5.00,21
"
Lindbergh B",345,3,11,2,200,14.29,DeWitt,75,0,3,1,50,16.67,20
"
Richard Montgomery B",335,4,9,1,190,14.62,Irvin,65,1,3,0,20,5.00,21
"
Centennial A",370,2,12,2,230,16.43,Bishop Kelley,100,0,5,2,60,12.00,22
"
Southside (SC)",295,3,9,2,170,14.17,Lafayette Christian,30,0,2,0,10,5.00,19
"
Richard Montgomery A",360,7,5,5,230,19.17,Hallsville,100,0,5,0,50,10.00,19
"
William Fremd A",400,5,8,1,250,19.23,Lake Highland,155,2,4,1,90,15.00,21
"
Darien B",300,2,10,2,180,15.00,Cookeville,65,2,2,3,30,7.50,23
"
Staples",295,1,10,2,190,17.27,Providence Day,70,0,4,0,30,7.50,18
"
Harker",435,3,10,0,290,22.31,Cedar Crest,220,3,4,5,160,22.86,21
"
Cave Spring",295,1,10,0,180,16.36,Jackson Academy,95,1,4,2,50,10.00,20
"
Paideia",310,3,9,1,180,15.00,Catholic B,110,0,5,4,80,16.00,18
"
Riverside",225,4,7,3,110,10.00,East Hamilton,30,0,3,2,10,3.33,19
