Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Phillips Academy",645,14,3,3,420,24.71,Palisades B,5,1,0,2,0,0.00,20
"
Hunter A",685,12,5,1,460,27.06,East Brunswick C,50,2,0,0,20,10.00,20
"
Middlesex County Academy A",620,3,16,1,420,22.11,Palisades C,20,0,1,0,10,10.00,20
"
East Brunswick B",570,11,3,1,380,27.14,Ridgewood A,145,2,2,1,100,25.00,20
"
Ridgewood B",490,5,10,1,320,21.33,Edison C,110,0,5,0,60,12.00,20
"
Edison A",480,4,11,2,320,21.33,Middlesex County Academy C,120,1,4,1,70,14.00,20
"
TAG Magnet",515,10,3,1,340,26.15,Ranney,180,4,2,0,100,16.67,20
"
Biotech A",390,3,10,3,260,20.00,Ithaca B,85,1,3,2,50,12.50,20
"
Mountain Lakes A",430,8,6,0,250,17.86,Bishop Ludden,160,1,5,1,100,16.67,20
"
Dublin Scioto",330,6,7,6,200,15.38,Biotech B,110,0,6,0,50,8.33,20
"
Hewlett A",310,3,10,1,170,13.08,High Tech B,95,2,2,1,50,12.50,20
"
Hewlett D",300,3,10,1,160,12.31,Hewlett B,90,0,4,2,60,15.00,20
"
Hotchkiss A",395,6,6,1,250,20.83,Ithaca A,265,2,6,1,180,22.50,20
"
Wilton",360,4,9,0,210,16.15,Hunter B,250,5,2,5,180,25.71,20
"
Middlesex County Academy B",295,0,12,1,180,15.00,Mountain Lakes C,190,1,6,1,120,17.14,20
"
Edison B",265,1,10,2,160,14.55,Academy of Allied Health and Science,170,0,8,2,100,12.50,20
"
High Tech A",280,2,7,0,180,20.00,Hewlett C,215,4,5,1,110,12.22,20
"
Palisades A",115,0,7,1,50,7.14,Hotchkiss C,55,1,3,2,20,5.00,20
"
Middlesex County Academy D",275,1,7,0,190,23.75,Mountain Lakes B,225,1,9,0,120,12.00,20
"
Hotchkiss B",275,5,6,0,140,12.73,Livingston,235,3,5,0,140,17.50,20
"
East Brunswick A",315,6,3,1,200,22.22,Hunter C,300,6,4,2,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter B",645,10,7,3,440,25.88,Hewlett C,5,0,1,3,10,10.00,20
"
Hunter A",545,11,3,6,380,27.14,Palisades C,10,0,1,0,0,0.00,20
"
Hunter C",515,2,15,1,340,20.00,Palisades A,0,0,0,0,0,0.00,20
"
East Brunswick B",580,11,4,5,400,26.67,Middlesex County Academy B,90,0,4,0,50,12.50,20
"
Edison A",500,4,11,2,340,22.67,Palisades B,25,1,0,0,10,10.00,20
"
Phillips Academy",555,10,4,3,380,27.14,Hewlett A,85,0,4,1,50,12.50,20
"
East Brunswick A",560,11,3,3,380,27.14,Ithaca B,110,2,2,0,60,15.00,20
"
Ithaca A",520,11,4,1,320,21.33,Hewlett B,85,1,2,0,50,16.67,20
"
Ridgewood A",495,5,10,2,330,22.00,Biotech B,70,0,3,0,40,13.33,20
"
Hotchkiss A",510,8,6,2,340,24.29,Middlesex County Academy D,100,2,3,0,40,8.00,20
"
Biotech A",430,4,11,2,270,18.00,Hotchkiss C,35,0,2,1,20,10.00,20
"
Middlesex County Academy C",455,4,9,3,320,24.62,High Tech B,150,2,4,2,90,15.00,20
"
Middlesex County Academy A",405,4,10,1,250,17.86,Hotchkiss B,115,1,4,2,70,14.00,20
"
TAG Magnet",440,7,5,1,290,24.17,Ridgewood B,185,4,3,1,100,14.29,20
"
Mountain Lakes B",285,0,13,1,160,12.31,Hewlett D,60,1,2,3,40,13.33,20
"
Bishop Ludden",355,5,7,4,230,19.17,Edison C,145,0,6,1,90,15.00,20
"
High Tech A",300,2,10,4,190,15.83,Academy of Allied Health and Science,125,0,6,1,70,11.67,20
"
Wilton",335,4,8,1,200,16.67,Edison B,180,1,6,1,110,15.71,20
"
Ranney",365,4,8,1,230,19.17,Mountain Lakes A,280,3,4,1,200,28.57,20
"
Mountain Lakes C",300,0,9,0,210,23.33,Dublin Scioto,230,3,6,7,160,17.78,20
"
Livingston",235,2,6,3,160,20.00,East Brunswick C,195,3,6,0,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
East Brunswick A",640,11,8,1,400,21.05,Hotchkiss C,0,0,0,0,0,0.00,20
"
Phillips Academy",600,12,4,4,400,25.00,High Tech B,20,0,2,0,0,0.00,20
"
Ithaca A",570,7,10,3,380,22.35,Hewlett D,20,0,1,0,10,10.00,20
"
Hotchkiss A",500,6,9,4,340,22.67,Mountain Lakes B,0,0,2,4,0,0.00,20
"
Middlesex County Academy C",465,3,12,0,300,20.00,Palisades B,25,1,2,4,10,3.33,20
"
Ridgewood A",445,3,10,4,320,24.62,Dublin Scioto,65,0,4,5,50,12.50,20
"
Hunter B",465,9,5,2,290,20.71,Edison B,100,3,1,1,50,12.50,20
"
Middlesex County Academy B",390,1,14,1,240,16.00,Biotech B,30,0,2,0,10,5.00,20
"
Hunter A",470,10,3,4,310,23.85,Hotchkiss B,130,1,4,1,80,16.00,20
"
TAG Magnet",545,11,3,2,360,25.71,Mountain Lakes A,215,3,3,2,150,25.00,20
"
Biotech A",340,3,10,1,200,15.38,Palisades A,25,2,0,1,0,0.00,20
"
Hunter C",370,6,6,0,220,18.33,Ithaca B,90,0,4,0,50,12.50,20
"
East Brunswick C",315,2,12,1,170,12.14,Palisades C,40,0,2,0,20,10.00,20
"
Middlesex County Academy A",410,2,10,2,290,24.17,Livingston,175,3,3,0,100,16.67,20
"
East Brunswick B",440,9,3,5,300,25.00,Mountain Lakes C,215,3,3,0,140,23.33,20
"
Edison A",360,6,6,2,220,18.33,Hewlett A,150,2,4,2,90,15.00,20
"
Bishop Ludden",405,4,9,1,260,20.00,Ridgewood B,235,3,4,0,150,21.43,20
"
Academy of Allied Health and Science",225,1,9,2,130,13.00,Hewlett C,90,1,4,3,50,10.00,20
"
Middlesex County Academy D",310,1,10,1,200,18.18,Hewlett B,180,1,7,1,100,12.50,20
"
Ranney",265,2,9,3,160,14.55,Edison C,155,3,3,0,80,13.33,20
"
Wilton",355,4,7,1,230,20.91,High Tech A,250,3,5,3,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hotchkiss A",620,11,8,1,380,20.00,Hewlett D,0,0,0,0,0,0.00,20
"
Ridgewood B",580,7,12,1,360,18.95,Ranney,-5,0,1,5,10,10.00,20
"
East Brunswick A",675,12,5,1,450,26.47,Biotech A,105,2,1,1,70,23.33,20
