"\n""Mather""",565,Kings Park E,0
\nLocust Valley,405,Kings Park C,80
\nNorth Babylon,405,Kings Park F,50
\nWilmington Charter,465,Ward Melville B,135
\nW. T. Clarke,350,Kings Park D,135
"\n""WW-P Phoenix""",335,Mountain Lakes B,135
\nKings Park A,330,Sayville B,90
\nBronx Science,300,Kellenberg B,65
"\n""1066"" B",470,Bronx Bridges A,0
\nWard Melville A,495,South Side A,45
"\n""Eugene Onegin"" A",490,"""West Egg""",165
"\n""1066"" A",465,Bronx Bridges B,0
"\n""Eugene Onegin"" C",490,Harry B. Thompson,10
\nKellenberg A,350,Mepham A,175
\nKings Park B,370,Sayville A,70
\nWoodland,570,Mepham B,95
\nPort Jefferson,385,South Side B,10
\nMountain Lakes A,525,Mt. Sinai,95
"\n""WW-P Phoenix""",400,"""Eugene Onegin"" B",235
\nPort Jefferson,335,Kings Park D,100
"\n""Eugene Onegin"" A",675,South Side B,0
"\n""Mather""",515,Ward Melville A,60
"\n""1066"" B",320,Mt. Sinai,220
\nMountain Lakes B,320,Kings Park C,85
\nWoodland,380,"""Eugene Onegin"" C",275
\nKings Park A,285,Kellenberg B,115
\nSayville B,210,Bronx Bridges B,5
"\n""West Egg""",450,W. T. Clarke,225
\nWilmington Charter,515,Mountain Lakes A,210
\nNorth Babylon,525,Harry B. Thompson,0
"\n""1066"" A",305,Bronx Science,280
\nSayville A,270,Ward Melville B,155
\nKellenberg A,350,Kings Park B,100
\nMepham A,325,Bronx Bridges A,0
\nMepham B,230,Kings Park F,75
"\n""Eugene Onegin"" D",350,South Side A,110
\nLocust Valley,370,Mountain Lakes B,100
"\n""Eugene Onegin"" B",510,Kings Park C,40
"\n""Eugene Onegin"" A",675,W. T. Clarke,30
\nBronx Science,380,Bronx Bridges B,10
\nKellenberg B,340,Sayville B,30
"\n""Eugene Onegin"" D",320,Ward Melville A,235
"\n""West Egg""",315,Port Jefferson,200
\nWilmington Charter,565,Sayville A,105
\nKings Park D,250,South Side B,20
\nKellenberg A,290,Ward Melville B,225
"\n""1066"" A",320,Kings Park A,210
\nKings Park B,335,Bronx Bridges A,15
\nSouth Side A,265,Kings Park E,45
\nMepham B,270,Harry B. Thompson,100
\nMepham A,345,Mt. Sinai,90
\nWoodland,520,Kings Park F,50
"\n""1066"" B",290,Mountain Lakes A,215
"\n""Eugene Onegin"" C",275,North Babylon,250
"\n""WW-P Phoenix""",330,Locust Valley,210
"\n""Eugene Onegin"" A",470,Kings Park D,75
\nKellenberg B,370,Bronx Bridges B,0
"\n""West Egg""",535,South Side B,35
\nWoodland,715,Harry B. Thompson,0
\nMt. Sinai,260,Ward Melville B,195
\nWilmington Charter,445,Kings Park B,230
\nWard Melville A,435,Kings Park E,40
\nBronx Science,480,Kings Park A,95
\nPort Jefferson,265,W. T. Clarke,240
"\n""1066"" A",560,Sayville B,45
"\n""1066"" B",360,Mepham A,265
"\n""Mather""",525,"""Eugene Onegin"" D",105
\nNorth Babylon,415,Mepham B,120
"\n""Eugene Onegin"" C",535,Kings Park F,0
\nKellenberg A,390,Sayville A,115
"\n""Eugene Onegin"" B",300,Mountain Lakes B,215
\nMountain Lakes A,625,Bronx Bridges A,0
\nWilmington Charter,450,Kellenberg A,185
"\n""Eugene Onegin"" D",410,Kings Park E,40
